1: 卧槽看着评论我都不敢玩了。
178: 嘿嘿           玩这个游戏主要去夺宝       还有中忍套装也很重要    去慢慢打精英副本找材料吧

179: 后面的关太难了吧，不过喜欢火影，五星了

180: 什么时候开新区

181: 什么时候去夺宝能得到影之戒指和通灵契约等一些好东西？

182: 其实很一般的卡牌游戏，没创意，只是游戏名好，跟新仙剑一样，都是别的游戏拿来换个皮，略失望。

183: 尼瑪，抄襲忍百就抄襲了吧！尼瑪能抄襲的有點新意不！就算沒新意，也要全抄襲啊！這樣搞個四不像，作為玩家的我們很蛋疼！垃圾坑錢遊戲！！！

184: 服务器不一致怎么办,,。。。。。。。。

185: 用流量登不进去。怎么回事

186: 越来越垃圾，一直不更新了。

187: 服务器版本不一致，怎么办？

188: 在哪里抽奖？

189: 为何最近登录总是出问题啊？一直登录不上

190: 大家加油哦,我以已经是竞技第一了呢，好不容易哦,你们也加油哦!

191: 挺好的。和火影忍者，忍者大师相似的还有:少年三国志和放开那三国。

192: 不错，就是人物少点，多出点角色就好了！

193: 好玩，就是卡牌的。

194: 我手机格式化了，然后再下载用手机号登录进去玩怎么进度都没了?求解释啊

195: 好玩啊，活动也很多啊

196: 游戏我觉得非常好，但是，里面的角色虽然S资质，但是感觉跟A资质没什么区别，技能太单一了。

197: 卧槽，不停的闪退，登不进去

198: 现在我数三个数就闪退，已经玩不下去了，大家都不要玩了，坑钱又坑时间，差评。

199: 新区什么时候出来啊？

200: 火影羁绊是什么？基友，弟控，还有二合一

201: 人物羁绊不说，配音不说，夺宝别说夺十次，连继续夺都没有，最操蛋的是不管角色碎片还是装备碎片都没有标明副本出处，想要碎片还得一个一个副本去找，腾讯为什么告快播，忍百为什么下架了。。。

202: 我是九零后，表示真的一次没看过火影忍者，只知道火影忍者和海贼王这俩挺有名气，想问问它俩哪个好看？谁的更感人励志

203: 闪退率太高了，打一次对战退一次，但游戏本身还可以。

204: 怎么换人物？

205: 对于人物的抽取是否可以增加一个活动呢，真的很难弄羁绊，装备很难刷

206: 游戏不错，很喜欢，希望出些我们没钱充的人能玩的活动，不然我们玩久了就没激情了，每天重复做同样的事就没意思了，游戏带来的是乐趣不是无聊

207: 游戏根本不完整，许多系统都是坑，活动完全是捐钱给开发商，开箱子就是坑你，抽卡就是给土豪玩的，我抽了5次10连，出的全是鬼，辜负我对火影的情节，就你这游戏水平，你确定是授权的，忽悠吧

208: 闪退不解释

209: 要不要这么垃圾啊，wifiw满格还说网络不好，真是个垃圾游戏

210: 喜欢但是是模仿忍者百分百的下次
就用忍者百分百好吗？

211: 快更新，好多忍者都还没有呢

212: 身为一个卡牌游戏还可以了。就是钱不够，难刷装备，特别难刷。当然到目前为止还没砸一分钱就是了。模式单一，玩久了有点无聊。不过谁让我是火影的死忠呢╮(╯▽╰)╭

213: 这游戏开发一点诚意都没有，不要入坑哟，圈钱的不值得玩，真心话，不信进去看看就知道有多坑了

214: 游戏很好玩(游戏公司在玩，玩家)

215: 说实话，游戏其实还不错，就是音乐能和动画片那样的就好，全场没什么激情，还有游戏金币太少了，都V5了，装备还有很多没钱升级。用忍币买的游戏B还要叠加忍币才能买，这就有点坑爹了，每天领的钱根本不够用，重生能全部返还吗，本来就缺钱，还扣·非RMB玩家根本玩不动。忍者村就一个参拜么，还是等级不够其他的没显示出来吗，还有，搞个活动其实就是圈钱，来点实惠点的就行了，

216: 出个2S的角色

217: 宁次好弱啊，你确定他是上忍么，为什么一开始的实力这么差，我升级升了好久了，他还是很弱，受不了我就把他重生了，虽然我很喜欢宁次，还好，卡卡西没有给我丢脸，好爱他~

218: 道具也太贵了吧。。。而且金币一直不够用不够用！！！！精彩活动抽奖神马的就是坑人。。。开始还行，玩一个月觉得没意思了

219: 最好早早卸载的好，v4都玩不下去了，天天只有扫荡，扫荡再扫荡，羁绊泥马有卡装不上，还要助威卡，除非顶级V，卸载……

220: 闪退率高！出的活动要用钱！金币基本要靠vlp4以上才够用，基本没其他途径可以获取，而且六道佩恩都没羁绊…

221: 30级以后不充值就没法玩

222: 玩不下去了，好多无名忍者……你把它制造出来至少给个名吧……即使是炮灰但得有个名吧，说这游戏好玩的，小学生吧………

223: 为什么小李会用手里剑

224: 为什么干掉再不斩掉落伊比喜还有丁次的战魂……不能干掉再不斩掉落再不斩战魂，这样不是更合理……艾玛，我要继续玩下去吐槽

225: 感觉好low的游戏，开始的音乐不知出处算是我见识短吧，但是游戏背景音乐可以再low点？听着就玩不下去。游戏音效兼职不说了，就听到啪啪啪……艾玛，闭眼不知道在干嘛第二个副本出来的几个人物完全不知道是什么鬼

226: 好玩

227: 为什么买不到什么精铁，没有精铁，我就弄不到上忍的装配，好烦啊，还有就是我总不能益一直靠抽奖来赚取装置吧，那要我搞到什么时候~

228: 为什么没有斑爷、泉奈、初代、二代、三代、四代火影？三忍只有纲手！！没有尾兽和六道仙人。。求改进，求更新！！！！求仙人。

229: 失望居然是那种死板的卡片游戏，音乐也不是动漫里面的音乐

230: 纲手在哪？？？？已经7天！游戏是骗人的！！！！！！！！！！！！！

231: 已经登陆7天，没看到纲手，是骗人的么？？？12区

232: 推个荐新游：“挖到地 球中心去”，也好玩根本停不下来

233: 为什么老写的服务器有问题

234: 说实话 要减少rmb玩家和非rmb玩家之间的差距 不是用钱玩游戏的

235: 干嘛今天上不去  难道是更新？

236: 怎么等不了了

237: 雷之国，什么时候开19区呀。求回答呀

238: 为什么不能用4g流量

239: 雷之国十一区，漩涡丶魂，留名……现阶段还是挺好的，主要就几点，第一，奇拉比跟主角羁绊显示攻击，实际加防御，第二，铜币来源，第三，S级奥义，戒指，装备来源，第四，水门，斑，阿飞等神级卡牌的开放……解决这几个问题就差不多了

240: 擦闪退你妹啊

241: 活动太少，音乐差，那个280的抽奖太慢了吧→_→期待后天的更新

242: 为什么那个vip2的礼包不能领取啊，我vip10

243: 很好

244: 我说你们能先效提高游戏体验吗？背景音乐了，声优了，名忍补充了能速度更新吗，现在出的都鸡巴活动啊，你游戏做好了自有大批粉丝，你搞了个半成品，是自掘坟墓呢，说真的现在比你们做的好的不少，小小忍者 天天爱火影  火影战纪都做的比你们好，快更新吧！

245: 很不错的游戏，希望获取铜币的方法多一些，32之后铜币明显不够用啊

246: 很好玩！！！！不過趕快更新吧，不然玩不下去了……………

247: 有谁解答一下18服什么时候开

248: 18服开了为什么进游戏最新的区还是17区

249: 忍者百分百，倒闭了，才过来玩这个，三百万战力，80级顶级，洗炼全满，羁绊全满，小野千兰。

250: 首先1：装备洗练只能洗练一次太慢，更新洗炼五次，2：铜币很明显不够用，3：尽快把人物释放技能声音更新出来，效仿一下忍者百分百，4：人物升级能量不够用，5：角色太少，尽快更新。总体来说玩着挺不错的，以前是忍者百分百的忠实粉丝。给个五星好评吧！

251: 太好玩了能不能快出斑

252: 为什么夺宝得到的小碗拉面和中级显影水不给啊？你们逼玩家充钱不给拉面不就得了，显示给了，背包里却没有，这什么意思，马上修正

253: 越玩越没意思！起码放技能带人物声音吧，就听见叽叽喳喳的！能有技能声音的话估计还不错！而且卡牌换成人物模型的话就完美了，可以参考下少年三国志！

254: 从来不更新，快倒闭了

255: 不错

256: 快更新吧？不更新让资深玩家怎么去顶你！！！！

257: 好玩，但礼包有点少

258: 垃圾进不去

259: 为什么没有波门

260: 这不跟忍者百分百一样吗，百分百倒闭啦。这样的游戏不会玩到最后也倒闭吧

261: 能不能更新更新，这个游戏的更新发展难道就已经饱和了？

262: 为什么，没有斑爷

263: 怎么不是人物？打起来都是一张牌！看着就别扭！！三国杀？？？

264: 我真无语了，30多级铜币就不够用了，主角升级都费劲，难道不充钱就玩不了游戏吗

265: 想充钱都充不进，怎么点都反应，醉了

266: 太多不给力了。免费抽忍者要差不多三天才能抽一次。副本也没有战斗力推荐。金币，金钱，升级材料斗不好得。感觉就是个吃钱游戏。如果想超强，就得使劲充钱。

267: 不管那么多，每天五分钟就不玩了

268: 垃圾游戏几个星期不更新

269: 忍魂怎么用？？

270: 干你大爷十几天不更新怎么玩退游

271: 除了S级，就没有SSS级吗

272: 游戏里普级好麻烦

273: 好玩，真心不错

274: 充不了钱啊

275: 游戏费金币废的频率太大，希望把游戏金币给多一点

276: 为何选了佐助和鸣人中的其中一个以后就再也不能拥有另外一个？

277: 游戏不错

278: 刚下载下来，进去，副本进不了，一个大圆圈在那闪现，等了五分钟没动静

279: 赞赞赞！力顶。

280: 希望今晚能抽到14的S卡牌。自来也和大蛇丸其中一个

281: 开场打完九尾第一个任务就卡住了，在不停的转圈圈加载

282: 还行，老闪退，要改进

283: 游戏不错但是没有鸣人s级和佐助s级

284: 好玩

285: 请问蓝卡怎么觉醒啊？
还有，蓝卡怎么没羁绊呢？

286: 能不能直接做成实时动作竞技呢！这样多吊！

287: 为什么就是抽不到14的S卡牌呢

288: 什么时候开新区

289: 我玩着玩着就闪退了。

290: 游戏还不错，就是其他卡等级太难升了，追不上本卡，建议增加副卡的升级方法。

291: 绝逼的坑 这几次活动就是圈钱 一直说优化 毛都没见 平民玩家伤不起 背景音乐也是那么操蛋 白瞎了

292: 不错的手游，玩的开心呢！！！

293: 激活码错误  什么意思

294: 好玩好玩真好玩

295: 里面的战斗画面不是很好，但也可以啦！我抽中了卡卡西了，好辛苦哦，不过现在玩连续登录两天就可以获得卡卡西了，爱火影忍者的伙伴们，抓紧这次的就会哟！

296: 唉，1.托很多～2.各方面没有忍百好～3.总体感觉很差！

297: 这个游戏非常好玩，大家来玩啊

298: 总感觉铜币不够用，小伙伴们有木有同感？

299: 卡片升级渠道太窄了，建议改进下素材卡片的掉落，要不是前期有礼包送的能量，后面抽的卡的等级要追上之前的卡太难了，照顾下平民吧。

300: 托比好多啊！看情况进坑的也不少

301: 不知道好玩不

302: 为啥，商城那里总有个小红点去不掉，强迫症不喜欢

303: 超好玩，声音和画面都非常好，小伙伴们刷到手软，我抽中了S的夕阳红，战斗力还不错，我不知道你感觉怎样，反正我是爽爆了！

304: 说不好玩的人别玩，没人逼你，我说很好玩。

305: 费钱，要不后面的关卡跟本过不去

306: 玩了一天，总体感觉不错，那些说不好玩的请别玩，没人逼你

307: 要是人物是立体的就好了

308: 着实棒极了，那些说不好玩的是真的抱着对火影的喜爱来玩的？自己玩不好还怪游戏，你考试考不好就怪我咯？

309: 现在我的阵容越来越厉害了，因为抽到了很多厉害的S卡牌

310: 从开服到现在才30级，虽然阵容除了佐助外都是S，但感觉还是力不从心，

311: 好玩要死了，他妈一来不好玩，后来就容易多了因为到时人物晋升为s品质战斗力都逆天了，告诉大家最强阵容是团藏，鼬，纲手，大蛇丸，自来也，宇智波佐助☞（s极品质）可参考，错了找雷之国5区，我的名字叫灰衣佐助。公会名灰衣佐助。☞（名字一样）

312: 不好玩，垃圾

313: 垃圾

314: 垃圾游戏，绝对没有版权

315: 望该善

316: 尼玛，坑比游戏，太垃圾了

317: 忍百高仿品

318: 的钱太慢咯

319: 我想忍百了

320: 那个我想问下，下载360什么的可以领的礼包，我去下载，下载完说解析错误

321: 这是一款极差的游戏，只会坑钱而已，没有忍者百分百好玩，没有放开那三国好玩。这是作为一个玩家的劝告！！！

322: 大家不要玩了，这个游戏的开发商之前做了一款《妖精的尾巴》，可忽然就彻底放弃了，所有的活动，尤其是S魔导已经连续三周以上不再进行，至于其他的都不算什么了（客服一直没有，一直卡，系统一直出问题，无法发招等）。如果开发商没有放弃，那这么游戏什么问题大家还都可以玩，但现在每周末不间断的S魔导等活动 已经连续三周不在进行，也没有维护系统，也没有解释说明，基本放弃了，但是还在收钱。火影忍者也会这样。放弃吧。

323: 我想说VIP福利就个礼包好，VIP9还没感觉到有什么好的特权，求增加特权

324: 还行吧，就是忍者的资质有点乱来，忍者伙伴也是，望改进

325: 一个字，坑。没有火影的音乐，真心怀疑是不是正版授权的

326: 这个游戏好好垃圾，我刚刚下载好看了一下还带卡牌的一看就想小儿科，浪费我流量，

327: 垃圾游戏经常掉线。没啥意思浪费我时间，觉得不好玩的朋友顶起来

328: 没意思不好玩经常掉线，完全浪费时间有点小儿科还带卡牌  ，逗

329: 能不能消费日志，总觉得无缘无故就好了。希望做的更好些

330: 才登陆第四天开服狂欢就结束为什么

331: 玩的都没耐心了，卸载

332: 感觉真心不好玩

333: 不怎么好玩

334: 游戏垃圾，比不上忍者百分百不说。还不允许提建议，官方游戏群你好意提建议比较一下忍百，立马就踢人。这种胸怀还想做好游戏？

335: 我已经四十级了，感觉越玩越没意思 ，不喜欢卡牌

336: 和火影忍者ol差不多

337: 玩不了

338: 垃圾游戏垃圾客服所有的一切都是垃圾  不卸载只为了每日一星

339: 为啥'vip10了礼包领不到呢'不是说9以上就可以了么？？？(￣.￣)

340: 副本打怪'能看到怪的战力就好了'8区雷之国的。漩涡锅锅谢谢支持！！！！今天不能充值吗？求解←_←………！！！

341: 领了好几个礼包，可是没见东西啊

342: 和以前的忍百很像，不过忍百有原版声优，希望能弄个声优出来。并且还有忍者缺，弄个仙鸣出来呗

343: 适当的考虑一下普通玩家,人气很重要！！人气

344: 多搞点活动吧！

345: 好得很

346: 多搞点铜币的活动，铜币太缺了

347: 角色放技能没声优，背景音乐太死板，主角选择太少。要不是看到现在有人回复我都懒的评论

348: 夺宝弄个一次夺5次或者10次的，这样夺手都点酸了

349: 比武赢的忍币，没有收到，已经好多次，

350: 好好好好好

351: 还不加快完善调整 看吧 评分已经很低了

352: 怎么打字啊，输不上去

353: 咋打字啊？对不了激活码？

354: 为什么自动退出啊？！

355: 好玩的不得了！

356: 非常好玩

357: 只要多花点时间，搞点s级忍者，很强的，爽！

358: 这忍者的资质根本不符合剧情啊，思密达

359: 骗人的，说好的首充礼包根本没有

360: 别玩，很坑很幼稚

361: 真的很给力！

362: 真的挺好玩的，没玩过的不要瞎说

363: 垃圾啊，拿个礼包还要充值

364: 完全模仿大主宰。。。所有的所有  包括坑

365: 这么弱智的游戏也有人玩，真是给猪玩的游戏。

366: 我想问下，哪天开9区？

367: 太太太太友好玩了!

368: 腾讯把忍者百分百弄没了 这完全模仿忍百的 画面弄的死丑糊弄玩家的么 你直接代理忍百不更好？

369: 不要说游戏不好玩，只是你们没有在“脑子”里玩。

370: 我好心疼啊，玖辛奈，那么就把糟蹋了

371: 我该怎么玩，充了钱的和没充钱的是一个天上一个地下。

372: 各种赞！！！！！！！！

373: 太不错了，但宇智波鼬太难得了

374: 亲啊，十连抽敢不敢不要那么坑，A装太难得了吧

375: 妈蛋 我从来不评论游戏的 这游戏你敢不敢有点任务做！每天上游戏都无聊，而且说紫色卡抽的几率高，那真是瞎掰，5次十练就的6张紫卡，有3张重复的！！而且游戏的资质很乱，有线些厉害的 资质却比不厉害的低，麻烦老大你看看火影好么？

376: 显影水这个玩意太坑了，金币很不够，忍币活动可以多出一点，九尾血量不觉得太少了吗？感觉还有很长的路要走。

377: 难道就没人发现这tm跟少年三国志一样么

378: 铜币太少了，活动太少

379: 特权礼包怎么领取

380: 都登入不了

381: 晓、组织要人3区

382: 我不小心把少年春野樱分解了，在那里可以在弄一个啊！

