1: 人有人的玩法，狗有狗的玩法。狗玩游戏就是让富豪遛的。不想被遛狗就不要玩
23: 不用点卡比用点卡还贵…动不动就是钱。没钱根本没法比…很多垃圾功能…不能自由交易。多宝上架还要上架费，交易成功还得交8％的税。坑爹啊！

24: 好无聊 比梦幻还无聊

25: 老是闪退怎么回事，一天闪退无数次。

26: 老子等三天。进不去啊！是啥正在连接服务器？进不去，

27: 好玩

28: 哈哈

29: 画面杠杠的

30: 棒棒哒，至少比梦幻好

31: 今天晚上进不区

32: 跟电脑的没法比，太差

33: 这游戏很多商家～经常啦去新区～天天在叫备战新区    卖这卖那的！这游戏能玩吗？几天不到新区一开  又死区了

34: 进不去啊！等一天。怎么办！

35: 回合游戏，纯靠装备，有钱都来讨好你，一个个势力眼，都拉你帮战，回合游戏，pk真心好多是运气成份，就算差别，那也是装备，宠物，伙伴，我是玩其它游戏太卡才玩这个，画面人物倒是还好看，唯一不足的是装备，仙器，神器，伙伴，宝宝这些比重占的太大。而且职业不平衡，如果玩人族抗性比其它职业多百分二十，根本玩不过同级男人号pk，只能当休闲游戏随便玩，千万不要跟别人去比什么，游戏没事玩玩就好。

36: 怎么配音没了

37: 为什么配音没了

38: 卫生么下载不了

39: 错误代码，怎么才能下载啊

40: 手机扩展包数据太多不支持sd数据，安装不能直接到sd卡，手机加安装包共占用内存700多，游戏可以使用360转移sd卡，扩展包数据等不行。

41: 服务器给你2小时得时间开个新区出来。要不然……我这有10个公会3万人集体退服，去玩梦幻。

42: 不是说今天开新区吗？是哪个服务器

43: 进去画面有点卡好像！

44: 这个手机版怎么在电脑上玩啊？

45: 新区怎么出不来

46: 怎么下载不了啊。错误代码408

47: 今天怎么进不去

48: 通过360下载的游戏，汉宫秋月，今天不能更新安装，卸载后不能下载安装，错误代码408，能告诉我这是几个意思么？还让不让玩了

49: 新区预定了角色，等开了还能再换吗？

50: 这游戏只能冲钱，装备不能交易，如果开交易系统的话网易就没钱赚了！所以只能冲钱不能卖钱，卖号上交易猫排队比刚出苹果6一样

51: 为什么老是闪退！什么玩意了！

52: 很好玩，1转80级了

53: 男魔抓什么宝宝好

54: 怎么安装不了，华为荣耀4x

55: 为什么其他版本有礼包，360没礼包，，，，，，

56: 老是提醒有礼包  但是就不能领  怎么回事

57: 怎么预约新区？

58: 想卖号怎么卖

59: 前面不卡不掉线怎么现在一直掉的不停给个解释

60: 怎么安装到电脑手游大话西游

61: 挺好玩的

62: 老闪退，不过挺好玩的
我都1转95级了

63: 我去，还要过几天才能玩？预定角色后还要等，还玩个屁，果断卸载

64: 不错！

65: 这游戏怎么下载高清版？更新没有扩展包了。

66: 好好的，为什么我的角色消失了？？？？？？？

67: 服务器铁血丹心，游戏昵称棒棒冰，怎么离奇消失了？通行证能登陆，进去没数据了？给个解释

68: 爱玩游戏的也同样爱玩我名字提到的，刺激！

69: 这游戏就是花钱的，没钱，装备，抗性，宠物都不行，有钱这游戏就可以玩，平民玩家看看就行了

70: 怎么不能充值，靠

71: 为毛360端今天维护后到现在都一直更新失败 还想让人玩不

72: 我苹果系统，秋水长天服务器，男仙角色，ID蹲厕所唱儿歌，角色离奇消失是什么原因？给个解释

73: 今天得新区怎么找不见

74: 为什么飞鸿踏雪进不去，我进去一次还被强制下线

75: 为什么玩的区根本进不去，是不是不想让我们玩了，还是想让我们卸载

76: 为嘛还有两个区还在维护，其他区都能玩，你是坑爹么？也没有什么补偿

77: 明天新区几点

78: 03年开始大话之旅，经历过仙的没落，见证了鬼的崛起，通宵达旦的跑过200，也没日没夜的开过天工，从雷鸟猴子到黄金泥巴，装备换了一代又一代，从跑地图到做天，从刷任务到杀地宫，大话2有多少90后玩家，有多少80后离开了大话

79: 多少从大话刚刚出来就玩的玩家，看到现在的大话2和这个手游有什么感想……说说看，我就觉得给你一星都侮辱你了应该负五星，没错是负五星

80: 活动太少了，做完日常都没事做了，只能下线。

81: 玩家间不能交易少了好多乐趣

82: 客服出来，，，我的号被盗了，账号被删除，，，，，，360产品都被注销了，，

83: 我也想做托！

84: 没有联系系统，只能用官方的买卖，千万不要玩

85: 360多会儿开新区

86: 草泥马的，九游，删我评论，不给我发表评论！本人国泰民安区。一星飘过。土豪请无视我。不解释！

87: 出个自由交易吧！！玩家跟玩家交易！！！多宝好多东西卖不了！装备卖不了！

88: 我的更新不了？进不去了

89: 日常任务太少了，花那么几个小时做完之后，就没事做了，还有就是杀星……我到现在都没抢到过一星，星星都会选人来打，我脸有那么黑么！

90: 什么时候新区啊？

91: 为什么我的装备比多宝卖的装备还好但是我的却上不了多宝。求给个解释

92: 严重闪退！！！！！我操！

93: 我的反正没有闪退的毛病，我建议把伙伴功能去掉，还有就是宝宝和物品可以随便自由交易！还有宝宝洗练功能建议出超级金柳露！我也是大话老玩家，交易装备可以多穿两件，或者装备储值属性高点，男人男魔强法太低了！

94: 哪个角色好玩啊

95: 闪退是什么原因？

96: 新区是那个区

97: 预约有奖品吗

98: 为什么更新后仙器武器显示高级武器啊？看不出来是不是仙器武器啦

99: 坑爹的游戏，任务设计太烂了，三流都是夸！

100: 做完任务就没一点事可做了，杀星是傻子设计的吧，坑爹！单调的烂游戏！

101: 希望能解决闪退问题，不要说我手机内存不够来敷衍我，爷的运行内存4G呢

102: 妈的垃圾服务器老是闪退人家时空猎人一点也不卡

103: 为什么更新后武器变成高级装备武器，原有的仙器不显示了。。怎么回事？

104: 为什么一直闪退啊

105: 更新了下  武器都不发光了，都是10级武器一样，解决一下

106: 我都下了一天了害我把应用删了好多又是wifi还是进不去！！什么原因嘛？也不解决哈

107: 是挺坑的，我冲了1000多毛都不是！坑钱坑的厉害！太玩家没一点利益，太损了！

108: 为什么我用无线上不了一下

109: 国士无双风月阁的小菲儿太恶心了，一身二阶仙器居然是托，建那么大个帮说走就走了，祸害其他的人充钱祸害帮众，现在帮派解散了，他们又跑到新区祸害人了

110: 我也是大话2的老玩家…希望你们不要把手游搞太好了。现在能接受就完，接受不了就不玩了。就像当年大话把200环取消改到80环，没过多久我就没玩了。现在的游戏已经不是以前的游戏了，以前圈钱很含蓄，现在直接没钱没玩！

111: 这游戏可不说相当不错！画面和细节做的非常好！所有的游戏都是一样的不可能给大家开放交易系统的不要想多了！这游戏唯一的不好点就是！做任务4个小时！杀地煞10个小时都不够！全看脸！今天更新了就好了

112: 玩了好久，累了好久，要求不高，出交易出结婚系统吧！小东西想和朋友分享都是奢侈啊……快出交易

113: 日！进去所有角色都是10级武器，这是怎么回事？是不是缺插件

114: 可不可以出些安卓和苹果，双系统混合区，为了一起玩，还要换苹果或是安卓手机，太坑了，开发组求给力

115: 国士无双，106级男鬼，说没有就没有了，给个说法吧！搞不懂，玩得好好的，一掉线，再一登，两角色都没啦，真干净呀！希望能解决我的帐号角色问题，不然没完，自从玩这游戏，觉都少睡好多，辛辛苦苦玩一个月，给个合理解释呗，客服电话无人接听，什么个意思，电脑大话二玩了好几个号，花费没二万也有一万八了，，他马你们就这样对待你们的衣食父母！真特玛气不打一处来，，，，

116: 三星note3经常闪退。怎么回事？从别的地方下载就不闪退，但是从360手机助手下载的就闪退。

117: 怎么没有召唤兽内丹？什么时候会有

118: 中国的游戏只为圈钱、看看人家的游戏那是为了玩家

119: 玩了几天了，金钱，物品好像不能交易。

120: 为什么没有双龙戏珠这个区！

121: guhhgjhfh

122: 我觉得游戏还行hhh只是求问官方什么时候能出婚姻系统ヾ(ﾟｰﾟヾ)^?

123: 怎么上不去了？什么意思？

124: 我是大话西游2的老玩家。出手游就玩玩吧！还没有电脑的好玩，升级任务太少了！不能交易！么发玩！都1转111级了。来点升级快交易的渠道

125: 杀星活动太坑！游戏打发时间还行。千万不要跟别人比！升级节奏太快，等级低的玩家越来越被排斥。

126: 每天上去就做做任务升级，活动刷完了，其他没啥干的有意思吗？有点创意好吧？难道就靠几个活动来忽悠玩家的钱垃圾

127: 星河云海  帐号被盗   找回密码  角色已没  跪求帮忙

128: 帐号被盗   怎么找回

129: 卧槽，正在打宝图，给我号封了，客服在哪，出来！！！

130: 电脑版一直闪退，说什么永不掉线，网易真会忽悠！！！

131: 为什么老是闪退

132: 我4个号都快1转了，到现在没见过1星长什么样！靠！

133: 这个游戏的目的是，只能投钱，不能卖钱，这样还玩个瘠薄，任务得到的东西，还非得按照系统定制的价格卖掉，太坑爹了，比端游还坑，只能给个超级差评。。。

134: 来玩乱斗之王21区我等你

135: 闪退、闪退

136: 感觉任务少，做完了就没有什么干的了，希望能尽快开通交易功能，挺好玩的不错。

137: 出婚姻，出尼玛比，谁说出艹他全家女性，还不如出点200环，300环，80环，来的实际那，不接地气的游戏活不了几年了，和电脑版一样养着网易这群吃货，现在是托的天下了

138: 从玩到现在一直存在闪退，问客服一直在委托狡辩。玩个大话真心这么累吗？神兵什么都没得过也就算了。能解决下闪退的问题吗？

139: 连个网站都没，还不如私服

140: 为啥一直闪退。特么挂机都没法挂

141: 闪退、闪退、闪退、闪退、闪退、闪退、闪退、

142: 经常进不去和闪退！

143: 这游戏玩不起了，来来去去就那几个地方，一天就是抓小鬼，合神兵又容易碎。没钱买仙器的玩家真玩不起。

144: 很多人反应说有婚姻系统会更好，希望能早点出婚姻

145: 水月洞天区链接不上了啊，怎么回事啊其他区都可以进去

146: 越更越卡，

147: 为什么现在进不去了？？？客服出来给个解释

148: 转生以后和没有转没啥区别，任务都一样而且没什么新颖，没时间长了就腻了

149: 进不去了

150: 升级和充钱没关系，但是没钱装备真是不行。差太远

151: 喷子快走。。。一直完美运行

152: 完全烧钱游戏，比电脑网游还烧钱。不充钱升级都难啊。

153: 我能说角色太丑吗，逍遥生好妖

154: 什么时候还开新区啊

155: 游戏从7点左右之后就进不去了，怎么回事？

156: 有没有今天7点后进入游戏的？手机坏了还是服务器出问题了？有客服回话吗？

157: 怎么上不去了，

158: 诅咒：对玩家存在欺骗行为的游戏开发商所有团队的人出门被车撞，必须撞的准

159: 托就送你仙器，神兵吗，想多了小朋友，电脑版的痛到现在我还没忘，这手游搞的比电脑版圈钱圈的多，明白人自己没事算算，充多少钱瞎多少钱，还不如电脑版能卖点钱回回本钱那

160: 激活码怎么弄不到

161: 任务太少了。。。不够做。。。双送多点。。。。抓鬼可以再加100次。。。差评退游的都是人品差的。。。人品好的玩得很开心。。。支持大话。我是托。。。360能送个仙器么
嘎嘎。。。。。。。。

162: 卫士和乐视登录不能互上线？显示账号密码错误

163: 为什么360卫士登录和乐视账号登录不能混上啊？

164: 还可以，就是任务少了点，

165: 查出大话托干死他，间接的坑了很多玩家比GM都可恶

166: 倒班的充值系统，一冲就说我的卡有风险，换卡还是这样，果断卸载

167: 我花了4000万洗个帽子没洗出来，够了烦了，强烈要求出自杀功能，我绝对自杀不含糊，果断缷了这坑人的游戏

168: 这就是变法坑人，电脑版坑完，现在又手游坑，洗个装备浪费了多少盘古多少钱了还没洗出来，都喂够了，还有杀星你看不到人，人家都杀了无语，半夜两点半抢星没抢到我就在想360版本的都是孙子吗，什么都没别的版本块

169: 今天开新区吗？叫啥名字

170: 怎么登陆不了啊？

171: 没有激活码啊？

172: 下次开新区什么时候

173: 这游戏闪退么？？

174: 强烈建议开通自由交易

175: 老子买了2件神兵就说老子开了辅助？？
我偷偷的艹你母亲

176: 今天有新区吗？

177: 为什么不能自由交易，我们平民玩家没有金币很难熬的！

178: 又维护啦。。。想去
新区玩了。第一次玩把号弄得不太好没人带，都自己摸索。浪费了很多不必要的开销和弄错宝宝！有木有啊有木有。。。。。现在基本会玩有思路了重新玩咯？！。。。。。

179: 来个神兽吧！

180: 半夜起来杀一星，刚刷就全被人杀了，杀星的人地图上一个都没看到，这是充值后秒抢星功能，还是高科技外挂抢星

181: 太好玩了

182: 小黄金兽吗

183: 圈钱不算太严重！！可以玩

184: 能多点星，和怪不，要不打完没啥做了

185: 先给三星～～～刚开始说的送神兽呢？怎么没见到神兽

186: 游戏不错  平民玩家 1转108  从来没有过闪退

187: 闪退怎么整？

188: 为啥出星的时候周围没人   星还是让杀乐   差评

189: 我一直看不下去了。为什么你们都说闪退卡顿。。。为什么我手机没问题运行流畅。。。别自己手机垃圾或网速不好怪游戏！至于花时间。。。是真的每天每个五六小时活动做不玩！不过我想说这是大话西游！你们敢说在端游玩大话西游就玩两三小时就成的事？没时间玩也别在叽叽歪歪！至于花钱。。。不想花钱没人逼你。。只要时间多会玩！平民一样很潇洒！支持大话西游！我是托你信吗？不玩可以走。。。别喷！

190: 电脑上怎么玩不了，老卡住。

191: 玩这个游戏，有三点，第一需要全天候作战，第二大把人民币，第三服务器卡住不动的时候要有耐心（一卡最少一小时）。做不到就别玩，很蛋疼

192: 为什么 我退出来 在就进不去了

193: 我说两句，游戏还行就是手机累点的老是闪退，游戏问题不是珍品装备为什么不能卖而且不能自己定价。五环任务到大雁塔那环不自动了，要自己点，在加点升级任务吧升级好慢啊。到100多级就不好生了。还有就是大话币不怎么好弄啊就是五环给点师门和挖宝。赶紧更新新升级任务吧。。

194: 神兽何在晕啊

195: 为什么杀星时看不到杀星的队或人？旁边也没有，这些人是哪来的？不懂…

196: 我用三星手机，为什么玩总闪退

197: 今天用了9个金柳就把帅崇。伽楼罗王洗出妙龄天机了。。。满速攻少10满成长还可以吧

198: 正如我的昵称，让很多寂寞的人喜欢！

199: 个人表示就没有闪退这个说吧，搞不懂你们那些说闪退的，难道你们用的是诺基亚吗！！！

200: 确实好卡的服务器。

201: 擦，半夜起来杀星，周围就看见一个人，MD2个星都尼玛不是那个人，草，几个意思啊，不到一秒的时间全尼玛被杀！

202: 你们觉着每人一个神兽，那还叫神兽吗？端游都没有人手一只神兽，你觉着手游会吗？大话西游承载了多少人的感情，不说了服务器好卡！

203: 充了四千多了，希望给个神兽吧！不然以后都不充钱了。。。。

204: 绝对好玩！客户端的必须用电脑！而工作没时间～现在手游一样给力

205: 补充说下，游戏一点不卡。。。卡的自己检讨。。。。。这游戏很容易赚钱的。最好自己带队做活动！我每天都可以赚1000多万银子够自己开销了！平民就慢慢玩别跟土豪比。。那是自己虐心！找个固定队一起玩更好了做活动有默契有效率！我在移星转斗区。不给五星因为360太坑神兽呢！小黄金兽。。。。。嗯哼！

206: 玩得还可以。。就是不花钱发展慢。人品好你玩得肯定爽。虽然没玩过端游大话，但是这款手游还是很有可玩性的。不要遇到坑货就好。我建议大家去官方下载不解释。支持这款游戏！360哎失望啊失望

207: 大雁塔，刷不到怪，为什么別人就打的到怪，还不如玩神武，真心希望大话的职业技能，武器，武器是最多的吐槽点，如；武器，扇子，升级你给个加攻击力，大家都知道，扇子是封印的武器，然到你让封印去比攻击力，还有技能乜是，如；天兵，加法不加伤害，知加蓝，别跟我说等及低，技能等低，没伤害，不信你自己创个号试试，总之就是要仙器。要仙器就要充钱，要钱要的太过份了。600，我的天了600可以加多少油啊

208: 满腔热血就被这垃圾服务器毁了，卡的不要不要的，去用方言去你木当当的，干

209: 诅咒欺骗玩家游戏全死区

210: 大家放心二转以后，天庭任务就会出来了！！

211: 想要神兽，给钱就有

212: 拿我们美好回忆坑，继续坑 网易以后都不玩你。

213: 送神兽，笑死我了

214: 值得怀念！！

215: 为什么我找不到十号出的新区？

216: 还说有神兽，都玩1转了毛都没有一个。

217: 大话真怀念以前与战友点点滴滴刷怪的时光。
没看到"神兽"，只有个初级送的"小黄金兽"。

218: 一个服一只神兽，我们帮有个兄弟抽到一个，不过，不要想太多，一只神兽上万人民币

219: 神兽呢？？？

220: 为啥等不进游戏啊，啥情况

221: 送神獸了？？？

222: 360怎么回事今天怎么登录不上了，你能不能代理了。不行就别在这坑人了！

223: 一般一般，天下第三

224: 为什么我的平板一登陆就黑屏用百度的不黑屏

225: 为什么安卓版的wifi等不上去呀！

226: 本来玩的是情怀，360就不能好好整下这服务器吗？从昨晚就上不去了，我是国士无双的，其他区的号能上区，为什么？

227: 艹！国土无双 总提示网络连接不上，为毛别的区一登就上了

228: 下载下来了可是在连上wifi不能玩，非得用数据才能玩，这不坑我呢……

229: 怎么今天上不去了？？？？

230: 草了   今天进不去

231: 我手机找不到服务器，今天怎么上不了游戏，用电脑可以上

232: 我怎么上不去了

233: 不是送神兽嘛？怎么没有

234: 为什么我重新下载之后以前的号找不到了！

235: 为什么我重新下载了下以前的号怎么没了

236: 神兽呢？请问括号里写个神兽何用意？？逗我吗？？

237: 好玩

238: 来玩神雕侠侣吧比这个好，不会闪退我就玩神雕侠侣

239: 大雁塔都做不了，在大雁塔遇怪就几把掉线。还让不让人玩啊，在不解决就该秒卸载

240: 相信天上掉馅饼那可能吗？网易什么德行这里就不做附属了，免费是给你玩不错，想玩精彩玩潇洒，那就花钱吧还是大把的钱才行。

241: 下个新区什么时候开

242: 神兽呢！

243: 尼玛！冲30洗个破鸟都洗不出秒领天机…万中无一岂不是洗破产？坑爹的游戏

244: 确实该有自由交易，到一转了能不能就不要在让我们抓小鬼了，出鬼王，做天都可以啊，到二专建议出修罗。都开这么久了能不能把坐骑弄出来啊。在有就是能不能让我们看见别的玩家装备？

245: 为什么现在在大雁塔遇怪就闪退啊抓a宝宝都抓不了过剧情也过不了

246: 谁知道礼包兑换码

247: 我玩个仙，组队都没人要，都不想玩了，没意思

248: 纯属坑人

249: 每天升级任务要改改鬼王，坐天，修罗，坐骑等要做就和端一样的做弄出来那些垃圾任务我都一转102级了天天任务做完没球事多了还不给经验我玩大话快13年了大话越做越没意思了现在出个手游想好好玩垃圾系统不认人好好玩就让你充钱就是个充有多少冲进去都白搭，弄个自由交易行不和端一样玩起来就有意思了

250: 我靠我用的华为垃圾手机从来没闪退过就是这太费钱了不能自由交易只能充钱在这样下去大家都别玩了

251: 神兽在那呢？望网易不要忽悠你忠诚的玩家

252: 说好的送神兽啊，给点呗

253: 拼爹的游戏！！！！！！

254: 太贵了。。后期不充钱根本玩不了。。还说魔兽世界便宜。。。。

255: 这个游戏也快到头了，任务无数单调，特别是抓鬼（策划估计大脑被门夹了，100次没几个小时做的完？）。抓星就更别想了，很多人估计转了都没打过，可惜了一个好游戏

256: 再优化下把多为玩家着想，比如捉鬼我每天下班归来必须玩到晚上12点到1点过才能把所有任务和100次鬼做完【我踏马明天还上班呢】，要求经验提高50%.次数减少50.强烈要求自由交易，梦幻都是游戏币就能买宝石你踏马居然要钱还那么贵宝石孔还那么多坑！！

257: 哪有神兽啊，骗子

258: 神兽呢？骗人嘛？

259: 这游戏我看有要快完了不到十分钟闪退三四把我都快有点受不了了。

260: 果断卸载！不是因为游戏不好玩，相反，我觉得游戏挺好的，我已经玩到一转了，可是！可是！总有些人到处喷粪，满嘴脏话！张口闭口嘴里都肮脏腐臭之至！玩游戏嘛，好好玩就是了，骂人，过嘴瘾有什么用！没教养，没素质！所以，果断卸载！！

261: 每两分钟完美掉线，表示用的50兆宽带

262: 盘丝洞这个门派是大话的还是梦幻的？忘记了。。。

263: 现在点技能一次要70万本人1转103太坑爹了，技能快点不起来了

264: 你娘的，闪退就是闪退，你帮叫你娘叫春啊？oppo牛逼啊？老资充大话的钱也能买你手机，你叫毛啊，小米note顶配版比你oppo差么？本身就是游戏优化问题，之前怎么不闪退不卡呢？更新几次后就出现这问题。sb球精不懂，老壳碰肿！

265: 长期闪退，这几次更新后这毛病就出来了，以前玩着很顺畅，这几次更新后就有些卡，而且时不时的闪退，不可能机子问题，我在电脑上玩也觉得比之前要卡些，是游戏优化问题，请及时解决

266: 这游戏除了画面和大话西游像，其他都是垃圾样

267: 今天怎么还是没新区？三天一个区？

268: 都别尼玛的说闪退了，尼玛就你们煞笔闪退闪退的你就不能换个好的手机吗，我特么OPPO手机咋就没闪退过呢，我他妈看那个游戏都有评论闪退的，尼玛我下载那个游戏咋就没事你退特么老闪退，你特么是不是妖怪请来的救兵来这里瞎鸡巴捣乱的，希望大话能多开发点升级任务别老就那点玩意我号都一转一百多了都懒得玩了，没有新鲜感了，不知道八零后还能不能和小伙伴们一起玩耍了，丁三石还能不能一起搞基了

269: 好吧！我来吐槽来了，作为一个十二年大话的老玩家，我觉得手游比起端游妖差距一个筋斗云，捉鬼任务最叫人恶心，我特么十几年前玩大话都没捉过这么多鬼，挂机可以睡觉，尼玛一起来手机快爆了热的一看鬼没捉完，还有洗宝宝系统尼玛大话端游都特么出个超级金柳露你不能弄个高级的啊！宝宝的内丹你特么给塞肛门那堵屎去了咋的，要克隆能特么整像点不，尼玛多少级都捉鬼一点都没有高级的练功区，端游还特么能鬼王和做天呢。

270: 尼玛，我开五常礼合开了一千多块都不见神兽，这是怎么回事，就快吐血了。。。。。

271: 只有大话西游没有兑奖码

272: 为什么老是闪退呀？进不了游戏？游戏老闪退啊

273: 今天有新区吗

274: 作为大话迷，我不能容忍你们的恶意诋毁，杀星看不见人那是网易屏蔽了其它玩家，免得你卡的像狗又在那叫，闪退偶尔会有，不是那么平凡好吧！神兽。。尼玛你玩哪个游戏是来就送你终极装备的。任务时间过长是比较讨厌，可也有人做完任务还无聊挂机或是杀人的，人家开发游戏就为你一人，你出了多少钱。。。nb自己开个游戏自己想怎么玩怎么玩。送你们一句话“没付出，就没回报”。你要游戏的心情还是用游戏来赚钱，看自己。

275: 新区是哪个？进老区没人带，都组不到队伍

276: 还可以呀

277: 神兽呢？？？？？？？？？你送给谁了！！骗人

278: 什么破游戏！登了半天好不容易进去了！然后就卡在那不动了

279: 垃圾游戏，只会坑钱，已卸载

280: 这游戏还能愉快的玩耍了吗？十分钟不到闪退两三把。我都快受不了了，一前闪退没现在严重。

281: 为什么充的玉，银行卡钱都扣了，还不到账？

282: 神兽是开活动礼包才会有的
一个区就一个小白

283: 去你大爷的，比端游贵的多了，几率比端游更小了，东西没端游多，手续费死是个贵(上架可能要百分之一左右的手续费，卖出去还要收百分之八)，真是一星都闲多

284: 今天开始怎么上不去了

285: 说好的送神兽呢？我玩到1转100级都不见有人得神兽，坑人啊！说好的送神兽去哪了，只会坑钱，充六百五十元才一只龙马，说送神兽又不送，说话不算数，不送就别说送神兽，说了又不送。

286: 尼玛，挺好的游戏被你们骂的体无完肤，我几百块的手机完美运行，支持大话！

287: 真的很好玩，但是任务真没意思。还不如出打怪练级。

288: 一转 100真心玩不动了！！福利比起梦幻少的可怜！抓鬼抓到吐！无力吐槽了！我再吐会儿！！

289: …小米闪退严重………

290: 今天开新区吗

291: 任务少，玩到快100级了，系统目前还没有送过神兵，高级宠物，都是垃圾，成天杀怪，没有意思，没有激情，

292: 说实在的大话里的宠物太烂了，没梦幻的宠物好用

293: 我想知道，神兽呢？？？？？？？

294: 可以

295: 闪退太严重了吧，三分之二的时间都在登

296: 游戏不错，但是你们说的送神兽，神兽呢，不会就是有个不错外表，资质渣的不行的渣宠吧，求官方看见，送神兽。

297: 尼玛逼，过个任务刷个怪，一直掉，操  我才明白游戏里说玩家掉线会持续自动战斗20分钟，  能解决掉线不

298: 为什么老是闪退，有没有解决办法，怎么解决。一个小时可以退出20-25次到底什么问题。

299: 说好的礼包呢？

300: 标题打的再好，评分那么差，这就说明是虚拟的游戏，真实的挂羊头卖狗肉！送神兽，我进去看过了，.神兽都要几千块合的，那么大方送？1星都不给，我还看了那些神兽，渣渣神兽都有！

301: 到处是地域攻击骂人的，没仙器后期没人愿意组

302: 说好的送神兽了

303: 第一次玩超过三个星期的手游，但是部分玩家真心没素质垃圾，不玩滚了，有这种人在游戏也不会长久。

304: 坑钱游戏，玩了就知道！网易从梦幻西游开始………向钱看！！！

305: 垃圾游戏，送神兽送个小金黄，当一次技能要半蓝，加个状态还不能优先没状态的……反正是各种不好玩，一星都嫌多

306: 怎么游戏进不去了？？？

307: 等着问道出来玩玩看

308: 差评

309: 网易我的神兽呢？不会被你妈吃了吧！！！！！！！

310: 三星手机，操作太困难了，操作的时候点击相应触控按钮，不起作用，多点几下么又会误操作，玩梦幻，玩西游神魔诀都很好操控，支持了十多年的大话，本以为手游版可以完美移植PC版，结果搞出一个令人失望的东西，唉╯▂╰

311: 敢不敢再垃圾一点？梦幻都完美运行，就尼玛闪退1小时能退几十回、泥煤的。是不是不支持三星？哈？

312: 差评

313: 妈的！评价失败……网易你家上上下下都是神兽！我不要了……神兽都是你家祖上……谢谢你！我养不起！

314: 我算是服了买个东西还要七天以后才能交易。尼玛不能自由交易就算了居然买了的东西七天后才能卖什么鬼。

315: 垃圾游戏 坑钱

316: 今天有新区吗

317: 送神兽！送神兽！ 指的是小黄金兽？

318: 平板三星P605港版，配置绝不成问题但玩这游戏闪退的厉害，梦幻西游正常运行，手机三星S6 Edge行货，没有闪退的问题，难道这游戏对港版有歧视！
在说说游戏鼓吹的鸡驴大神，绝逼扯淡！就是骗人充钱，以前玩大话，有时间的可以跑环赚钱，没时间的就充软妹币，起码平民玩家和软妹币玩家差距不会太大，现在不充钱玩不下去，游戏没人就合区，网易的一贯搞法！

319: 说好的神兽呢？？尼玛，我都充差不多两千大元了

320: 龙马能算送么？没冲到六百五十元别想有龙马…还送神兽！毛都没见到！垃圾网易…活动没仙器没法做完！我操

