1: 进不去，几个意思。
301: 实再是太太太太太太好好好玩了!!!!!。我都100级。我现在在一区

302: 垃圾游戏，每次上游戏不到5分钟自动退出？

303: 卡卡卡死了游戏大力荐

304: 靠，每次进入游戏都要重更新，操

305: 22222大力点 豪爽啊

306: 卡还是卡，解决卡就完美了。

307: 感觉还行

308: 我充值100，按理说应该是V3的，结果是V2。才发现一直享受的V2待遇。求更正，求补偿！本来还想充值的，现在怕了。

309: 这游戏卡死我了

310: 很好

311: 什么狗屁pk,

312: 煞笔模式竞技场，谁有好侠客谁就胜算极大，尤其五星，个人战力差距都不是事，这两天服务器卡的跟麻痹什么似的，垃圾完美

313: 怎么老掉线？

314: 每次PK都好难受！PK系统没做好

315: 第一次玩手机网游，不知道怎么评价

316: 超赞

317: 没钱 找虐！！！！！！！！！！！！！！！！！！！！！！

318: 呵呵，天龙八部完美运行到你怎么一步一卡，还会卡在一个界面死活进不去，1G，四核的手机也没法玩，这是闹那样

319: 玩不了，会有一个图出来

320: 好卡

321: 看看怎么样

322: 红米手机能玩嘛？

323: 时间之神的功能越来越强大了

324: 都说好  带给我们不少快乐

325: 游戏的画面效果很不错

326: 就是关卡太少了，不够过瘾。

327: 帅气好玩画面超赞,运行流畅,动作带感,音效很棒

328: 完美运行无压力！。

329: 比其他手游软件好玩。

330: 正在下 可能不错吧

331: 技能非常丰富。

332: 体力不够用，紫装碎片掉落几率太小了

333: 期待很久了，我也想参与

334: 游戏不错。但为什么我总是被闪退？

335: 太个性了，符合我的style

336: 一起玩儿，一起愉快 ，好用就使用一下。。

337: 不错，耐玩度强！。

338: 這個遊戲不错，勞資就在等你啊。

339: 好玩的，但是为什么不停一直闪退啊？

340: 不错的东西，你值得拥有

341: 还没玩呢！应该感觉还不错。。。

342: 这游戏真的不错比天龙八部好多了！力挺！同意的点赞！

343: 好久没玩游戏了。

344: 不怎么费流量，速度不慢呀

345: 管他好坏呢，自己喜欢就行呗。计较那么多有什么意思。

346: 平民玩家略难，其他的还行

347: 算是卡牌中比较喜欢的了

348: 大爱啊 ，很不错的哟，我好多朋友玩了都说一级棒

349: 都来玩，游戏中的人物很好看啊

350: 好极了我喜欢。

351: 比看小说形象多了

352: 娱乐消遣，  好技术

353: 卡牌游戏，剧情很有意思

354: 媲美1080P的电影游戏画质

355: 经典的游戏，崭新的玩法。

356: OK，还不错，喜欢。

357: 力荐，别听下面那群小人乱说

358: 不错的活动!

359: 正在下载中!

360: 很好玩，就是级太难升

361: 搭配国际一流的画面引擎

362: 对这游戏的最大感受就是尊重原著，没有搞那些乱七八糟的东西

363: 大大超出我的预期，玩这个游戏和看动画很像，而且更加刺激

364: 非常的清晰自然，做的一点都不含糊！！

365: 游戏内容这么丰富，主线剧情真棒！

366: 太有意思了还不错

367: 这感受可是非同一般~

368: 听觉效果更棒。

369: 玩这款手游，忽然就增加了不少亲切感~

370: 感受到的只有视觉冲击力！

371: 画面很动人！

372: 大开眼界了

373: 这感觉真的很棒！

374: 手游的完美结合呀

375: 只有在游戏中才能体会~

376: 玩法又增加了不少

377: 运行流畅,具有很高的可玩性

378: 好玩，内存也小，值得一玩!

379: 游戏还好，不过不失

380: 不错，第一次玩就喜欢上啦

381: 最喜欢的就是剧情，代入感很强。

382: 看到画面就很有玩的冲动

383: 最喜欢的就是人性化的帮助

384: 喜欢游戏里的人物造型，很漂亮

385: 游戏不错，要是能多设计些分支任务就更好了

386: 各种吸引的刺激到不行的说

387: 游戏整体还是不错的，有的细节还需要完善

388: 玩了一小会了，好像还不错的样子哦，过瘾

389: 真的很想玩！

390: 值得迷恋的的选择 功能优化强大

391: 最近比较精品的游戏，就是活动少了点

392: 非常好玩，游戏画面很漂亮

393: 震撼的场景音乐、绚丽的战斗画面，

394: 玩起来挺流畅的，对手机要求也不会太高

395: 上下班必玩

396: 不错的软件，蛮好玩的，比起其他软件这个ok。

397: 还是需要强大的配置的啊

398: 终于等到啦，手机也可以玩了呢，爽歪歪

399: 感觉蛮不错

400: 新游戏玩的人应该特多，卡就更不用说了

401: 游戏玩得很顺手，是我喜欢的游戏。

402: 与更多手游软件好有一拼。

403: 好玩，离不了手了。

404: 装备设计挺科学的，武器也蛮好看

405: OK，还不错，喜欢。

406: 一款让我上瘾的游戏。无论是画面还是操作都很得心应手。赞

407: 真没想到网游也能做的这么好。

408: 画面超酷，特别好玩！

409: 给您最极致的游戏体验。

410: 优秀的角色游戏

411: 技能丰富
。

412: 好东西就该分享下！！！

413: 好久没玩这游戏了。呵呵

414: 游戏既激情又好玩！而且挑战性极高！

415: 值得迷恋  喜欢的就是这种节奏

416: 不断地进步，真不错

417: 蛮好玩啊。貌似又开新区了

418: 还行，玩了半天。。。。。

419: 我一直有玩这游戏，

420: 官方是否可以提高点体力和金币数量啊，升个技能需要几万块，挣钱不容易啊！

421: 画面很有魅力  色度调试也可以

422: 有亮点!!

423: 游戏设计真不错。

424: 初次玩，感觉不错！很好玩的游戏！

425: 全新玩法 。

426: 如果能再完善一下就好了

427: 真给力，好玩

428: 技术简单，最适合新手玩

429: 还不错，五星

430: 速度上吧 下载好游戏，玩的就是速度

431: 值得迷恋的的选择  功能优化强大

432: 技能非常丰富。

433: 好游戏。!!

434: 哈哈，天天玩这游戏

435: 感觉还可以。

436: 画面真好看!

437: 本人直接上瘾！！推荐！！

438: 越玩越有意思了

439: 玩着还行，求更多日常活动

440: 优势还是很大的，毕竟玩过好多游戏。

441: 功能够多啦.  谁都适和

442: 不错，可以试试

443: 量身定做，真的很好  现在好啦

444: 游戏设计真不错。

445: 该满足了，技术更加简便流畅

446: 不错的活动!

447: 战斗场面真给力，好宏大啊

448: 求抽到好神将搭配

449: 还好!!!

450: 游戏不错，很好玩，如果有十分有给十分

451: 哈哈，天天玩这游戏

452: 新的改版很不错，充分为玩家考虑

453: 玩玩试试 看看咋样

454: 还是挺受欢迎的

455: 引擎很好，画面不卡

456: 画风挺漂亮的，剧情丰富

457: 游戏加载速度很快，内存也不大

458: 月卡还是挺划算的，每天都能领元宝

459: 根本停不下来，好玩

460: 不错，耐玩度强！。

461: 稳定性更高。

462: 游戏音乐会让我心情愉快。

463: 美观大方。

464: 简单友好。

465: 还可以，人满为患啊！挤不进去

466: 从内测完就一直期待，终于能玩了

467: 一款真正的武侠RPG，代入感很强

468: 非常好玩，大赞！

469: 游戏剧情也很棒，主线清晰

470: 太好了 我可是老玩家了

471: 小推荐一下!

472: 不卡不停，完美運行，畫面超贊

473: 想要拉风的装备坐骑

474: 感觉还行 就是画面有点不好 再者就是把那个银卡使用上限提高

475: 不错，值得给5星

476: 画面华丽，技能打击感超强

477: 技能特效很爽，打出去的伤害数字看着就刺激

478: 国产中难得一见的精品

479: 最喜欢的就是人性化的帮助

480: 带玩家玩的时候最嫌麻烦了

481: 新游戏玩的人应该特多，卡就更不用说了

482: 音会让我心情愉快。

483: 画面做的很炫，可见用了功夫！

484: 喜欢游戏里的人物造型，很漂亮

485: 总能扣人心弦

486: 点赞！！！还不错吧

487: 中国风画面非常给力！

488: 不卡  娱乐消遣，结交朋友是主要目的

489: 技能特效都很炫，刀刀到肉的打击感太爽了

490: 游戏不错，要是能多设计些分支任务就更好了

491: 游戏画面感觉有一种水墨画的味道

492: 颠覆了对手机游戏的认识啊。

493: good!。

494: 还可以！我一直在用！

495: 人物角色多!

496: 那是相当好玩

497: 天坐地铁还遇到一个帅哥在玩，可惜不同区

498: 操作太简单有好也有不好吧，参与感还有待提高

499: 游戏本身没的说，能解决闪退问题就更完美了

500: 技能好看是好看，但略微有点花哨了

501: 游戏整体还是不错的，有的细节还需要完善

502: 操作弱了点，不过画面和玩法也算弥补了

503: 看了很多评论，看起来游戏应该不错

504: 没有盲目的追求3D画面，2D其实也可以很美

505: 希望能多优化下BUG，不要老是掉线

506: 玩了一小会了，好像还不错的样子哦，过瘾

507: 其实游戏还是不错的。四区德玛西亚

508: 手游画面毕竟不能和电脑比，做到这样已经不错了

509: 看这画面舒服…

510: 很不错的一款手游，不过就是手机性能要好一点

511: 地图太少，任务也有点少，但很好玩，有待开发哈！

512: 又会创造另一个不灭的神话了

513: 很好玩的游戏，每天抽点时间就可以了

514: 哥们？你们能将人物体力稍做调整么，现在感觉体力不够

515: 现在吃饭点完菜都习惯拿出手机玩一会儿

516: 前期不要花钱买装备，速度冲级才是最重要的

517: 那么多玩家去下载，难怪导致登陆服务器严重超载

518: 还不错，估计能排到国内前5的手游

519: 装备设计挺科学的，武器也蛮好看

520: 终于等到啦，手机也可以玩了呢，爽歪歪

521: 安装了之后我的手机变的好卡啊

522: 带给玩家前所未有的体验

523: 这下可以玩的方便了呢

524: 太棒了，好玩

525: 我佩服!!

526: 简而言之，值得一玩！

527: 完美运转！！！

528: 现在手游版不知道怎么样啊

