1: 能不能增加点有意思的副本或者活动，好多节日连个活动都没有，时间久了会腻的
130: 副本还不错……游戏商是要教导我们不要乱丢东西么QAQ金币都得自己捡，来个自动拾取好不好嘛

131: 视觉效果做的很好，画面质感看上去就很精致，然后玩起来也不卡，不错的说

132: 仙剑大会每天什么时候结算啊，排名一直变是不是要一直打啊

133: 有没有牛B点的公会给我加下啊。

134: 画面流畅，背景清晰。。

135: 好费力的去拣金币，是说让我们知道钱来之不易吗？

136: 不错正在玩！画面超赞,运行流畅,动作带感,玩法有趣

137: 好喜欢糖宝，美术大人真是牛，硬把一条虫子变成了美女

138: 这是花千骨还是天龙

139: 不知道有没有结婚系统啊！我要找个轻水一样的女孩子当老婆！

140: 我是妹子，我希望多出点时装

141: 杀阡陌应该更妖媚一些吧？糖宝萌萌萌萌

142: 技能设定的不错，怪物也做了硬直设定

143: boss好大，技能有点炫好炫

144: 期待啊，不知道这游戏以后会不会推出多人团战啊

145: 对话界面都是赵丽颖说的么？声音不错

146: 如何查询游戏账号？

147: 玩了近两个月了 别的还行就是缺金币  建议玩家和玩家可以交易金币  每次抽完侠客就回到解放前了

148: 游戏不错哦，喜欢；

149: 良心游戏，比市场上的其他游戏好多了！

150: 仙剑大会每天什么时候结算啊，排名一直变是不是要一直打啊

151: 有没有结婚系统啊，我看其他游戏都有。你们也应该出个结婚系统就完美了

152: 副本挺好的，喜欢第二只boss炎魔怪；长得想剑灵的炎黄，哈哈

153: 希望能有成就系统啊，要不然真的没挑战啊！

154: 本人是放弃了刀塔跳过来的资深老手玩家，怎么说呢，画面很给力、效果很酷炫，给一个大拇指！

155: 人物形象不错，代入感蛮强的，赞赞赞

156: 小骨好嫩！开场动画点个赞

157: 赞，这个游戏看着简单，其实玩起来也是挺好的。就是缺金币啊

158: 升级装备用的金币和材料记得多攒点，三星的升级价值不大可以都丢去异朽阁，游戏玩着玩着全四星看着不难

159: 升级装备用的金币和材料记得多攒点，三星的升级价值不大可以都丢去异朽阁，游戏玩着玩着全四星看着不难

160: 人物和画面美哭了好吗？

161: 人物形象不错，代入感蛮强的，赞赞赞

162: 这游戏是我见过最好玩，最给力的游戏了，不用充值也可以有好宠物好装备，这种的没谁了，真的。

163: 公会之间可以打架吗？一个人玩多无聊，要有打斗才行啊

164: 不错，下载的第一款，就中意上它了，无广告，好！

165: 玩了内侧的表示，此游戏不坑，充钱更好玩!

166: 副本挺好的，喜欢第二只boss炎魔怪；长得想剑灵的炎黄，哈哈

167: 视觉效果做的很好，画面质感看上去就很精致，然后玩起来也不卡，不错的说

168: 丽颖丽颖！我爱你！我就是冲丽颖来的！

169: 有没有结婚系统啊，我看其他游戏都有。你们也应该出个结婚系统就完美了

170: 游戏很顺畅，玩法更是多的没话说，还很良心，签到还送各种东西！好评如潮。

171: 丽颖丽颖！我爱你！我就是冲丽颖来的！

172: 自从接触到这个游戏，我才发现，这个世界上居然有这么好玩的游戏！

173: 挺流畅的！打的很嗨

174: 小骨萌萌哒，武器也非常赞！

175: 符石系统怎么玩啊？看来会增加很多战力啊

176: 首测时就看到画面很清晰，场面也很漂亮，3D画面加合理化的动作，感觉还算是比较真实的。公测快开始吧。

177: 画面流畅，背景清晰。。

178: 副本还不错……游戏商是要教导我们不要乱丢东西么QAQ金币都得自己捡，来个自动拾取好不好嘛

179: 我以前都是不玩手机游戏的，但是从电视上看到居然有同名的电视剧，就下来玩玩看，然后就停不下来了！

180: 非常值得一玩的同名电视剧手游，还有丽颖和霍建华的加入！不玩不开心！

181: 符石系统怎么玩啊？看来会增加很多战力啊

182: 比较喜欢上古遗神花千骨，武器好炫

183: 游戏挺好玩的，希望礼包能多一点啊

184: 完了花千骨手游惊喜的发现，游戏中的角色形象跟电视剧中的角色形象是一样的！真的很惊喜啊！

185: 手游能做到花千骨这样完全可以了，一天能玩很久，很耐玩，很多活动很舒服，有梦幻的感觉！祝游戏越做越好。

186: 五分期待中，画面感是我醉爱，门派系统很强大，一直支持！

187: 不错，下载的第一款，就中意上它了，无广告，好！

188: 还可以 能搬砖的游戏。

189: 电视剧改编手游，使游戏更有灵魂和故事性，玩家可以通过游戏来知道剧情的发展，特别是追剧的小伙伴每周不用等了！

190: 作为市面上非常少见的仙侠类手游，在这个类型里的手游是非常出众的品质了，祝游戏大卖！

191: 游戏内容不多说，比起一些粗制滥造的手游，这个做的非常好了！严重支持！

192: 作为市面上非常少见的仙侠类手游，在这个类型里的手游是非常出众的品质了，祝游戏大卖！

193: 丽颖丽颖！我爱你！我就是冲丽颖来的！

194: 游戏好好玩，登陆游戏还看到了赵丽颖，不错啊

195: 的确大气磅礴的，玩起来很过瘾

196: 角色的样子跟换的装备一起变化，还是在手游上第一次见呢，不是单纯的变色而已！支持支持！

197: 游戏好好玩，登陆游戏还看到了赵丽颖，不错啊

198: 符石系统怎么玩啊？看来会增加很多战力啊

199: 有时间的时候手动提高效率，没时间的时候也可以挂机自动打，真不错

200: 城里人好多啊，赶紧组起来吧，有公会要散人吗？？

201: 不错正在玩！画面超赞,运行流畅,动作带感,玩法有趣

202: 首测时就看到画面很清晰，场面也很漂亮，3D画面加合理化的动作，感觉还算是比较真实的。公测快开始吧。

203: 游戏打斗画面好炫，会继续支持的；

204: 自从接触到这个游戏，我才发现，这个世界上居然有这么好玩的游戏！

205: boss好大，技能有点炫好炫

206: 游戏很好，就是希望少点刷屏了，我跟我朋友都很喜欢！

207: 本人是放弃了刀塔跳过来的资深老手玩家，怎么说呢，画面很给力、效果很酷炫，给一个大拇指！

208: 好友申请能不能搞个一键申请啊，活动给力，上来就送橙装的，绝壁是良心游戏

209: 好玩！连招打的简直停不下来，提一个建议，能不能把视角进行转换啊

210: 有时间的时候手动提高效率，没时间的时候也可以挂机自动打，真不错

211: 画面精美，犹如身临其境

212: 好费力的去拣金币，是说让我们知道钱来之不易吗？

213: 哪个职业比较容易上手？

214: 画面精美，犹如身临其境

215: 仙剑大会每天什么时候结算啊，排名一直变是不是要一直打啊

216: 喜欢  求大神带带  准备冲新服

217: 喜欢小骨、东方，支持游戏，无数个赞；

218: 公会之间可以打架吗？一个人玩多无聊，要有打斗才行啊

219: 完了花千骨手游惊喜的发现，游戏中的角色形象跟电视剧中的角色形象是一样的！真的很惊喜啊！

220: 非常喜欢这种类型的游戏啊！仙侠类动作游戏我的最爱！支持！

221: 小骨萌萌哒，武器也非常赞！

222: 挺流畅的！打的很嗨

223: 的确大气磅礴的，玩起来很过瘾

224: 真的好期待啊！游戏的剧情是跟电视剧的一样吗？会不会有剧透！

225: 还有没有其他人物出现啊，我怎么没有看见孟玄朗呢！

226: 画面Q萌，打击感爆棚，打的很爽，现在马上出新内容了，相信世界BOSS挑战，成亲什么的也快了！

227: 有时间的时候手动提高效率，没时间的时候也可以挂机自动打，真不错

228: 好友申请能不能搞个一键申请啊，活动给力，上来就送橙装的，绝壁是良心游戏

229: 有没有结婚系统啊，我看其他游戏都有。你们也应该出个结婚系统就完美了

230: 非常喜欢这种类型的游戏啊！仙侠类动作游戏我的最爱！支持！

231: 落十一成帅大叔了？n(**)n

232: 很久前游戏刚出来我并不看好，因为不喜欢这种模式，现在深入的玩了一下，发现这个品质真的不错，我会继续玩下去。祝游戏大卖！

233: 喜欢小骨、东方，支持游戏，无数个赞；

234: 刚出的时候一看画风很Q很喜欢，就迫不及待的想要玩了，现在中午玩上了，真的好开心。

235: 丽颖丽颖！我爱你！我就是冲丽颖来的！

236: 服务器爆满！

237: 仙剑大会每天什么时候结算啊，排名一直变是不是要一直打啊

238: 我觉得很好玩，画面萌萌哒，人物的样子可以跟装备一起变化我就很喜欢，不花钱也可以玩的很开心！

239: 升级装备用的金币和材料记得多攒点，三星的升级价值不大可以都丢去异朽阁，游戏玩着玩着全四星看着不难

240: 画面精细，人物生动又Q萌！看一眼就爱不释手啦~

241: 好游戏，就是材料缺，希望副本多产出一点精铁啊

242: 游戏很好 但是畅游 尼玛 我都做了五六十个戒指护符了而且都加了炼玉  尼玛 就出了一个80橙色护符 浪费老子差不多一万元宝 草

243: 说一句实话 游戏不错 但是太浪费时间和钱  里面场景很好 玩法也不错 就是漏洞有点多 游戏不够良心 充几十万得一件装备 不想说什么了

244: 为毛不能结婚？为毛不能结婚？为毛不能结婚？说三遍  不就是骗了GM几套礼服嘛，至于现在不让结婚吗？太过分了，请不要当误我五婚，以为更新以后会好结果还是这种死样子！！！

245: 更新以后，请不要那么卡行不

246: 妈的，开红的  天天杀老子  欺负你老子

247: 打富本想找本帮人可人家不愿系统是不是应该有优先皮配本帮人员功能

248: 以前玩的区 ，现在不知道了，怎么找到以前的区啊，急求

249: 怎么连接服务器失败？刚下的手机新买的。

250: 这个游戏还是不错的，别总骂人，理解一下鸡木，你能耐你来开发游戏啊！没有这游戏你想玩都没机会了！素质真低，要不你开发，要不就别骂！

251: 谁能告诉我美人阵法怎么弄啊？每次有新美人我就乱了！弄不明白啊

252: 为什么老是法力不足。

253: 就是任务太多了。打副本一个副本一天打四次，要吐。

254: 天龙八部也算武侠手游

255: 为什么我的三级石头转换一下就成二级了  运营团队给个说法。

256: 游戏更新人员太懒，节日完了，还有！

257: 还可以，不过就是费流量。

258: 什么礼包一个都没用，用不了就不要搞啊

259: 真心卸载擦了，浪费时间浪费钱，

260: 擦，更新的玩不了闪退，吗的。玩毛啊！擦擦擦
真心不想给

261: 大哥  下次更新的时候 商城能不能出售一级宝石   棋局的宝石太少了   都快玩不下去了

262: 福利还算一般，而且少

263: 玩了几分钟就闪退怎么回

264: 一段时间没玩了。。忘记在哪个区了。。请问可不可以查找账号在什么区创建过角色。。求解

265: 哎呀呀纠结

266: 维护时间太久了

267: 维护的时候能不能在系统里先通知我们啊！维护多久！需要多少时间能不能说明啊！这样害我们无限登陆都烦死了

268: 积木你，妹，为什么抽侠客老不给我红色和橙色侠客啊！还有这个发世界能不能不时间限制那么严啊！发一个要等好久才可以再发

269: 客服是不是能搞个仓库啊，东西多的没地方放，包裹只有90格太少了

270: 为什么戴尔平板玩不了的问题二个月没解决，

271: 客服回答下，为什么我的账号登陆不了，有时候显示数据丢失，有时候显示请求失败，登陆超时-4d，可是我wifi好好的畅通，电影都看得了一点不卡，而且我畅游版本的账号又可以登陆，就360的不行，卸载了重新安装也不行

272: 为什么登陆不了了？？小米4的手机，360账号登陆了N多次都登陆不进去

273: 宝石转换着就自己降级了，这个也改正行不？

274: 今天能不能玩了。积木

275: 今天维护了？到几点？

276: 今天什么时候能玩啊！

277: 260区，永久停留，

278: 游戏是不是在更新？？怎么进不去？？

279: 为什么挂机会卡掉药水，40级 红灵珠4个蓝灵珠4个放在背包里面挂5个钟就没了能介绍下么客服？

280: 游戏没有玩家交易系统，给别人装备还要挂寄售的，手不快抢不到的，希望加个能交易的系统

281: 有没有在260区玩的，一起玩啊

282: 为什么还有野狐皮，给个说法啊

283: 还没玩的，大神们，都是哪些区的，以后跟你们混了，外观可以，第一映像，3星

284: 真心受不了了，节日早过完了，还看老给我野狐皮，就不能删了吗？

285: 为什么不让我找人一起玩！~

286: 能不能不要这么卡啊

287: 活动都结束了，还能翻到国庆节用的东西，现在都不能用了！360给个说法吧…

288: 有几个傻逼id玩你妈逼什么都闪退，赶紧回家去买个固定电话让你爹给你绑身上，能不走丢就行了，还玩你妈的游戏？

289: 这游戏没法玩，今天怎么回事？一进去就闪退，以前玩的好好的

290: 能不能告诉我为什么进入不是以前的区，以前不是可以用扣扣登的吗！

291: 客服帮我擦一下几区的

292: 不是说好宝石转换不掉等级嘛！为啥我的3级暴击，变成了2级暴抗！如果你是怕人钻空子！麻烦请您加个备注，别TM坑了别人！

293: 什么时候开新区

294: 谁知道客服电话号码啊，昨天更新了，游戏始终登陆不了，重新下载也不行

295: 什么时候开新区，坐等新区

296: 从开服到现在，我拖坑了四次了！

297: 角色名：神A齐岳

298: 客服在吗，我忘了角色在哪区了，能帮查一下吗

299: 我以前很喜欢玩这个游戏，知道为什么现在不玩了吗？     ———太累了，.....

300: 我擦   我的阿碧    合成通用可以还给我吗

301: 马得活动节日这么久了，还在出任务道具，都400多个了，每天翻牌子都翻不出东西全是国庆任务道具，好久更新9.2？速度解决。

302: 我真的不想说什么了  我不是来恶意攻击的  游戏还不错  但是360平台太让人失望了  我玩到快60的时候30的主线还做不了 找客服客服说等3天   手游差3天  那的差多少  这我都忍了  结果3天后告诉我重进游戏就好  好尼玛呀(知道不文明了忍不住)   要是重进能好我找你们呀  又让我等3天 我就看看3天后能怎么样？

303: 为什么我的V2突然就不能自动强化了！刚刚开始就是可以的，突然就不行了，明明设置里就已经选中了，为什么？求解？？？？？？

304: 为什么我的V2突然就不能自动强化了！刚刚开始就是可以的，突然就不行了，为什么？求解？？？？？？

305: 为什么更新后，我玩游戏时，耗电比以前快好多？

306: 为什么我刷聚贤庄不爆装备

307: 不错！还能测试自己的肤色！

308: 用虚拟屋做出了很多新的发型，好厉害！

309: 这里包罗万象，有许多女性朋友关注的话题

310: 各种功能十分便捷

311: 很多的圈子都喜欢，美食的大家好厉害！

312: 很真实，可以让人说出心里不敢说的话

313: 这款软件很好玩儿哟，超级喜欢的

314: 我已经是圈主啦我会说吗~棒！

315: 又能聊天又能拍照，老公都怪我不理他了

316: 可以和陌生人吐槽自己的生活烦恼，结交了好多号姐妹~

317: 很喜欢，每天都会逛逛

318: 很喜欢这个社区，每天不再枯燥了

319: 一直在用，新版本的小功能可以关注姐妹了呢

320: 很喜欢，每天都会逛逛

321: 闲着翻翻家长里短，好玩

322: 里面的都是我感兴趣的帖子，认识了好几个新朋友

323: 换眉毛超级有意思！

324: 活动特别多，收到了好多的礼物！喜欢！

325: 一直在用，新版本的小功能可以关注姐妹了呢

326: 我觉得现在就需要这种软件，让我每天都有一个放松心情的社区

327: 百变造型，天天都在拍

328: 希望能多出点好玩的小游戏，都爱玩！

329: 太喜欢虚拟屋了，随便拍~

330: 知道了好多生活知识，还有交换秘密

331: 姐妹们推荐的穿搭超漂亮！

332: 我很爱她社区，玩的很愉快。

333: 这里包罗万象，有许多女性朋友关注的话题

334: 这个软件太好玩了！我弄了好多好看的照片！

335: 我要在这里这根开花，无处不在，越来越火！

336: 喜欢虚拟屋，有好多造型

337: 认识了来自全国各地的闺蜜们，充满正能量

338: 充值能不能Q币充值啊，还有那个赤焰麒麟真的能抽奖获得吗？我打算充钱100连抽

339: 一直显示真在检查资源版本信息中！

340: 三十级的副本出现在四十多主线里，你现在叫我怎么升级？

341: 希望出个轻功，每次要走门，太绕路了，出个轻功直接翻墙。希望考虑，游戏还不错。

342: 什么时候开新服呀

343: 活动物品下架不及时

344: 什么时候开新区？我打算开新区再玩，告诉我下

345: 今天有没有新区？

346: 失望了，原来玩的电脑天龙八部，六大门派都有，为什么这个没有峨眉？果断卸载

347: 这维护的是个啥玩意儿，还掉落那些皮毛，很烦人的，该掉落的时候不掉，不需要了哗哗掉那么多，闹哪样？

348: 我抄。。。突然更新屁不放个?

349: 我想吐槽一下挂机系统，反应太慢傻站着好几秒钟才动起来，几秒！贫民玩家都能让群怪给打死了

350: 挂一晚机无辜被杀了三次

351: 昨天挂机一夜，早上起来掉线一看是更新了。游戏人物血少了三万多，下线重启还是少，什么都没动无缘无故少血，给个解释

352: 我都有几百个活动道具了，能不能不要掉落？又不能换。太亏了，求补偿

353: 上一次玩着感觉没啥意思，这一次看见评论了，决定再试一次

354: 老子开着网，资料片一过就尼玛更新失败 去你妈逼的吧

355: 这今天老说经验上限，我115级刷5000万经验就上限玩毛啊

356: 不是说更新了国庆掉落物品没了吗？为何依旧有？国庆都过了多少天了，净掉这些。。。又没用的。这不是坑吗？！求补偿啊(⊙o⊙)还有，更新了，招财进宝我的50元宝最后一天可以领的，怎么没了？？？求补偿，求解释！！！

357: 我想说的是，能不能有个赠送功能，想送装备给好友

358: 进不去了阿？什么情况更新什么时候能好呢？

359: 今天怎么进不去啊

360: 资料片更新，进不去，什么鬼

361: 我得到的美人为什么未激活，如何激活阵法

362: 总是说什么资料片更新进不去是怎么回事

363: 我的区服忘了，怎么找到 。真麻烦。

364: 现在副本打完老是有狼皮，现在活动也结束了，又兑换不了，到时候是不是给补尝，看到狼皮都烦，

365: 不是说今天有新区吗？区呢？

366: 什么网站成功率高，我也是醉了

367: 很喜欢呀

368: 很好，就是丐帮的装备太难打了

369: 为什么更新不了什么网络问题我网是光纤

370: 游戏里的红包是假的吧，从来抢不到

371: 我想问下，这个安卓和ios是通用的么？我还有一个ipad。

372: 还不错

373: 一批又一批反反复复。

374: 麻痹，天龙有客服么？只知道收钱！为什么没有人工客服？我玩天龙端游八年没打通一次客服！去你麻痹！

375: 很好玩的游戏

376: 还行，以前玩过少林，现在玩丐帮

377: 请问，戴尔平板什么时候能正常玩？？？？？？？？？

378: 我要充值，不能用qq钱包支付么？

379: 什么时候114区合区啊，老区没人，去新区玩还得从头玩，不充钱根本没法玩。

380: 光给节日过得东西！怎么个情况不知道更新吗

381: 为什么都叫大大不叫大姨妈，不公平，下次女的咨询叫大姨妈

382: 国庆密林寻宝活动10月8日23:59已结束，为何9日了挖宝和副本还是有活动黑珍珠，野狐皮掉落？？？？？浪费啊，本来该掉其他东西的，怎么办？求补偿！！！！！！！

383: 不错   我喜欢

384: 麻烦把241区打广告的封号  然后在游戏里面弄个客服   有时候有啥不懂的 可以问问客服

385: 241区 打广告的太多了  怎么不处理？

386: 哇操！这里还成了鹊桥啦

387: 坑啊！不好玩老，80级以后升级好慢啊

388: 我充值银行卡钱扣了。元宝毛都没看到.这是什么意思

389: 还不错，很好玩。

390: 如神般的烧钱游戏 你们还说好玩，坑神啊

391: 怎么一直无限循环登录账户？？

392: 好玩吗

393: 为什么226的上不了角色界面里了，上其他的区都行，快点解决啊

394: 怎么上不去了？？？？？

395: 246怎么进不了啊？

396: S244区咋上不了，

397: 今天怎么进不了角色界面啊？

398: 还有九分钟打恶人了，我到现在还进不去

399: 速回为什么九五至尊区进不去别的能进求解

400: 为什么九五至尊区进不去

401: 游戏很好玩

402: 游戏里怎么没有客服啊！垃圾游戏，人民币玩家的天下…

403: 底下评论都什么鬼？

404: 为什么武林大会结束了没有奖励，八强

405: s227区龙游九天进不了游戏

406: 打广告的世界打不了，开始私聊打！

407: 这游戏很好。我才2天就48级了，当然，是两整天，升级不算难。我记得说送神兽呀？这点有点盼望。刚下的时候是看评论里好多说交到了女友，觉得有点意思就下了。当时不准备升战斗力的，结果挺好玩的！所以也没找妹子，主要是找不到。嘻嘻，很好的游戏！我想要神兽呀！

408: 到底有没有客服在线回复？  有的话快点出来

409: 游戏我挺喜欢的，我比较懒嘛，挂机很强大~点赞，只是我今天好容易趁着双倍跑商两次居然银子不见了…有点揪心阿！！

410: 装备这两天多次下架在邮箱怎么收不到？？求解释！！我是天龙老玩家！希望客服帮我查下是怎么回事！千万别让我们广大老玩家心寒！

411: 我想知道红包到底有啥我一个也没抢到

412: 牛X

413: 天龙为啥这么卡啊，卡的没法打啊，老是卡屏

414: 这软件不错～试着约了几次～挺多人找的～颜值身材都很好～有两个还是第一次～赚了～这真心不错～

