1: 哈哈  一直用找乐在领礼包玩

2: 卡死在邓超、BABY跑的界面！动不了！无提示！
76: 艾玛，还没开始玩就闪退，还不如天天酷跑

77: 老是闪退

78: 要不要网

79: 还好吧

80: 不是很好，每次玩完一局的时候他都会自动退出。

81: 不错超好玩

82: 玩不了

83: 这两天怎么打不开

84: 每玩一场就闪退，不过还不错，我在这个游戏上已经花了50多元了

85: bug太多，升级花费太多

86: 好差，安装不起

87: 我一星都不想给，这么烂的游戏。那来那好评么多好

88: 一点也不好玩，千万别下

89: 这太不好玩了，这样的游戏谁稀罕，一个烂游戏。

90: 一点都别不好玩，别下

91: 不能玩！别下

92: 问一下要网吗

93: 如果能删除好友就好了

94: 刚刚下完，体验一下。

95: 还可以..很棒！！！

96: 怎么回事这两天怎么进不了游戏了？一进就说游戏已断线到底是什么情况？

97: 喜欢

98: 怎么回事，点进去黑屏，黒了以后闪出来

99: 怎么注册

100: 还不错。我在找乐玩的破解版

101: 还行吧 ，可以玩

102: 如果不闪退的话就好玩'下这个游戏的都是脑残沙比2比

103: 不好玩

104: 非常好，但是如果可以用金币和钻石两种方式抽宝箱或宠物蛋久好了，我相信，如果可以这样的话你们的人气会更高！

105: 用网太厉害

106: 我无法进入账号模式

107: 老闪退

108: 为什么会黑屏果断删

109: 太好玩了，力荐！

110: 为什么明星商店没了？

111: 没意思！还不如“跑男来了”呢！

112: 好玩

113: 好精彩，刺激。

114: 为什么总闪退！

115: 不错

116: 千篇一律，什么啊

117: 满星

118: 这个游戏怎么玩呀？ 知道的告诉我！

119: 下奔跑吧兄弟的都是傻瓜、笨蛋

120: 玩不了啊、、

121: 俺也是醉了。。。。。打不开，差评！没有天天酷跑好玩！！！

122: 感觉这些跑的游戏都差不多

123: 闪退太猖狂了，我家很伤心了

124: 不要脸！抄袭天天酷跑！

125: 我去，这个明明是天天酷跑换了个版本嘛！

126: 唉，进不去！！！！！！

127: 我操一忽儿就没网了，差评

128: 登录不了账号，差评

129: 之前还好好的，最后光掉线 ，又打不开了。

130: 好好好好好好好好好好好

131: 这不就是模仿天天酷跑吗......

132: 不错，很好玩。

133: 不能玩

134: 之前好不容易把等级升起来，更新之后全没了

135: 人太丑了，差评

136: 还行1

137: 还可以

138: 一点也不好玩,浪费内存,人物做得又不好看

139: 好玩

140: 进都进不去的破游戏

141: 麻痹的，进不去，果断out

142: 你们那些人啊   我也是服了  自己手机烂还怪软件  呵呵

143: 不好，一进去就说要下载新版本，到现在,下载了一遍又一遍。

144: 差到无极限，差到我想吐

145: 会闪退，而且人物做的不好看

146: 时不时自动退出，没玩也用了我的道具

147: 9999999999999999999999个差

148: 进不去

149: 就那样和天天酷跑差不多

150: 好玩，力挺

151: 坑爹啊，我玩游客还充值可更新以后游客登录没啦！坑钱啊！

152: 太好玩个屁，都不好进去

153: 好玩…………………………………………

154: 进不去

155: 天天酷跑比这个好玩

156: 太他妈坑爹了

157: 根本进不去，我要卸载

158: 谁说不好玩啊

159: 每一次只能玩一次

160: 單機玩完就不能在玩，在線遊戲，登不進去

161: 更新以后为什么不能玩了，只能玩单机的？什么情况不？？？谁能解决？

162: 抄袭了吧。总有抄袭天天酷跑的赶脚。人物也不太好看。还是玩天天酷跑吧。给大家的忠告。

163: 关卡都进不去  怎么解决啊

164: 坑钱的  我靠

165: 更新后再也进不去了，这是服务器关了，改成单机了？

166: 赞个，不过给3星，理由是跑着跑着人物变黑，头变黑方块。。几个意思

167: 靠，老闪退

168: 老闪退，刚进入就退出了，给一颗吧。(๑•̀ㅂ•́)و✧

169: 比天天酷跑还好玩，天天有撕名牌吗？天天有钥匙吗？天天有时装吗？天天有名牌兑人吗？天天有周卡吗？

170: 这个游戏很赞，超好玩，尤其是新增关卡模式，为你点赞，希望可以出个坐骑就更好了这样可以跑的更快也更加了酷炫，吸引玩家的眼球

171: 提示更新点了，在线更新然后更新成功自动重启游戏又要更新，无限循环，删掉重新下个，好了无限黑屏2 3秒就已停止使用 从丢装备到现在也是够了 看在跑男面子上继续玩 一星差评

172: 切，现在游戏有什磨好玩的

173: 周卡是从你买后下一天出现的，我买过

174: 完美

175: 为什么单机可以进，账号登录却进不了，搞什么啊

176: 为什么更新之后反而打不开

177: 哇靠，更新后好玩多了。

178: 好玩啊

179: 千万别买周卡我刚花了12都没显示有周卡

180: 挺好玩的，就是能不能少蹦出花钱的页面来

181: 刚更新完，竟然说什么停止运行！！

182: 妈比一进去就退出了

183: 更新完了，那以前的帐号呢

184: 更新完，根本登不上去好吧！！！！！一个劲儿说网络异常，有病呀～～～～

185: 喜欢聊妹子，就来我名字提到的吧

186: 我更新完了，有从头开始了

187: 为什么经常突然退出来

188: 打不开

189: 好好玩啊。

190: 没天天酷跑好玩

191: 不要充vip，不充的话明星商店出现二十分钟消失，但是每次刷出的东西不一样。充的话明星商店一天都在，但是商品不变，只有用钻刷新。

192: 玩了好久了突然无法连接到服务器了，这是怎么个情况

193: 妈的，老闪退，虽然我知道有我手机不好的原因，但其他游戏怎么不闪退。看跑那么男的面子给三颗

194: 挺好的

195: 这个游戏我觉得很好玩啦，你们呢！

196: 差评，一进去就黑屏，等了几秒钟后就显示应用意外停止

197: 很好玩，手机不好的别侮辱这游戏

198: 很好玩呀!

199: 爽死了

200: 烂烂烂！盗版天天酷跑中的垃圾！不玩，卸！

201: 不好玩，果断卸载！

202: .....完全模仿天天酷跑！！！

203: 盗版天天酷跑！！!

204: 求更新呀。。。。。。。。。更新  。。

205: 还行。

206: 盗人家天天酷跑

207: 垃圾游戏，总是闪退，一颗星也不给。

208: 游戏还不错  好玩

209: 太恶心了,简直就是毁了跑男

210: 总是闪退

211: 开服就开始玩了  除了偶尔会卡出现在超级奖励出不来 没别的了  什么闪退从来没有过 四星吧毕竟不是很完美 期待早日更新

212: 我操，我为吗登录不上去啊！差评

213: 为什么老是闪退

214: 勉强给个三星，给《跑男》给个面子。

215: 很好

216: 闪退，一星都不想给

217: 很好

218: 为什么点账号登录没反应，一点游客登录就上去了。真无语。

219: 实在太坑爹，玩着玩着突然关机，然后我回到家一看原来手机还有电。

220: 好坑爹，没有天天酷跑好玩。

221: 不怎么好

222: 游戏还可以，但是总是闪退，而且闪退的话，那个体力还要扣掉。这是一个问题。

223: 老闪退！！！！！！！！！！！！！！

224: 闪退问题怎么还不解决？！！！！

225: 一不小心买了复活币6块钱，果断谢了，草

226: 闪退！

227: 挺好玩的，但就是总闪退

228: 游戏很好玩，但总是闪退，希望可以快点修复这个问题。

229: 这不就是天天酷跑么

230: 最近经常性地闪屏，而且疯狂被退出。希望公司看到后，能够查查是什么原因，抓紧改进。一个礼拜前真的很好的！！

231: 怎么总是闪退

232: 不错的呢1

233: 超好玩

234: 好玩

235: 我都vip3了

236: 超卡

237: 不好玩，卡死了，还有，没有王祖蓝，而且baby怎么变成安琪儿了？差评，2星。

238: 垃圾，不可以玩

239: 老卡，充值玩啥都没有，骗钱，千万不要安装。

240: 我告诉你们为什么闪频，是因为有人给你们发信息。不过很好玩，就是baby怎么是安琪儿？

241: 非常好玩呢

242: 差劲

243: 请问二个月是谁

244: 太闪了我要投诉他

245: 我的不闪退。

246: 老是闪退，玩都玩不了。果断差评

247: gogogogogoogogogogogogoogogogogogogogoogogogogogogogogoogogogogogoogogoogogogogogogoogogogogogogogogogoogogogogogoogogogogogogogoggogogogogogogogogoogogogoogogogogoogogogogogogoogogoogogogogoogogooooo

248: 不是第二季吗？怎么还有宝宝？应该是包包！

249: 老是闪退玩都玩不了

250: 用网吗？

251: 非常好玩

252: 怎么玩

253: 登录登不上

254: 玩都玩不了

255: 很赞的游戏。。

256: 一登进去就闪退

257: 看看就知道蛮好玩的

258: 好玩是好玩   为毛 进去不一会就闪退啊

259: 还算不错，但是咱们少做关于VIP的广告吗？

260: 好评哦

261: 真好玩

262: 人物太难解锁

263: 不能玩

264: 什么时候更新

265: 怎么说呢

266: 打不开

267: 太好玩了！

268: 為毛光閃退

269: 为毛打不开，试了十几遍了，内存有还有很多

270: 根本打不开

271: 不错  不过为啥没有王祖蓝啊

272: 登不上去

273: 脑子坏掉，不好玩又好玩，很好玩的游戏。

274: 闪退

275: 下载这个不如玩天天酷跑

276: 他妈的，不是手机问题，老是闪退！有意思吗？

277: 还行吧。

278: 游戏什么的都是那么玩的，最后看我昵称才够劲！

279: 简单登陆哦

280: 尼玛

281: 登不上去

282: 如果我手机运行内存512MB，早都闪退了，1GB运行内存还卡。望提高流畅程度！

283: 超级好玩

284: 不错

285: 根本登不上去

286: 非常好玩

287: 嗯。不好玩。全是伪造天天酷跑的，根本没有新鲜感。

288: 很好玩

289: 哎！刚开始就闪退！玩着玩着就自动关机了？

290: 哦看看

291: 差，非常差

292: ting说双击可以取消赞为什么不试试呢

293: 整天卡，一开始就掉，这游戏不能玩，既占空间，又坑人！

294: 整天卡屏，TM的,还能愉快的玩耍吗？

295: 好玩！之前玩的天天酷跑都是微信好友一起玩，一点挑战性都没有，现在有这么多人一起跑，我这斗志又燃烧了！

296: taihaowanle
zafhn

297: 可以

298: 谁说没跑男的，还老乡，你这是黑老乡的吧

299: 游戏很一般，离期望值还差很远

300: 我明明上了网，为什么网还说没上网

301: 玩到三级就卡屏，一直卡，点进去说网络连接中断，继续卡，玩其他网游毫无压力。

302: 跑男棒棒的

303: 总是闪退，不是手机问题，

304: 简直无与伦比，其实一星都不想给，看在跑男给了三星，完美闪退，过了新手指导就闪退，我说不是手机的问题，手机新买的苹果6，绝对不是手机问题(O_O)？建议别下，会后悔。
不过还是支持跑男！明嫂baby加油↖(^ω^)↗

305: 大爱笨熊超级好玩

306: 超级好玩

307: 最近在玩 都市逃亡不错

308: 卡伫，但是还行

309: 草！卡，慢，卸载不了，力荐别下！

310: 超级好玩！

311: 很好玩了，

312: 卡比！！不是一般的卡！任务界面把我卡死了！卸载了又装，进去又是卡在任务界面！！反复几次！！卡逼！！垃圾！垃圾！20兆网络的情况下，其他游戏流畅无比，就这垃圾游戏，点哪里卡哪里！！垃圾垃圾

313: 有够无聊。

314: 虽然我和邓超是老乡，虽然已经正式没有跑男3了，但不得不说这游戏真是一般般啊！！超哥还是带等哥来手游岛模拟器上玩重度手游吧！

315: 破手机就别bb

316: 红米note完美运行

317: 这游戏有客服吗？？？靠。。。什么破游戏啊

318: 完美闪退，还抄袭，简直侮辱了跑男

319: 为什么在玩时闪退

320: 不错，支持.

321: 第一次就老闪退。还能不能玩了？

322: 很好玩，支持奔跑吧兄弟

323: 还不错！

324: 赞，很不错，玩不了是你们手机问题吧

325: 我第一次进去就老闪退

326: 不好玩，老闪退

327: 游戏比较无聊

328: 我发表评论说这个游戏老是闪退，居然发不出去！

329: 这游戏老是闪退

330: 玩了一会就没了。

331: 游戏挺好玩的！赞

332: 好玩！不花钱也挺好玩

333: 说好的三倍金币呢

334: 好好玩的啊，我三星，一直都可以玩，从不闪退

335: 老闪退！虽然好玩，但老是闪退！！！！

336: 破烂

337: 好玩

338: 不不好好玩玩

339: 好玩wewedf

340: 老是闪退，靠

341: 好玩小米3能玩

342: 新手指导完了，他就自动退了出来

343: 为什么玩不了，总是进不去

344: 这个游戏联网吗

345: 好玩，小米3能玩

346: 总是进不去，好想玩一玩-_-。

347: 垃圾   玩不了

348: 进不去

349: 有破解版吗

350: 登进去了怎么玩不了。

351: 好玩!!!

352: 太好玩了。

353: ca         jflks

354: 登都登不上，不好玩坑爹，我投诉

355: 这个瓜B游戏!说好的是瓜B中瓜B

356: 哪个东西！就知道钱钱钱钱!坑爹哦！哪个公司出来的！我要投诉!

357: 闪退不解释

358: 不要说游戏不好，而是游戏本来就不好。

359: 不能玩

360: 好玩

361: 好玩！！！

362: 我都玩了好几遍了，都是新手引导。

363: 什么鸡巴烂游戏

364: 现在开发商都是这样，一点心意和新意都没有，完全互相抄袭。节目组也是，有钱就给授权。

365: 自从更新后，只要一打开这个游戏，我的手机就自动关机了，怎么开都开不了，得充着电才能开机，是我的手机有问题吗？之前不会的吖！还是删掉这个破游戏好了，免得中病毒了。

366: 老是卡退什么命堂

367: 不好玩

368: 完全盗版天天酷跑

369: 那个武林神什么机吧的老子看你游戏应该都没装，，你他妈就是个托，打死你个逼，老子用的是P7L09光纤100兆的无线，你他妈说手机问题？

370: 奶奶的人家60级，为毛我到26就没任务了？？坑爹嘛

371: 反正我现在是进去就掉线，有时一直跑都不会停，花了100多就玩这机吧！

372: 那是你们手机问题，怪小编干嘛，看来大家为了证明自己手机是好的还想出了这样的招，够坑。

373: 当你好好多了

374: 尼玛什么破游戏老是闪退。

375: 怎么更新后老是不稳定，怎么还没解决？

376: 不错，可以，自己手机不行不要怪游戏

377: 去他妈b的卡死了又进不去老是退千万别下载后悔不关我事

378: 不好，大家不要下，闪退的！！

379: 不好

380: 接力怎么换人 谁知道。

381: 无聊

382: 不太喜欢画风=_=

383: 还不错，有点像天天酷跑。。。跑酷游戏都一个样！！

384: 不能玩吗？

385: 闪退  啥破游戏

386: 老卡，我手机内存还有10个G，网络是无线网又么诶人跟我抢，

387: 你妹的，系统什么时候修复好啊？？？还让不让人玩了？分数一直上不去，他妈的，都降到黄金组去了。

388: 法克，玩不了。

389: 去他妈的吧，无限秒退。。根本玩不了。。垃圾

390: 总是闪退，果断卸。

391: 4G网络都玩不了，求解释？什么啊，老是断连。当然好玩是好玩，为什么天天酷跑都不断链，你就要断链

392: 非常好玩顶顶我的游戏名叫陈赫大家加我

393: 好好玩，不过和酷跑一样

394: 一直闪退，怎么可以登进去？

395: 为什么闪退

396: 登录不进去啊

397: 礼包的兑换码怎么粘贴不上啊

398: 一进去就老出错。

399: 怎么进都进不去，都已经两天了。

400: 登不进去，怎么办

401: 为什么一直闪退

402: 不是酷跑吗

403: 太好玩了

404: 本来玩这个游戏玩的挺好的每天都玩，自从更新后一直登不上我只想说真他妈垃圾

405: 玩着玩着就自动退出

406: 闪退

407: 老是闪退

408: 玩一回就退处

409: 系统很多漏洞，我进入了奖励阶段一开始还有金币但到后来还有一半多时间就没有了。还一直跳不回去，等我退出游戏的时候20多万得分只有有0了！体力还有道具全扣光了！果断差评!果断删除!

410: 更新够怎么玩不了啊？还害我的手机老是自动关机，搞什么鬼啊？？？？

411: 垃圾游戏。总是闪退。不好玩

412: 坑爹呀什么破游戏这跟本进不去

413: 好好玩，己经到钻石组了！

414: 不好还要花流量
举报

415: 根本都进不去，都不知道好不好玩，坑人呀！>_<

416: 非常好玩五星！！！

417: 这没有网不能玩

418: 接力出现bug,选不了人，快点修复

419: 不是说免费么 要么没网进不了

420: 很好玩

421: 进去后老是闪退，坑爹

422: 不知道可不可以进去，希望不要网络

423: 就一直没进去过

424: 好玩

425: 要WiFi吗

426: 要流量吗？

427: 更新之后怎么进不去游戏了

428: 更新后老爱掉线卡机

429: 么，呵呵呵呵我来占个位子

430: 还好

431: 安装包损坏怎么办

432: 更新包安装失败怎么回事

433: 老闪退，闪退完，在进就进不去了，一点就闪退，还得从新卸载从新安装。希望能修复。。

434: 游戏中遇到问题请加qq群：287310909

435: 支持跑男

436: 怎么更新了我从白银组到青铜了！而且鲜花从将近两百到0了！游戏有点卡！

437: 更新完bug很多

438: 这次更新后总是与服务器断开连接，更新的……

439: 还行吧，耗时间，装备强化简直是坑，钱太少了！！

440: 用找乐送礼包 很值钱啊

441: 哪来的一群差评水军

442: 宠物碎片怎么弄？

443: 开服啦。更新新版本了

444: 服务器关闭！！！

445: 好玩，不错，但是现在说什么服务器关闭，压根打不开，玩不了！！！！！

446: 三星9500卡的蛋疼画面不流畅。

447: 还以玩了最好

448: 太好玩了！大家下啊！我买的不到3000的手机玩一点都没有缺点。

449: 这游戏没法玩了，要么体力耗尽没法补充，要不就是根本跳不过去，玩了几十盘，最高分就48507，玩了这么多回，我就遇见一回队长。借跑男之势打造的游戏，力度不小，但诚意尚缺啊，2颗星，不谢

450: 垃圾        一直闪退

451: 为什么进去了之后杨颖邓超郑凯在动可进不去？？

452: 你们猜我加载了百分之几，百分之五百都没停！玩个屁啊！

453: 为什么每次都闪退，而且每次都是在开始游戏的时候，总共就十条命，有八条是闪退掉的，这是神马情况

454: 进不去                                   差

455: 很好玩的。

456: 游戏很多漏洞··到了后期就别想升级 除非一个星期不玩·才能升级·有这样的游戏吗·一星期不玩升一级

457: 他妈的，气死我了，玩不了。

458: 进去试玩了一下，登陆后就叫请更新游戏，尼玛确认按了反应，就一直停留在那个界面，回来这边又没看到要更新，够不够精彩！！！

459: 让更新游戏，更不了啊，

460: 这游戏进不去，千万别下。差评。

461: 不错

462: 果断差评

463: 好玩吗？

464: 非常好玩大家快来玩吧！

465: 果断差评，不要下载，

466: 进不去，如果想进去要很久

467: 太好玩了 用找乐玩还送道具呢

468: 垃圾，升不到5级，两个任务完成乐领不到奖励，退出后又重新玩，完成三遍领取一直提示错误

469: 太好玩了<3

470: 太恶心了，到二级就卡死了，不让你升级，明明任务都完成了，就是不让你领取任务奖励，显示的是错误，真心的坑

471: 二级那个任务就完成不了  一直不能升级

472: 第一次能玩   第二次就进不去了  服务器还总掉线

473: 为什么到5级最后一个任务卡bug了。差评

474: 进不去.能不能，不评分

475: 进不去啊，一天都进不去

476: 服务器已关闭

477: 花不了钱啊。支付了不扣钱，显示成功，但道具也不给

478: 服务器关了？进不去，垃圾游戏

479: 服务器已关闭，怎么回事

480: 总特么闪退

481: 哈哈还不错

482: 为什么会闪退

483: 城市里二不可把他

484: 这是第一季吧,还有宝宝呢！也不换第二季

485: 打不开

486: 没有大黑牛，没有陈赫，没有包包，没有祖蓝。

487: 打不开

488: 我艹   我他妈费流量下载完一安装居然不是跑男是太极熊猫  啥情况

489: 垃圾，，，，一玩，，，，，，就闪退

490: 道具升级可以提升道具辅助效果

491: 成就奖励领取的奖励和别的是不同的

492: 新版闪亮登场，喜欢

493: 道具升级后辅助效果更给力哦！

494: 碰撞到障碍物时并不会立即结束游戏

495: 我觉得可先升级加分小星星。

496: 看到这个6关卡要获得三星难度比较大

497: 大黑牛真是一如既往的强势

498: 打开烧饼辅助修改器，然后最小化到后台运行

499: 答题、撕名牌、都很好玩

500: 凑足300钻石再进行寻宝

501: 从旁边冒出的栅栏、从天上掉下的大桶这两个才是要害。

502: 新版本来了，很不错

503: 闯过难关，就能一个不一样的游戏世界

504: 要撕名牌时，会给大家提示

505: 知道不？出现滚动的箭头提示，可以撕名牌

506: 一款诚意十足的跑酷游戏

507: 刚才看到，成就奖励界面上方可看到当前累积的成就点

508: 嘿嘿！！成就奖励很吸引人，赞一个！

509: 我也对成就奖励不是很清楚

510: 成就点累积满50点时兑换奖励

511: 晨哥，是体魄强壮的大黑牛哦~~

512: 动感光波是谁的技能

513: 超级喜欢的游戏！喜欢我的女神啊

514: 大黑牛在手游里面肯定也是少不了的

515: 超哥有哪些超能力，跑鞋很厉害

516: 超哥, baby 你们有什么想说的吗

517: 操作简单，只需要 动动手就可以了

518: 参与pk赛的小伙伴有点小激动

519: 部分道具升级还得花费钻石，如护盾。

520: 王宝强很厉害，不像大家想象中的那么弱

521: 为什吗没有陈赫？

522: 嗯~~不同角色有不同的属性

523: 嗷嗷，不少雪球阻挡，哈哈

524: 貌似不少玩家在过关时就会遇到不少麻烦

525: 不清楚人气如何获得 求助啊~

526: 会不定期会有各种活动哦

527: 减缓速度，很容易就给对手追上了。

528: 一定要避免直接撞上障碍物！！

529: 避开障碍需要大量熟练操作哦

530: 比起其他跑酷游戏，这个真的不错

531: 比较爽 加速的地方也会不少

532: 玩法比较容易，加油吧

533: 提高50点体力上限，购买价格不低哦

534: 哈哈~奔跑过程中体力是不断减少的

535: 还是奔跑分数更高一方获胜。

536: 奔跑吧兄弟团的每个人都很喜欢哦

537: 游戏里面给玩家们提供了各种道具

538: 体力强化道具作用很强大

539: 有很多钻石 我很厉害

540: 奔跑方式和其他跑酷游戏略有不同

541: 比起其他跑酷游戏，这个真的不错

542: 比较爽 加速的地方也会不少

543: 提高50点体力上限玩法比较容易，加油吧
，购买价格不低哦

544: 哈哈~奔跑过程中体力是不断减少的

545: 还是奔跑分数更高一方获胜。

546: 奔跑吧兄弟团的每个人都很喜欢哦

547: 游戏里面给玩家们提供了各种道具

548: 体力强化道具作用很强大

549: 有很多钻石 我很厉害

550: pk赛很好玩 最喜欢大黑牛

551: 每个关卡都会设置闯关 刺激

552: 撕名牌玩法真有趣 很开心哈~~

553: 手游辅助刷钻石方法 很多人都知道了

554: 撕名牌3张，很难 加油吧

555: 环节有趣，我感觉比较强大

556: 道具怎么升级啊 求助大神

557: 奔跑方式和其他跑酷游戏略有不同

558: 撕名牌失败有惩罚吗

559: Baby好吗？想买一个女神来跑

560: 手游当中很有乐趣哦

561: 手游快速获取金币技巧

562: 更多精彩等你发现。

563: 奔跑吧兄弟，是我喜欢的游戏

564: 还不错,就是下载后手机会自动关机,而且是在任务完成和得到奖励的时候,有时候不完也会自动关机,然后手机会自动重起

565: 太差了，根本就加载不进去

566: 横好玩耶！！

567: 什么破游戏，点到任务就什么也点不了了，客服还不给解决，垃圾透了的游戏！

568: 为什么游戏总是闪退，每一次开始第一局的时候，它加载到一半就闪退了，每次都这样，重新下载也一样，到底怎么回事

569: 邓超是300个超哥名牌才能获得

570: 跑酷手游还原撕名牌、夺宝箱玩法。

571: 每位玩家都能体验真人撕名牌的决战快感

572: 跑男被赋予的技能果然是相当强大

573: 每级一到两个铃铛即可。

574: 李晨可通过多种方式得到哦。

575: 快来展现自己撕名牌的能力!

576: 每个关卡都会设置通关奖励

577: 跑男2还会来什么嘉宾~~

578: 每到一定程度，会设置一些‘障碍’

579: 没有R饮料就无法得到奖励的

580: 马上下载来一探究竟吧!

581: 路面上能看到的这些障碍物躲避问题不大

582: 每位玩家都能体验真人撕名牌的决战快感

583: 跑男“穿越”到游戏中了

584: 领取到的成就点，有什么用呢？

585: 铃铛需求量会不断提升的

586: 琳琅满目的内容等将在不断的探索中慢慢呈现

587: 每个关卡模式都设置了过关目标

588: 跑酷获胜一方可以得到相应的金币

589: 李晨是跑男团中最强和最萌的存在

590: 明星助跑就是让大家去解锁明星角色。

591: 名牌、能量等你来拿

592: 路况比较好时，也要注意变更下赛道

593: b可通过金币和积分寻宝哦

594: 快速戳屏幕上出现的按钮

595: 留存创造了跑酷类游戏的最高纪录

596: 每个道具升级都需要大量的金币

597: 控制角色需要加速前进

598: 大黑牛等级30级开启可在游戏结束后及时补充体力，5秒获得野蛮冲刺

599: 进不去

600: 大黑牛等级30级开启，5秒获得野蛮冲刺

601: 可以跟随超哥一起奔跑哦~

602: 晨的满级等级是30级

603: 可通过购买复活能量包直接得到R饮料

604: 李晨的等级15级开启

605: 他们都拥有两项技能 很厉害

606: 我自己也玩，豪华大奖倾力助阵！

607: 好玩的游戏，我自己也玩

608: 都说好玩，我要不玩就显得out了。

609: 玩跑男哈哈笑了傻了 喜欢

610: 跨界合作 热门综艺完美复制

611: 主角换成了受大家喜爱的跑男

612: 非常喜欢的游戏！！！喜欢每一个人

