1: 酷毙了
58: 真心不错很好玩
4

59: 好玩

60: 一点都。不好玩

61: 不好玩。

62: 太好玩了。

63: 老闪退

64: 好玩是好玩，就是屏大了點

65: 跑男手游玩到爽了！

66: 玩到爽了！

67: 陈熬逼只不过是个游戏而已你TM至于不我去

68: 真心不错很好玩

69: 妈妈的，闪退了9次

70: 希望出个网游哈！(ฅ>ω<*ฅ)

71: 一点都不好玩

72: 诶哟！不错哦！

73: 什么JB游戏，妈的扣费都不提醒，甚么玩意

74: 太好玩了！

75: 挺不错的！邓超、陈赫、李晨都是我爱人都别抢

76: 好玩，赞！！！！！！！！！

77: 最高分79万用李晨的，血厚招快，5秒一招，但邓超超级型号和普通型号都超越李晨一个时代

78: 好好玩

79: 刚玩了一个，小鸟打泡泡龙，游戏，真的不错。

80: 好!

81: 为什么不显示图标？

82: 好玩

83: 没有BaBy吗

84: 我看过奔跑吧兄弟，我喜欢陈赫，李晨，郑恺

85: 我打开游戏用20000金币去买角色小贤。

86: 付了钱，不给人物，太坑爹了！差评！

87: 为什么图标是机器人？

88: 有破解

89: 我玩这个只为了邓超。

90: 咋不显示图标，只显示安卓机器人图标，难道图标隐藏了。

91: 为爱伐木累！

92: 李晨和陈赫最帅。

93: 这个游戏太好玩啦！

94: 干完

95: 好玩儿，赞

96: 逗逼游戏到出是坑

97: 不好玩！(的反义词)

98: 真❤❤心❤❤❤

99: 从哪里兑换奖励？

100: 为什么闪退啊啊啊啊啊

101: 太好玩

102: 好玩，10000000000000000000000

103: 体力老是不够，还闪退

104: 我玩这个只为陈赫

105: 太棒了我都玩完所有关卡两遍了

106: 老是闪退

107: 是单机吗？

108: 要连wifi才能玩吗

109: 特别好玩,我都要玩上瘾了

110: 太好玩呢！

111: 赞！赞！赞!好玩！

112: 很好，很好，只不过有时候那个比赛中有时候明明没有用完体力，他偏说用完了。还有，的确很容易点到付钱那，可是也不是马上付钱啊，但你们大家也要注意喽

113: 特别好玩

114: 我是薄荷糖，玩这只为陈赫

115: 坑钱，坑钱后闪退，不信你试试，完全就是坨屎。一不小心按错键20几块钱就没了，不多说自己看吧，差差差

116: 好玩？去死吧，坑钱的黑心游戏，坑钱后还闪退，有没有良心呀，最差评，建议下游戏的人不要按错键。不过聪明的人是不会下这坨屎游戏的。

117: 好玩

118: 玩是挺好玩，但很容易按错键打给游戏开发商所谓的复活的钱，打了钱后还闪退。黑心完全就是坑钱，最差评

119: 礼包杂领的

120: 给100分

121: 好玩，给五星。

122: 给99999999999999999999999分

123: 不错，很好玩，5颗星！

124: 不错，好玩，给五星

125: 总换码不成功

126: 感觉加载时那个baby好像演花千骨的那个人……

127: 好赞

128: 怎么老是闪退！！！！

129: 给999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999分

130: 好赞

131: 好玩赞99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999

132: 为什么我玩不得

133: 超级好玩，我给这个游戏100000000000000000000000个赞。

134: 老闪退   有又卡

135: 他么有人靠这个来生存啊？

136: 为什么在360助手领的礼包总说不存在呢，不好玩！

137: 老是闪退

138: 分享快乐，我的名字就是宅男都喜欢的！

139: 为毛激活码不存在？

140: 不如玩奔跑吧兄弟二，那个物画面好。

141: 还行，就是老闪退！

142: 非常好玩       玩玩试试

143: 还可以，但没有我喜欢的蓝蓝。

144: 零分′处处都是钱的气息，还不如去抢银行呢！

145: 还好吧，后面过不去了

146: 真的很好玩哦

147: 好好玩的，大家玩一玩吧，自己感觉很好玩呀。

148: 太帮了不要网

149: 什么基本玩意儿大佬不开我

150: 还好

151: 还不错噢！

152: 挺不错的，就这个fu倍爽

153: 。 突然一下子我的全部记录没有了，恢复到初始阶段。不爽

154: 太卡了

155: 要网吗？

156: 看我，收获就会不一样！

157: 不是好玩，是特别好玩，快下载，爽爆了。

158: Very   good,你不玩，你就拿着豆腐撞死去吧！

159: 你找不到你晚上次啊

160: 好刺激偶抱

161: 很好玩，但是到底要不要用网络？

162: baby的胸好大

163: 刚回家

164: 呵呵呵呵

165: 喜欢baby，跑男可以上全'民'溜，免费的很好玩

166: 用网吗？？？？？？？？？？？？？

167: 3个礼包都提示兑换码不存在，坑爹呢这是

168: 下不了

169: 不错，挺好玩○

170: 都打不开

171: 还不错

172: 游戏签到28天送150张超哥名牌，
拜托！招超哥要300张诶！还经常跑的时候只看见一片蓝天，豪坑啊！

173: 它妈的进不去

174: 不好玩

175: 黑屏

176: 妈蛋，老是闪退

177: 29关怎么打？

178: 太好玩了，别的我都删了就这个没删。

179: 太好玩了

180: 没玩

181: 好卡

182: 都没有图片的

183: 努克部分补贴

184: 还可认不过有些在卡

185: 醉了。活动礼包激活码全部不存在

186: 卡  老是卡！！！！！

187: 怎么总是停止运行？

188: 赞赞赞赞赞

189: 还行，就是有时候好慢

190: 礼包激活码都不好使

191: 卡卡卡！

192: 很好玩

193: 垃圾游戏，一直显示没连接到网络，我操你妈，我wifi满格

194: 用找乐助手玩送道具  真心爽

195: 还行吧，和跑酷游戏一样的

196: 很好玩！

197: 尼玛！快过关的时候就黑屏！一次不说什么，几乎每次都是，角色还要钱买

198: 一点都不好玩 ，千万不要下。

199: 礼物使用不到

200: 进不去

201: 能把包贝尔加进游戏吗?

202: 无敌重生。。。

203: 就喜欢这个

204: 闪退好玩，因为打B0ss的时候快死了所以闪退帮了我

205: 其实特别爱baby，最好用民 溜买东西根本不收钱，太好玩 了

206: 还行吧，就是有时候会闪退！

207: 玩三天就打不开!

208: 用找乐有道具礼包 赶紧去领

209: 不错，支持！

210: 闪退不好玩才怪

211: 开游戏慢一点，不过还很好玩

212: 玩着玩着就关了

213: 数据不见了,垃圾

214: 闪退

215: 不不好好好

216: 好。

217: 好玩

218: 打不开。

219: 不好玩，不要玩了，太不好玩了

220: 打开不了，建议别下载。

221: 好玩

222: 就是跑酷吗

223: 好玩！好玩！非常的好玩！大家快来下载吧！赞！！！！！！！！！！！！！

224: 怎么登号？求解答。。。

225: 游戏玩累了就玩会pp语音，和妹子调下情什么的，很有意思！

226: 怎么只有五十关啊，后面都没了

227: 打不开

228: 就喜欢

229: 耍不起，一直闪退？

230: 好玩,奔跑五星级评，可获大奖，快来吧。

231: 搜一下奔跑吧少年，会有惊喜

232: 很喜欢郑凯，大家从360搜溜溜' 溜，这游戏免费玩 太好玩了！

233: 不要撕名牌了

234: 一点都不好玩，还要钱

235: 没玩过，不知道！

236: 垃圾游戏
神魔玩意

237: 陈赫太力害了

238: 什么鬼嘛，进都进不去你们要安装的，不要安装啊真心没骗你

239: 破游戏真垃圾

240: 进不去，说好的都是托，千万别下

241: 超好

242: 好玩，你们快下一个吧！

243: 好玩

244: 卸载之后还有存档吗

245: 为什么我再一次登陆的时候从第一关开始让我玩〒_〒

246: 为什我进去不了

247: 好玩是好玩，就是处处都要钱，哪有这样的游戏啊！纯属要钱！

248: 我去！闪退！！

249: 为什么我过了那么多关，角色都东方不败了今天却要从来了，从零开始怎么回事我又没卸载

250: 闪退！

251: 为什么我一点图标就退出？垃圾！

252: 很好玩

253: 破解版哈哈，我是世界排名第一，有破解，你们要的找我。

254: 战场上看谁厉害

255: 是要钱的吗？

256: 挺好玩的

257: 礼包在哪儿领取？

258: 亲，还行吧

259: 为什么不给修复呀！玩不了呀！

260: 超好玩的，大家也来玩玩吧！

261: 全都是要钱的陷阱

262: 我的手机速度太慢。

263: 沒品位

264: 为什么我的评论被删？我不就是推荐大家也来玩【转眼之间】吗？！

265: 我觉得99分！如果有坐骑的话100分

266: 垃圾，不好玩！！！前万别玩！

267: 还行

268: 为什么我今天一打开游戏就发现存档没了，什么人物都没了。

269: 为什么我进不去？

270: 垃圾中的垃圾，和电视的不一样，太坑了，下载需三思啊

271: 会闪退！！烂！！

272: 太慢了，千万别玩。

273: 一直闪退

274: 老闪退，垃圾

275: 

276: 大家千万别下，太他妈坑爹啊！别不信。谁下，谁妈死全家

277: 不行啊

278: 一进去新角色有时有，有时没有买下后会不会又没了TAT

279: 一进去总在加载，如果一直等就会自动退出去。早尼马。

280: 好玩是好玩。不过开Wifi和3G都说无网络状态555~

281: 怎么我的赛车会被清除呢

282: 无响应，在逗我玩吗？

283: 进不去

284: 很好玩，华为P8运行无压力

285: 好好。会赞赞的、、、、、、、、、、

286: 为啥找不到返回键

287: 还可以啊

288: 进不去，尼玛

289: 进不去

290: 用ViVO玩  玩不成老闪退

291: 搞什么啊？一直在闪退

292: 真好玩！

293: 真不好耍???一点都不好

294: 我的想法是还信

295: 为什么玩了一次，第二次就进不去了啊

296: 一直进不去呀

297: 抽奖，PK什么的为什么一直显示连不上网啊？

298: 闪退

299: 一开就闪退，千万别下！

300: 玩到第5关就要钱了。一点也不好玩。。

301: 苹果手机玩不了？

302: 真爽，说不好玩的人都是个250

303: 小米note更新完后就进不去乐。

304: 真好玩跑男加油

305: 闪退，怎么办

306: 还不错的游戏，适合女生玩

307: 我玩上就闪退  我地妈啊

308: 很好玩，

309: 用找#乐有道具

310: 不错

311: 更新完了进不进去了，玩不成了。怎么办？

312: 给我打电话来自

313: 战斗机 你门懂的

314: 垃圾，扣费不说，更新完后还登录不进呀！我担心卸了就什么也没有了。

315: 非常好玩

316: 过瘾 用找&乐不扣费

317: 这游戏我用民溜溜溜玩的没被扣费

318: 垃圾

319: 会自动扣钱，刚扣了我24元，就当喂狗了。

320: 垃圾游戏

321: 什么破软件，卸载不了。

322: 好玩

323: 很好很好啊。太好玩了

324: 是吗健健兔

325: 最好不要下，加载特别慢，画质还不好...重要的是必须要花钱

326: 为什么昨天是19关今天从1开始

327: 好玩太好玩了

328: 垃圾游戏，点错了，被扣话费15块，垃圾

329: 坑爹游戏

330: 没有王祖蓝，不好玩

331: 坑爹的游戏，稍有不慎就扣话费

332: 垃圾游戏，不慎被扣费24，没下的玩家注意了，扣费工具啊。

333: 好玩永远支持

334: 这游戏太贱了，直接用话费付费，这样点错也会付费！简直坑得不能再坑，表示不会再玩，20多块舍给你了

335: 差！一打开手机就坏了这是第三台了。我告诉你了等会弄掉它。我的五千元啊！！！！！！！

336: 界面非常炫！相比于室友推荐的《转眼之间》小休闲游戏，这个创意也不错！

337: S4升级到5.0以后，一打开就闪退，都没法玩了，求解~

338: 还行

339: 为什么老变成你第一关

340: 每局结束都提示购买新人物，几十块钱，一不留神就没了

341: 游戏玩累了就玩会pp语音，和妹子调下情什么的，很有意思！

342: 这游戏稍微不留神就被扣费，特别是家里有孩子的家长要注意，很容易被扣费

343: 一直停止运行

344: 玩破解版的，爽歪歪

345: 挺好玩是挺好玩，就是出其不意的蹦出来那么多购买页，没注意确认了支付两块钱没了，两块钱虽然不多，到想想还是会气。

346: 垃圾，不停的出的购买页，一不小心十几块没了

347: 游戏玩累了就开始玩pp语音，在男女之间找到有意思的乐子，可有趣了！

348: 好卡，而且还闪退

349: 不错，很好玩，玩到30
关，后面好难！

350: 根本打不开

351: 靠，玩着正没来闪退

352: 用（我想APP），招人组团撕名牌，玩真人CF，超爽

353: 没意思，总是初出是否付费

354: 游戏玩累了就玩会pp语音，和妹子调下情什么的，很有意思！

355: 一开始就是黑屏

356: ok
ok
ok

357: mlgb，反应慢的要死!

358: 用找乐玩是不花钱的，有道具。

359: 什么破游戏玩过了一次第二次就要重新玩    不止一次了

360: 这个游戏是哪个公司发明的呀，这么恶心我要投诉那个公司 这个公司老板脑子有问题这个，这个游戏想骗钱了吧？那个老板是猪吗？比猪还猪，猪都比他聪明。

361: 这是什么游戏呀？通了十几关第二天玩儿的时候又从第一关开始赶快卸了，这什么破游戏呀？最好别吃亏吃亏了就不好啦千万不要上当哟！

362: 打不开，大家快卸

363: 圈钱好手段！防不胜防的扣钱方式！厉害！一不小心话费就扣完了！艹艹哒！赶紧卸了吧

364: 坑爹，玩了第一次之后，第二次就变成只有灰白两种颜色，太模糊了

365: 有奖励吗

366: 关卡太少了，玩好之后我就删了

367: 还可以！最喜欢郑恺

368: 打不开

369: 好玩，喜欢邓超李晨

370: 下了卸载不掉，千万别下

371: 坑钱！喜欢玩这的小伙伴推荐去搜“捉鬼达人”，才新出的挺不错,动作带感

372: 不错，这两天还喜欢玩款免费的焚天 战机，特别好玩。。

373: 单机的吗？

374: 好玩吗，请问？

375: 好多自动收费的

376: 玩过一次后第二次又从头开始

377: 好多购买广告。

378: 就是输的时候老是弹出复活要钱的页面，不小心就会按中。

379: 发现个变态好玩的 坑爹的大冒险

380: 亲，下一次要注意：小米平板显示不全！

381: 垃圾

382: 250游戏

383: 太开了，不敢想象啊

384: 偶为森马不能下载

385: 太没完头了，请大家不下为好

386: 这个游戏太差

387: 太他妈垃圾了，到处是扣费项目，随便一不注意点到就购买成功，什么验证和确认付款都没有就扣费成功，不接到联通的短信还不知道已经扣费了，垃圾玩意，扣的钱就当给你Ma买棺材了

388: 太刺激了，画面太美了

389: 本人→_→早已卸载

390: 千万不要下;当你的手机关机后    你登上    什么东西都没有了

391: 通过短信付钱，付费的项目总是自己蹦出，然后手机稍稍卡一下就支付成功了。简直太坑了

392: 游戏玩累了就玩会pp语音，和妹子调下情什么的，很有意思！

393: 太好玩了

394: 太卡了，不好玩，亲们，不要下载啊

395: 推荐毁灭战机免费的特好玩。。

396: 进不去太坑了

397: 这游戏太好玩了，五星力荐！

398: 好玩

399: 举报

400: 为啥郑恺和baby要那么多名牌才能换？我一次都没在这个游戏里看到他们。

401: 吸费，小孩子什么不懂，随便点两下，扣了七八十，买了俩人物？你在逗我？没确定就扣费。要不要举报你们欺骗消费。

402: 还不错，就是退出游戏后还得重新开始玩，希望改进这个缺陷。

403: 我的是破解版，你们傻逼

404: 勉强可以吧。。。

405: 一点也不好玩，下这个还不如下地铁跑酷。

406: 垃圾游戏！！   一点乐趣也没有。。         千万别下﹌

407: TMD太垃圾了！

408: 垃圾，吸费！还没点，自己就扣费了

409: 太不好了，连返回都没有

410: 卧槽！居然没有祖蓝，作者瞧不起人啊！！！又卡又慢，果断卸载！

411: 挺好的

412: 打不开

413: 你他妈的吐了。智商低臭游戏！千万別下作者是傻逼

414: 开心套套乐，80后忆童年必玩游戏！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！

415: 黑屏

416: wo

417: 挺不错的，刚去玩了一会焚天战机，嘿还是免费的很好玩~~

418: 好好玩

419: 这是女生游戏

420: 还好

421: 很好，不错。

422: baby太贵，不然我就买了

423: 被坑了30元，不是自愿的。

424: 一不小心被扣了30的话费，都别下载。

425: 不错，今天早上去玩了一会焚天战机，嘿还真免费的好玩极了

426: 爱李晨！儿时花季雨季的记忆，不过我是用全民溜溜溜免费破解版玩的！谁叫我穷呢呵呵

427: 很好玩的一款游戏，我喜欢。

428: 我充了100000元

429: 妈蛋，数据已经是N次清空了，实在玩不下去了，byebye吧。。。

430: 还是下个全民溜溜溜的破解版玩吧

431: 还好吧！

432: 很好

433: 不好，只玩了一次就打不开了，试了很多次。

434: 垃圾游戏！奉劝大家不要玩…操作差，画面差，还坑钱…平均几分钟就蹦出付费窗口！一不小心就点了！

435: 坑人我还有一部分没有

436: 如果奔跑吧兄弟像电视的一样可以就可以了

437: 破游戏，不小心就扣费，垃圾商家

438: 什么嘛！运营商也太无耻了！买人物都不给提示啊！直接发短信！被坑…

439: 以前常玩，今天去玩了几把焚天战机，太好玩了而且是免费的。

440: 还可以

441: 就这样吧 马马虎虎

442: 打不开

443: TT

444: 版本号歼击机

445: 我冲了390元了

446: 还可以了，最近一直在玩款免费的焚天战机，特好玩~~~

447: 这游戏，到了一定程度，就不会过了！

448: 技能再次被清空了！这已经是第二次了！哎，不玩了

449: 还要联网吗

450: 好玩

451: 打不开T T

452: 更新后没有签到领奖了么？

453: 游戏很好，超级好，很喜欢。☺

454: 游戏很好玩，超级好！我很喜欢

455: 一般般

456: 最好要玩新版的

457: 切，大同小异

458: 游戏升级后，供应商换了，商店买东西总崩溃（一买就停止游戏！！！），游戏有点卡，请作者修改一下，总的来说，我很喜欢这个游戏，希望再接再厉......

459: 一点不好玩

460: 打不开

461: 你敢不清零我的技能不，第二次了，满级了又要重新来我就醉了

462: 力荐

463: 更新完后技能又一次得清零，郁闷！这都第几次乐。

464: 儿子玩了十几分钟，一查话费扣了我100多.找谁说理去！！！10086说千万别让小孩玩这个，一不小心点上就扣电话费啊~~~~

465: 挺好的，刚去玩了款焚天战机，免费的，很好玩。

466: 还可以了，朋友们都在玩款焚天战机，免费的，很好玩!!

467: 感觉不错，最近一直玩的跑酷自行车2，也挺好玩，冒险免费。

468: 还好，最近比较喜欢一款免费的.蛋蛋快跳.挺有意思的游戏！

469: 关卡一般，广告弹出的太频繁了，看着就头疼，太麻烦了！一不小心就点了！真心不好玩！

470: 全是广告，总让买东西，真是够了

471: 感觉还可以，刚才去玩了会焚天战机，免费的超好玩!!

472: 虫虫助手有破解

473: 只有到40关吗，41关还没开？

474: 5-9关怎么玩都闪退

475: 太坑了在游戏   坑骗了我的钱

476: 不错

477: 不错啊，不过我最喜欢玩焚天战机，免费的超好玩，力荐!!

478: 太坑了，妹的，俩次了，技能全部都变成1级，妈的，啥破游戏？

479: 垃圾游戏0.0

480: 很棒！

481: 不错啊！好好玩呢！大家一起来玩吧？

482: 不错

483: 垃圾广告   坑钱里啊

484: 好好玩，大家都来下载

485: 广告麻烦

486: 这游戏太好了，大家都来下载！

487: 垃圾游戏坑钱

488: 第二季4月17日开播，新人驾到包贝尔。

489: 他妈坑爹

490: 哥的邓超满级

491: 闪退？！！还要修改应用权限才能进？！！

492: 为什么升过级的技能下次登陆就变成一级了烦死了

493: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈。。。。。好玩、。、、、、//。.,';L][-=;'//

494: 真心很差 一不小心就点支付 都不用点确认支付 自己就扣6块钱！

495: 太好玩了!

496: 不错，最近玩款免费的焚天战机，很好玩力荐。

497: 不好玩，又好玩

498: 好玩

499: 真不错，还喜欢款免费的跑酷自行车2，特别好玩，

500: 坑钱！喜欢玩这的小伙伴推荐去搜“捉鬼 达人”，才新出的挺不错

501: 大家千万不要下！别看它外表很酷，实际上16关很坑人！明明可以越过的障碍偏不让你过！偏让你的名牌挨斯！

502: 卡死了      今不去

503: 以前玩这个 现在收费太狠了 现在朋友们都在玩《雷霆战机高清HD》那游戏 免费的！我玩了好几天 爽死了！！！强烈推荐！！！

504: 以前常玩，现在朋友都在玩的焚天战机，免费的特别好玩!!!

505: 啦啦啦啦，最近也在玩开心萌跑酷，跑酷萌萌哒真好玩

506: e  卡死了   无语啊

507: 太好了，我的杨颖64级了！

508: 垃圾，总是是闪退

509: 挺好的刚才玩了会焚天战机，免费的超好玩。。

510: 他妈的，每玩10秒就提示付费，烦不烦。真垃圾

511: 买了怎么会没有

512: 不错我王宝强⑩级了

513: 哈哈我会刷我所有东西都满级

514: 我推荐经典游戏砸罐子，太好玩了免费的哦！！！

515: 游戏玩累了就玩会pp语音，和妹子调下情什么的，很有意思！

516: 挺好的，最近朋友都在玩焚天战机、、免费好玩！！！

517: _无语，李晨满级，宝强16级，刚升完就闪退，再点进去就清空了

518: 妈的，玩不了

519: 不好玩   还付费  艹蛋   也太不行了    果断差评

520: 果断差评！游戏太卡了，玩儿完以后，总是出现付费画面，反应还慢！

521: 靠，进不去

522: GOOD

523: 有bug，不好，求修复

524: 没有我们国儿 不玩

525: 好玩，就是不复活也跳出来付费页面，求修复，更新。

526: 清技能等级！卑劣无耻，果断卸载。

527: 超好玩

528: 垃圾游戏.玩游戏的人千万别下
坑人，卧槽

529: 还不错啦，最近都在玩、、、焚天战机、、、免费好玩。。。

530: 屏幕太大，返回还得退出重开

531: 妹的！！清技能等级！靠

532: 很好玩

533: 这游戏差的……不知道用什么词来形容。

534: 不错！

535: 没玩过，不知道咋样

536: 玩是好玩了，但是软件太垃圾了，技能好不容易升满一下子就回到解放前，太气人了，

537: 玩了好久了，等级，技能好不容易升到最高级，突然一下子全部回到到原点了，一次也就算了，还有第二次，真是玩不下去了，前面全都白玩了。

538: 为什么进不去

539: 垃圾游戏，垃圾节目，画质又不好，卡死。

540: 现在感觉这游戏已经赶不上我们的档次了，喜欢在pp语音聊天，可以和妹子聊各种话题。

541: 棒！

542: 坑钱！喜欢玩这的小伙伴推荐去搜 “捉鬼 达人”，才新出的挺不错,动作带感,玩法有趣

543: 真心不爽了！花那么多钱升级的技能被清零，客服电话还完全打不通！太过分了！我的钱就这么打水漂了？！！

544: 花了n多人民币买的钻石把技能升满，结果现在全清零了！客服电话打了n次都打不通，坑爹啊！

545: 技能等级更新完就全空了，好几天了也没个说法，已卸载

546: 垃圾游戏，技能全部清零

547: 太特么坑人了，玩个毛线啊！！！

548: 要不是为了评论我早就卸载了，给他一星都嫌多，更新后技能全部归零，找客服各种推诿，说是杀软的问题，说是自己操作不当，这种游戏我也是醉了。

549: 技能满级，更新后归零了，又升满级又归零，给个说法，坑爹的游戏，每天刷任务刷钱容易么我们。

550: 破游戏坑你爹钱，技能满级更新后归0了，又升一次又归零，每天刷钱容易么我们，1000个钻石和几十万就这么没了，我操，给个说法，还官方游戏，我每天评论一次。

551: 破游戏。 我的技能点都没有了给个交代。

552: 为什么我的技能全归0了，求解释，每天完成任务，辛苦了那么久才把技能点满的。

553: 经典小游戏砸罐子确实很好玩

554: 以前常玩，现在朋友们都在玩lieyan战机，超级好玩。

555: 以前也喜欢玩这个，自从朋友向我介绍了pp语音，我就把游戏淡忘了。

556: 已更新，你的基本资料已被格式化，我们不予告知，你的辛苦我们不予补偿。

557: 反应真慢不好玩

558: 辛辛苦苦把技能全升满级啦，一更新全回到解放前，坑爹呀！

559: -玩就关了什么游戏呀？

560: 有图片吗。

561: 要钱，垃圾中的垃圾

562: 老是自动退出，他妈气死我了。

563: 还有这东西？

564: 啥破东西吗  根本打不开。

565: 说不好的是啥歪手机啊，我的是苹果五一点儿也不卡

566: 和综艺节目《奔跑吧兄弟》有一些相似，有撕名牌，背肥妞，还有宝箱，可以进行关卡，无尽，Pk等模式，人物有男女粉丝，王宝强，陈赫，李晨，邓超，杨颖等明星人物。总体来说，还是款不错的游戏.

567: 非常好个屁，会闪退他妈气死我了

568: 哈哈，奔跑吧兄弟！最近也在玩一款免费的开心萌跑酷，蛮不错的哦

569: 不好玩 闪退

570: 好啊，好玩啊

571: 奔跑吧！兄弟好不好玩

572: 人物造型太好笑了~

573: 为啥更新以后技能全部为1，吃金币也没有额外分数加成了，啥破玩意？

574: 为什么更新了以后我升级的技能全归零了？？？？？？？？官方给个解释

575: 不错 very good

576: 哈哈哈哈

577: 在玩免费的砸罐，还不错。

578: 真好玩儿。

579: 为什么打不开

580: 好玩，不错

581: 为什么数据老是清零

582: 挺好的 可是什么时候能不付费就更好了

583: 好全关通过有邓起

584: 我觉得这个游戏非常好玩

585: 在玩免费的砸罐子，很不错噢

586: 数据再一次的被清空了，已经没有玩的兴趣了。。。。

587: 这款游戏要流量吗

588: 收费不解释

589: 咋地不咋地

590: 好多吸费窗口

591: 广告一堆 去了几十了

592: 垃圾游戏，设置了很多吸费窗口，关又关不了，一不小心就扣费了

593: 超好玩，不卡，没花钱都有仨明星了，关卡全部通关，何时更新？

594: 还没用不知道好不好

595: 打不开

596: 玩关卡还好。玩其他有点卡。

597: 我艹      垃圾

598: 还不错，还喜欢玩款免费的、焚天战机。很好很好玩。

599: 没有郑恺的不好玩的

600: 还行吧

601: 嗯。游戏不错，可是无故扣费很让人愤怒，

602: 还行不好玩老复活差点交费

603: 大赞  赞赞

604: 在朋友手机上很好玩，而且连我们老师家儿子都喜欢！可是在我手机玩，会闪退！

605: 不好玩。。非常不好玩

606: 千万千万千万千千万万别下，半天打不开，又恶意扣费，差评没商量。

607: 很好玩；都来参与

608: 挺喜欢的，手机里还有款免费的、焚天战机，超好玩。

609: 还可以，就是收费贵了点

610: 我是陈子豪，我什么英雄都有了。

611: 我可以说很坑爹吗？不小心电错了就是三十块钱  移动和游戏商一起坑玩家？

612: 哇。太好玩了。好玩到我手机一卡一卡。好玩到我果断删除。还真特么恶心

613: 太好玩了，力推

614: 充钱  腾讯的儿子   别下  坑爹的软件

615: 为什么不能
下载

