1: 又变一点了  还开不开啊。

2: 什么时候开。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
40: 我最爱柯南/新一和小兰，也是名柯迷，所以来顶个。但是死活打不开这是为毛？不知费了我多少流量真是醉了...一点击登陆游戏就会黑屏，然后无法操作，呵呵...相比之下还是喜欢“名侦探柯南：密室逃脱”，虽然不是官方的但画质却很清晰，剧情也很好，人物制作以及切换效果也非常非常棒！推荐一下吧~

41: 我虽然没删除，但我也没怎么玩，因为这游戏玩不起来，只是因为柯南做个收藏，原本以为国庆会出好东西，没想到还是玩钱，下载量能达这么多已经可以了，玩的有多少没人会去问，这个游戏能走到现在，为什么名侦探柯南密室逃脱确走不下去，有点伤心，希望以后出点新型的柯南游戏。

42: 所有渠道的论坛人都太少了

43: 好是好，但我总觉得有点无聊，应该试着由主人公选角色。。。虽然这是跟着剧情走的，但我觉得也应该试着出些新花样，不要总是由卡牌打来打去的。

44: 很喜欢柯南有关的游戏。可是名侦探主要是推理的动漫，游戏的内容其实和推理没什么关系，最好是添加一些和推理有关的，这样和名侦探柯南才是同一个类型的。

45: 我要醉了进游戏半天一直被指挥状态，不跟着还不行，太无聊就在那点，剧情都来不下去，建议只有什么新功能出现时给予提示该怎么操作，不然开始玩的一点兴致全点没了，为柯南给3分

46: 挺好的，但老闪退

47: 无论怎样，我还是觉得这个游戏挺棒的。

48: 这游戏太坑的无法形容，看看这很差评论的数量，你就明白了！

49: 命运之石怎么获得？

50: 游戏卡，坑钱，土豪看你不爽随便抢，玩不来，我现在攻防都是十万以上，全属性卡二十张左右，4张3阶级，3张2阶级，不是我不想继续提升，道具根本不够，武器车辆升级的道具更不够，所以说这还是土豪的游戏，玩不来，虽然现在我在防守状态，本服能用强攻打败我的土豪也就十个左右，但还是卸载了，88

51: 谁知道制作商是那个SB，柯南本来就是推理，到头能个卡牌，还难收集，升个科技中途被抢，只能重打重升，希望在出个柯南游戏不要想这样。出推理游戏玩家很难玩过去，名侦探柯南密室逃脱就是的，有点难玩，智商游戏。

52: 会长一直没玩！公会会自动换会长吗？

53: 个人不喜欢，只是打来打去，收集卡牌，还不如直接让玩家进行推理，玩家来扮演柯南的角色，这样才是真的进入了推理世界，这种卡牌游戏总觉得蛮幼稚的。

54: 很好玩

55: 我没闪退过，也没黑屏过，也许手机比较新吧，而且我有基德了，没花一分钱啊，神探商城可以刷出来。

56: 现在的活动玩不起来，出了，对于不怎么冲钱的也没用，出了打试炼塔的高手，出了也没劲

57: 新手指南太烦人了，简直是折磨

58: 建议增加助阵人数，到了后期，上阵人数增加后，5个助阵名额根本不够看，助阵人数应该也和上阵人数一样，随等级增加上限也增加

59: 不错！

60: 这游戏不知说什么好，不过最近怎么没人评价了，不想给星没办法，至少一星，最近下载量跟不上了，可能是觉得坑，没想到还有人冲钱，为了礼服人物，不值得，想玩好，很难，不冲钱玩好更难，这作者简直是在侮辱柯南，开发商没一个能把柯南做好，因为太贪财，希望以后做柯南游戏开发商能好点，我力顶，这个游戏即使不删也基本不玩了，在此声明，开发商不玩在侮辱柯南了，不行你退下，换人。

61: 一星，不解释！

62: 下次更新的时候可不可以有无器图鉴？

63: TMD，我不想要你教我玩，我要自己玩

64: 精力恢复灰尝快，就是有时卡或闪退。总之我给它4星！

65: 游戏不错，但是人物太贵。

66: 为什么我进不去

67: 超坑游戏,进去1级,经大约至少10分钟的教程后直升至20级,而60级以后升一级都要TMD 3,4天...限时商城还是个摆设,有再多的刷新卷,侦探之星都只是废品一堆,游戏反馈还关闭...真心让玩家无处可说啊,,,,,50级后抢个科技碎片,连体力都用完了,就还是抢不到.还经常卡机,闪退.

68: 脚力增强鞋的碎片一直都获得不了！

69: 下次更新的时候可不可以有武器图坚？

70: 有两个人物在上面的！

71: 下次出新卡可不可以出有两个人物的卡！

72: 很好的游戏，除了闪退，没啥不好。

73: 充值要是可以用话费充就好了

74: 闪退闪到爆，只要战斗，几乎3盘闪退一次，因为我是柯南迷，所以期待改进

75: 挺耗电的，一天充三次。游戏太大，超一百了，游戏在大点就要删了

76: 大家谁知道这是什么游戏，告诉我们这不知道的玩家，在360手机助手可评价，我很想知道，如果不是卡牌收集我也决定不玩，谁知道告诉下，谢谢

77: 游戏又卡新手指导又那么长无语

78: 我觉得这个游戏不错啊，那些说卡的，死机的都是手机不好

79: 全4星卡牌也能打到很好的名次，也可以打到1w钻。但是就算没充钱打到1w钻，有vip限制就算有钻也没用。副本掉率低的要死，都要靠限时商店，完全不是一个卡牌游戏应该有的卡牌收集方法。更新了那么多次，除了商店多了东西，其他没有优化。

80: 我那个公会里满人，玩的10人左右，他们在7.15好就没上过了，还有那下面的兄弟你侦冲了2000人民币弄礼服吗？为了这不至于。

81: 上来直接死机，如果不是助手下载的我真以为病毒呢办 果断卸载

82: 虽然才刚玩 不过不知道是谁在玩 我都不能按自己的意思点 而且一个卡牌游戏还那么卡

83: 说真的，如果你们肯听些玩家的建议的话，这个游戏坑定有更多人玩。我1000块终于搞到了大基德和新一酱，但是1000块2天用光，我也不想再说神马鸟

84: 不坑钱，那不可能，你没看他们出的卡牌吗？只是3万以上，魔术，我看了，当是我就想骂，15万钻，上那弄去，试炼塔也打不到，你玩几个月，搞到钻还是他们更新，不让弄不到，我实在不知道为什么有人说好玩，我快玩2月了，卡牌想要的还为集齐，给他们提建议，他们不不听，我实在无语，我不多说了，害怕再次被封，我被封过一次。

85: 希望不要那么坑钱

86: 超好玩的游戏，但是有些坑钱，你看啊，基德扭蛋只有第1名且活动积分800或800以上才行，砸1蛋300钻，这800分。。。。有点。。。。。太变态了。。。。再搞个和基德有关的活动吧，或着新一酱也行，只要别这么坑就行，对了，道具和活动要的钱少点，特效再好点，章节别太那么无聊啊，就让玩家自己找答案吧，只要别太难，说不定可以让一些玩家回心转意

87: 下次更新的时候可不可以有武器图坚呀？

88: 还有一点，基德扭蛋，免费砸蛋不能减少用钻得到5星卡牌次数，玩家们上那给你能那么多钻。

89: 有更新了，再更新也得不到，根本没那么多钻，实数诱惑，更新除了在下载一次而，我都玩8个服了，等级平均30多，还有科技合成太他妈坑，我在升级碎片也可被抢，尼玛都不能更新好点，劳资玩快2月了，受不了了，我想集卡牌，喜欢的没好，还合超级，全能卡牌，尼玛碎片都难搞，要人玩多长时间那，随你封禁，我并不是骂你，我实在忍无可忍了。

90: 教程终于结束了

91: 刚刚遇到了基德，好厉害啊

92: 什么时候才能自己操作啊，系统一直提醒我打副本，都玩不了其他的，不过这个游戏还可以，至少内容不错

93: 谁玩刀塔传奇，那个也是布阵吗？只是不是卡牌是吗？不像这个游戏一样有限制吧！只要不冲钱想要得到的好东西再久也得不到，刀塔传奇没这种限制是不是？也没有vip限制？，因为内存太大我还没下，因为内存大的我只玩了酷跑与飞车，谁玩过告诉下，没这种限制我也去玩，我晚上看看回复，望告诉我。

94: 偶尔会有闪退，不过总体不错！

95: 试炼进不去，能不能解决一下啊，玩个游戏容易么？能不能考虑一下我们玩家在遇到bug等各种问题时的心情！！！

96: 试炼进不去啊，有没有人解决啊！

97: 为什么试炼进不去了呢，各种方法都试了，能不能解决一下

98: 傻傻的

99: 每隔几天，就会出现收建筑金币的时候闪退的情况，7个建筑就要闪退7次，怎么一直没有修复？这要浪费多少时间重启啊？还有工会快加邀请功能吧

100: 还没玩，不知道好不好玩啊。不过作为柯南粉，我还是很期待的

101: 各位好，我想问一个问题，要是公会会长不玩了，也没有交给另一个人，那样的话公会该怎么半？

102: 各位好，我想问一个问题，公会会长要是不玩了，也没有交给另一个人，那样的话公会该怎么半？

103: 360客服求解，为什么会没教程，我在52服，37服玩不下去了，我要在52服重玩。

104: 我结束了下后台耗电程序，为什么没教程了，我在52服新玩一个，刚一级，难道没教程了吗？

105: 怎么15点时是进去了，可是退出再进去时又说要维护到16点30分才开启的，而且又不是原来玩着的那个区的，到了别的区又要重玩的。

106: 又要维护16点半 让不让人玩啦

107: 怎么搞的。从10点多要玩时，就说维护到11点就开启，11点多要玩时，又说要维护到12点，12点多要玩时，又说要维护到13点，13点多要玩时，又说要到15点才开启，到底怎么回事啊，老是托那么久，今天还让不让人玩了啊。

108: 怎么搞的，从9点维护到12点，12点进有说通讯失败。过会有说正在维护，到底什么好，很期待这次活动，希望不要太单一，不然会没劲玩起来。

109: 为什么第二天就进不去新服了，昨天还进得去

110: 一直闪退

111: 非常好

112: 为什么一直是教程？无聊。

113: 请教教程怎么那么多。

114: 谢谢支持我的各位，不过他们几乎不会改成平民游戏，我希望他们改成与平民游戏差不多，让我们不冲钱也可以得到那些魔术等卡牌，因为游戏不会因少数人而改变，能做到这点的或许只有外面游戏。还是希望与平民游戏差不多。

115: 好玩

116: 一般

117: 宫野明美 宫野志保 柯南那么多集 人物那么多 游戏人物好少

118: 谁来给我想一个名字，实在想不出来了 一个小时找名字

119: 是不是八十几以后都没有等级礼包可领了，每次过五级的时候提醒我领，拖下去界面根本就没有

120: 期待更新，有聊天功能，每月的签到不要只是同一个人物，想酷跑那样，一月一个新人物，vip玩家可以得到的平民也可以得到，经过一月左右的时间，英雄联盟就是个例子，平民游戏才会火的很，手游也有例子，芬兰游戏，希望他们会做成平民游戏，这里的东西一月也难得，想要玩好的话，希望大家支持我的建议。

121: 为什么总觉得卡卡的感觉

122: 各位，我想问个问题，卡牌助阵就没有了吗？我想换下来为什么不可以，我换一个上阵，之前的被覆盖了，那一张相当于无法攻击了，对吗？，我合全能卡牌换不下来了，你们是的吗？可以换下来的话，回复我，告诉我一下，谢谢。

123: 可不可以给我们不强的玩家留一点赚钻的机会，试炼塔每10层一个排名，1层到10层一个排名，10层到20层一个排名，以此类推，我们不强的玩家一天至少可以获得100多钻，好得卡牌，每10层一种钻数奖励，在限时商城点击购买可不可以有是否确定，给我们机会，万一点错至少可以修改，希望你们更新，还有s卡和ss卡可以办一月或一月多得到，这样玩得更好玩，不然s或ss卡基本得不到，感觉没什么追求，碎片想摆设一样。

124: 太恶心了，一直都是新手指引，烦死了？我们又不傻自己会摸索好吗，SB 开发商

125: 没次我一天他们都抢我10000万这也没有天理了吧

126: 嘻嘻，我是柯南迷，只要是柯南的游戏，我力挺！

127: 老是显示背包已满，到底怎么回事？玩不下去了都。

128: 这是人玩游戏还是游戏玩人，就是点点点，我都都到20级了还在教程无聊

129: 和你们说首冲送合唱团柯南不用钱也行只要打开冲值再关一个星期后就送人了不用花钱!!

130: 可惜侦探之星一天办不了几个，希望更新一天200侦探之星，不要这样坑了

131: 太好玩了！

132: 这个游戏太坑了，总会被厉害的玩家打，我的金币一晚就抢走40万以上，而且不能复仇，也打不过，连河护盾都不给，每天被同一玩家打好多次，基本无法玩，这开发商真是不会设计，我觉得是因为一个服务器玩家不多，希望他们改进，我想大家玩是因为想收集自己喜欢的人物才玩，我也是因为想收集卡的，不然这种游戏不会有太多人玩，不过想收集的卡片应该得不到吧！要好多钻，想要得到自己想要的要很长时间。

133: 系统又崩溃 总是显示背包已满是什么意思 用200钻买5个工藤优作碎片买了三次  碎片没看到 钻石倒是都扣了 完成的任务也不能领取奖励 什么都玩不了

134: 试炼塔能通的关数少，那是因为开发商改动了攻防数值，大家都是这样的，当初他们改数值的时候也发过公告，你自己不看公告怪人家干嘛。

135: 毕竟有几十个服，一个服里有多少人呢，一个人又能在每个服里开号，那当然是每个人的每个服的名字都不能一样，你打了几十个名字都重了那是你的问题，你动作慢，名字被人占了还怪人家游戏

136: 卧槽 今天我花了2万多钻石弄那个清凉一下的活动 结果下午活动一直卡着 现在修复了也没有我的排名为什么 15区

137: 一到活动页面就闪退，伤不起啊

138: 我也不是真的想喷。但是为什么总感觉一卡一卡的，还有，能给个战斗力标准吗？抢个碎片都不知道抢得过谁。

139: 好玩

140: 無聊...

141: 好玩好玩好玩

142: 好玩好玩

143: 非常好比圣斗士好

144: 好无聊的游戏……

145: 中间情节干脆省略好了，不用智商啊

146: 辉常好玩

147: 就照着是名侦探柯南滴粉丝也要顶一下~(≧▽≦)/~

148: 一点也不好玩，就是点点点点点，教程还那么长，不好玩

149: 宫野明美 宫野明美 宫野明美 柯南那么多集 人物那么多 游戏人物好少

150: 他妈，谁说的游戏烂，游戏很好玩，至于有问题，是某些人自己手机有坑吧！

151: 怎么充值，我冲不了

152: 前三个礼包不能领，后三个礼包能领，没有充值，已经有5星卡8张，钻石4000，五星装备4个。不错的游戏，柯南迷顶个!!!

153: 有些傻逼真是不识货，谁说一定要充值啊，我一张都没充就搞到世良真纯了，一些礼包都不领，还说游戏烂

154: 垃圾游戏，不充钱就活不下去，以前试炼塔随便80层，游戏见你80层，拿了好多钻石，马上改，现在30层都难过

155: 闪退闪退！我玩其他游戏从来不闪退就这破游戏老闪退！

156: 还不错

157: 谁说闪退的。。。自己手机不好吧。。。

158: 礼包号码不能输,有时会跳出(有谁能输入礼包号码吗？)

159: 每点一下都出一个充值广告！游戏也烂

160: 蛮好玩的

161: 好玩!

162: 一点都不好玩

163: 基德啊啊啊

164: 礼包不能领，有时候会自动退出

165: 和推理一点关系没有

166: 画质感人

167: 死神小学生赛高

168: 垃圾，礼包都用不了

169: 卧槽直接黑屏

170: 

171: 五星的我快都有了

172: 超好玩

173: 什么都还好，就是警界救星工藤新一太难得了，甚至连碎片都难买

174: 为了基德下的，下了发现，根本买不起基德

175: 还没玩就崩溃退出

176: 不错不错

177: 为什呢兑换码输入没反应

178: 激活码确认后无反应怎么办？

179: 不好玩

180: 小孩子玩的游戏，要不是因为是柯南的铁粉，装都不会装，相比之下还是喜欢在手游岛模拟器上玩重度游戏

181: 今天的杀人犯见就是他

182: 为什么从昨晚就一直上不去？

183: 一直闪退，不过不错。我成大神了

184: 大爱柯南，五星

185: 不能登陆是怎么回事？

186: 好不容易成为大神居然进不去了

187: 居然进不去了

188: 宫野明美 宫野明美 人物太少

189: 这个游戏的技术人员的水平真心不过关！游戏漏洞一堆，抢金币出现负数，而且是几亿的负数！然后技术弄了好久说修复了不会有负数了，结果随便一试就轻松打脸！然后才明白不会有负数的意思是，一旦出现负数就自动清零！忙活了那么久就这结果也是够了！

190: 为什么报错不能玩？？？求解释

191: 为什么起名字总是该名称已存在，要疯了

192: 耍起来不咋的

193: 为什么没有宫野明美呢 人物太少 不好不好

194: 现在攒钻好轻松，不点赞对不起我

195: 不老的小学生么？小心凶手就是你！！！

196: 好好(^_^)

197: 一颗星都不想给，一直闪退

198: 为什么我玩不这样

199: 手机不行喷游戏 老子一次也没闪退过      玩的很好 花钱也不是必须的 钻石可以自己弄 赞极了

200: 闪退

201: 打不开，怎么也

202: 怎么换背景音乐啊！现在的背景音乐难听死了！

203: 超级赞，都说有bug，我就没有，超好玩，简单又易懂

204: 都别玩咯

205: 打不开游戏呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀！

206: 一直停在登录界面进不去，试了好几次都这样

207: 新BGM真心差了，不过游戏还好！

208: 我去，，真TM是烂游戏，进都进不去。

209: 福利还不错

210: 怎么老是说网络连接失败

211: 老是闪退，而且也只有“调查事件”之类毫无智商可言的程序。拜托，柯南是推理动漫好不好。。

212: 为什么这两天一更新就说失败

213: 别玩这个游戏，这个游戏浪费你时间没商量！

214: 在群里反应黑衣人补偿不公平，先被冒充玩家的客服冷嘲热讽（此人是另一个官群的管理，我在群里说他是托另一个客服还说我有病）。然后我说我宁愿不要300钻给我双倍积分，于是便被一个QQ昵称叫咖啡色的记忆的客服说我是贪心不足蛇吞象。然后我再想据理力争的时候就禁言我了，解禁回来我说了句不让说实话了是吗？说好周二的积分是不是得等周二晚上才能发，然后就被这个客服踢了。

215: 游戏有一项活动是打黑衣人，提成需要50钻可以提成八次，复活每次需要20钻，可以复活无数次。每次第一积分（如果没有打到最后一击）大概两百左右。六月20号系统出错，全服未发积分。反应先是技术不上班，等节后吧！后来不爽的玩家多了就把活动修复了，可是积分还要六月23号发。整整拖了四天，不痛不痒的补了300钻，还不让人有反对意见！

216: 好恨自己居然在这个游戏上花了近万元，花钱养活的就是各种傲慢的客服，花钱连个服务都买不到！我也不一杆子打死，说的就是QQ昵称咖啡色的记忆这个客服。

217: 垃圾游戏，太卡还闪退

218: 在官方群里一直很奇怪为啥那么多玩家吃了亏还一副无所谓的样子！后来才发现原来都是客服和GS专员，专门组团攻击因真的受损失而不爽的玩家。如果玩家还是不爽的话就会被禁言被踢！这就是为什么之前刚刚出事的时候好多玩家都不爽，都在群里说，现在群里这些玩家都消失了！游戏拿了玩家的钱就是为了可以养人来攻击玩家！

219: 难怪进到群里感觉所有的玩家吃了亏都那么"理解"官方，原来其实都是客服假扮的，目的就是为了让真正不爽的玩家不在继续追问，而如果你没被说服他们就会禁言，禁言无效就会被踢！

220: 难怪这个游戏那么多差评还四星，你要是在群里提意见，就整你，整到你答应不提为止！

221: 一个很烂还不能提建议的游戏，在这花钱你连好的服务都买不到！

222: 千万别在客服面前提意见，特别是咖啡色的记忆，提了必禁言被踢

223: 有个叫咖啡色的记忆的客服，千万别在他在的时候投诉，会被禁言，会被踢！态度好得不得了！

224: 现在客服更厉害夸都禁言

225: 唉，都不敢投诉问题了，会被踢，被禁言，被骂，只能乖乖的打12315了

226: 客服官群存在的意义在于防止玩家投诉，投诉笔踢！

227: 反应问题先禁言后踢，服务态度真好！

228: 果然是推理盛宴啊，出了游戏和推理无关！其他充分体现了有关部门拿钱不干事的精神！

229: 游戏学会了圈钱的技术，却没有处理问题的能力！全是bug的游戏还不让人说了！说就被禁言！

230: 最最最圈钱的游戏，而且还是拿钱不干事的！出了问题处理拖三天，然后不痛不痒的给点补偿！

231: 玩这个游戏就做好吃亏的准备，因为你要是反应激烈，他们会禁言你！

232: 圈钱的游戏，出问题在群里说还被禁言！

233: 挺好玩的，就是太坑钱了!各种要RMB!

234: 玩了十分钟，我只想说开发这游戏的绝对是个脑残

235: 我爱哦！好牛B。

236: bug多而且处理速度极慢！很容易就损失很多钱！

237: bug不是一般的多，而且处理速度不是一般的慢！是个只为圈钱而存在的游戏！

238: 好玩

239: 逗比游戏，起个名字真他妈累

240: 就是，靠，取了几十个名字都TM存在。什么游戏这么NB。难道还有外星人在玩？

241: 尼玛游戏还让不让人玩了名字起了N多个都说以存在我眯着眼睛乱按英文字母都说以存在你丫的搞笑吧！

242: 卧槽登不进去，老说什么该账号已存在，存在个毛，名字都没取

243: 很好

244: 好想要日语原声版的(ಥ_ಥ)

245: 非常好不玩会后悔的！

246: 老是闪退  而且为什么没组织的卡牌？

247: 还不错，不至于没钱就活不下去，不更新不算太耗流量，平常玩玩也不错，特别是对于柯南迷。然而卡牌游戏都差不多，所以我不认为谁抄袭谁，这款游戏整体还是不错的。坐玩了两次内测。

248: 太坑爹这个游戏
0.0   =.=

249: 每登陆20分钟掉线一次差评啊

250: 实在受不了了，还是卸载了，一个连武器上阵没上阵到搞不明白的游戏，太醉了。拜托，最起码把游戏基本功能做好了再拿出来丢人。

251: 坑钱？!一般般吧。有待完善的地方好多，就是。哎，快点更新吧

252: 光报错啥意思啊？不想让人玩就直说，

253: 游戏不错，不过特坑钱

254: 总是更新错误啊！

255: 进不去，网络异常，怎么回事，wifi很强啊！

256: 非常好

257: 我还是喜欢玩MT

258: 盗版我叫MT。

259: 无聊

260: 怎么总是说网络错误啊！

261: 好玩

262: 新区才玩2天，今天进去一分钟不到就闪退，快解决啊

263: 360免费wifi能换礼包，快试试！

264: 8区刚开区时就闪退，这都26区了还这样，是不是光坐那拿钱了？

265: 8区刚开的时候就闪退，这都26区了，还没搞定，有没有干事的？

266: 不是说闪退已解决，怎么还是这样，进去5分钟就退出来。就知道开新服，怎么不解决问题？

267: 买的纸牌柯南杀 坑 还正版的 和书上的一点都不一样 这款手游也和书上不一样 差评差评差评 重要的话要说三遍

268: 玩别的游戏从未闪退，玩这个一进试炼塔就闪退

269: 一直在闪退，从未停止过。

270: 吊游戏太垃圾，虽然没有恶意扣费，但是你花钱充砖石，游戏在不玩的情况下砖石会少，谁充砖石谁后悔，你不充游戏玩不起来。总之游戏太垃圾了。

271: 我去，本来以为闪退问题已经优化了，尼玛还是闪退啊

272: 好玩！

273: 有点坑流量。

274: 今天更新完发现问题限时商城一进去就闪退啊

275: 好像没那么有意思，

276: 如果谁觉得哪个休闲游戏好玩推荐给我谢谢了

277: 更新过后，为毛收个金币老是闪退

278: 就是点 没意思

279: 现在做手游的很多，每天都有一些公司倒闭。。。现在不坑你钱哪做游戏干嘛，每天开新服让土豪。。。你懂得

280: 说好的充值返利，我6.1-6.2充了2500元，给的返利呢？消费了5万钻石，三天给东西，现在都开区4天了，给的东西呢？能不能给消费者一个完美解答？论坛还没人理

281: 网络波动给的补偿呢？

282: 闪退的
黑屏的
抱怨的
都他妈闭嘴！自己手机的问题没必要抱怨官方！我Coolpad8295
Android4.1.2完美运行。别他妈瞎逼逼…

283: 本来想下来玩玩，刚充了钱玩了3个小时现在进不去了，坑aw

284: 我来说两句～

285: 这个游戏天天就是刷下副本，排位打几次，收精力然后刷副本，没有可玩性

286: 说是手机问题的一定是托

287: 说黑屏的绝逼是手机问题

288: 一开始还不错，后来老闪退，无语死了！！！

289: 4区已经超过24小时黑屏了，技术团队在玩啥，没人知道吗

290: 能不闪退吗？

291: 对了！我的也是经常的闪退

292: 老闪退，bug一堆，还特坑钱。动不动就VIP限制，动不动看柯南的大多都是学生啊

293: 不错   要玩的来完美推理     我在那个服   名字叫原沙克己

294: 摩游这个开发商应得的。
曾经把黑猫逼上绝路，根本没有用心运营。毁掉一个代理游戏，现在又来了
个人建议不要玩。

295: 今天更新完怎么一进去就黑屏，而且以前经常闪退

296: 为什么我老是登不进去

297: 除了经常闪退，其他都挺好

298: 闪退

299: 垃圾中的战斗机，BUG多，精力点数什么的设置的太雷人，无力吐槽

300: 闪退

301: 升级之后老闪退

302: 闪退…………………

303: 不好用？来吐吐槽吧~不好玩

304: 草泥马，老是闪退！

305: 腹股沟发挥反对后规范化

306: 太不好玩了~

307: 原来想试一下的，但看到是摩游开发的游戏就算了。把黑猫维兹这么好 游戏代理的跟屎一样大家入坑需谨慎啊

308: 我只想问单抽卷改连抽那我们这些老用户的怎么办，我们可还是单抽

309: 又闪退，，，，，

310: 说好的京东券怎么没有→_→

311: 闪退，几分钟就要登一次，重来没遇到过的

312: 差评，游戏没有什么亮点，玩几分钟就闪退

313: 做成单机可能更好

314: 差评，游戏名默认居然是日本名

315: 真垃圾啊！毫无乐趣性可言。

316: 这叫什么卡牌啊 直接叫一打一卡牌游戏好了 剧情还有时候是错的 亮瞎我眼

317: 为什么我的号，在内测完了后成新手了！！！！！

318: 刚玩，感觉还不错，

319: 那些说更新了没号的脑残，你进的区是新区，把你的区调回来就可以继续玩了，逗比，自己不会来骂游戏

320: 游戏不错，但是我内测时的号没了，只能重来，又冲30块……（没进错区）不过还是很好滴！

321: 老子的号没进错，号没了

322: 为什么我更新后变成新手了？坑啊！老子不耍了

323: 这游戏！我也是醉了！还不如玩鲁啊鲁卡牌游戏呢！

324: 礼包都是假的，全都被领过了，还给我。

325: 说好的首充10元京东卷呢，七天乐也没有！

326: ，估计示刚开服吧，系统还是很不全面。
望继续改进。
很喜欢柯南

327: 礼包好少啊

328: 单抽卷和十连卷怎么用啊？快回我，我不会用啊

329: 进不去游戏。。闪退

330: 真的是太不好玩儿了

331: 垃圾

332: 我看行，我先看看

333: 挺好玩的，比较尊重原著，配音似乎也是原班人马呢！不错

334: 闪退太过分，画面太卡！

335: 垃圾游戏！

336: 本来已经玩到四十多级，今天360提示我更新我就更新了，结果一更新全部清零！以前的号也没有了要我重新玩过！什么意思！每更新一次就重新玩一次吗！这么大的bug居然都没有意见可以提交！难道就没有可以注销然后重新登陆的键吗？玩到四十多级要我重新开始，我就干脆卸载了！bug太多！又没有客服我也是呵呵

337: 挺好玩的，充了10块

338: 求更多礼包，今天更新的礼包我领不了啊！

339: 名侦探柯南就应该弄成推理的啊，原来是卡牌

340: 为什么我升级了以后所有的都还原了？用的是同一个账号啊，我好不容易才升到51级的！现在是又要重新开始吗？！

341: 5月26日没有新区是什么情况，白白浪费1个小时

342: 冲着声优在玩，能弄的外存就好了

343: 这就和 七龙珠那个手游一样 可以说除了题材 其他完全一样~~

