1: 为什么不出路飞老爸
113: 尼玛币的…差两万二攻击力我特么也能输…九万多输给了七万多攻击力…我还是87级

114: 怎么登不了

115: 什么时候出新区啊

116: 解压失败

117: GM哪去了！！这都连续两天的闪退了！！还能不能玩了！！

118: 我的公会叫一起加油吧，求加入。还有这个是香克斯好还是赤犬？

119: 我草你妹妹我刚打过精英的贝拉米就他吗请退出重新登陆你他吗有没有良心不拍遭雷劈啊！

120: 这两天他妈的怎么回事，动不动就闪退

121: 好好好

122: 这游戏没有钱是玩不成滴。

123: 为啥我光闪退啊！

124: 贝拉米怎么不出！黑胡子怎么不出！出了又得砖石买的吧！贝拉米真心强啊

125: 还好没充钱，太垃圾了

126: 55级匹配到88级的你妹啊！玩不了了

127: 19珍兽岛一直一天24h爆满？这么吊？↢

128: 相差两万攻击力也能输…新出的角色就是牛逼啊还能不能让资深的玩家玩了？辛苦培养的角色还不如新出的角色牛逼…擦的…

129: 阿秋一口唾沫吐死我三个满血的…而且相差十级…我也是醉了

130: 香克斯=杰克斯？

131: 好多角色品质调的不大合理

132: 三次匹配到同一个人，通缉榜上一亿

133: 通缉傍我21级给一个90级的我怎么把

134: 67级把86级打死了…牛叉啊…60多级能有多少攻？

135: 71级把86级打死了…相差10000多攻也能打死…擦…这漏洞没人管？

136: 新手礼包就这么一直放这吧最好便宜点！

137: 13区爆满进不去了，那我在那区玩的怎么办，客服能给解决嘛！

138: 最近这游戏的服务器怎么又开始卡了

139: 最近都上不了，请快解决问题。

140: 还好还好，就是通缉榜有点坑爹，我60级给我匹配个九十级的人，怎么打

141: 不怎么好玩

142: 草帽团能力差的要命，技能也垃圾。不期待四档路飞，起码有二档技能吧

143: 还不错

144: 一元人民币才充十钻，我们不是土豪

145: 我看中秋礼盒写的888钻石就是个装饰吧扫荡个任务给的差不多能有10个20个一起开了以后没有一个888就算是在怎么随机五级的晶石都出了88一个都没出来过不是大钱袋就是月饼再不就是晶石我看888钻石根本就不想给我都穷到这份上了！

146: 我玩起来会闪退，希望能改进，希望装备能脱下来，经验还可以互传！

147: 很好玩，为什么装备脱不下来太讨厌了

148: 天梯应分阶段，30-40一组，41-50一组,51-60一组，61-70一组，71-80一组，80-90一组，这样的话好玩十倍

149: 这游戏有问题，我60级打80级，从来没打过70级以下的!

150: 我85级6500万…别人72级9500万…系统瞎匹配…擦…醉了…

151: 通缉榜我不想说了，40级打90级的，怎么玩

152: 1:通缉榜，照通缉你是按那样对战的呀？贝里？等级？我88级比配到57级的，（如果对调位置我也郁闷）按贝里，我通缉1亿，你给我弄个3亿多的猛人出来，我打毛呀
2:试炼，不是经常有那什么活跃奖励嘛！在活动哪里，但是终极活跃任务要打4次随机比配试炼，但是不是VIP玩家最多3次，你这是只留VIP不需要普通玩家的节奏呀！

153: sb人不会玩

154: 扫荡扫出了20个中秋礼盒开了以后一个钻石888都没给你给一个会死啊！我现在都穷到钻石就剩280了酒馆活动都骗我们那么多钻石了给一次888能死啊我也没有银行卡我也不能充值现在得钻石很麻烦都86级了！

155: 充值充的是m币，需要再点击一次充值界面

156: 玩的真心不错，虽然没有进入前几名但是我已经很开心了

157: 真心不想说，太坑了吧，两点多了，还有那么多区爆满，这游戏还能玩吗？

158: 充值为什么不到账

159: 有没有贝拉米

160: 现在出的新伙伴真是越来越坑人个个都要花钻石给碎片给到7个就不给你要给你就全给完要不你就别给七武海礼包更坑人还那么贵至少也给一个大熊的跟罗的碎片吧开出来的没一个好东西！

161: 千万别下载，你会上当的

162: 烂游戏开发商，这是侮辱海迷  别的不多说，千万别下载

163: 一直爆满不让进入，24小时一直进不去，建议别下载，真是神坑，一颗星都多

164: 按赞三秒一直会不断的上升，不信你试试

165: 一直玩

166: 我觉得挺好玩的

167: 怎么我昨天创建的角色今天就不见了，你们够了，有必要这样吗

168: 好游戏，不解释。给32个赞！

169: 更新的越来越差    特别是极限斗技场
还有通缉榜      斗技场以前就很好   为何要更新     更就更     还更成这样
他妈太没有新意了

170: 看了8.30我特么的想骂      擦    用的着这样吗     无聊打开玩玩就好了  没事进去打打关     请请酒运气好得个什么A啊S啊人物就行了    从下载到现在一年多了60多级每天也就这样了      因为越来越坑

171: 这款敢达游戏挺好玩的 期待公测

172: 好游戏 不错

173: 我能说非人民币玩家跟本站不住脚、天梯、海底监狱…等完虐,特此公告大家耍耍算了认真你就输了，括弧此游戏心脏不好者慎入……

174: 有sss级人物吗？

175: 通缉榜有50差距

176: 冲了月卡没反应啊

177: 海底监狱…七万多攻第三关都过不去…次奥…

178: 通缉榜瞎匹配…极限竞技场更是…我七万多攻遇到八万多的…我五万多遇到六万多的…我四万多遇到五万多的…服务器你这傻逼要闹哪样啊…还有就是克洛和阿秋比双s级的人物都牛逼…还特么太能烧金币…觉醒…晶石最烧钱…几亿金币合成几个晶石没了…我也是醉了…

179: 我擦NM，通缉榜，近30级差距，TMD脑子有病吧！太让我失望了，侮辱海贼王了

180: 我的公会大家来加啊

181: 通缉榜实在难混

182: 为什么我登陆礼包得不了？试了好几次

183: 5400钻石4个大熊碎片，果断不打了

184: 有些人昧着良心说话,比如8.30的那群

185: 天梯坑是事实

186: 的确挺费时间的，非RMB玩家要想玩的起来，人物装备和觉醒是关键，至于主要人物只给A能理解，因为那是两年前啊！！两年前的草帽一伙本来就没那么厉害啊，不过薇薇竟然是S这个不能接受，强烈建议草帽一伙升橙的时候能换成两年后形象+两年后实力，我也是非RMB玩家，几个A卡觉醒和装备够可以照样比一些RMB玩家厉害

187: 我去居然删我评论这也真是够了，天梯这神匹配有目共睹乱配50vs60、重复匹配、有错就改，就不能多点精力做游戏……大家只想好好玩游戏而已

188: 什么垃圾东西，各种无法登录，烦都烦死了，运行起来还卡的要死

189: 安装不了

190: 太费时间了

191: 比的不是等级是人物、坑的不是技术是人民币

192: 这体力太少了。钻石消耗太快

193: 有钱就能玩的游戏。钻石一眨眼就没，消耗太快

194: 哎，鹰眼太啦。没b级人物厉害呢，怎么出的呢，给鹰眼弄的！

195: 坑人不带这么坑的吧把三千多钻还给我！！！

196: 路奇的活动真他么坑人花了三千多钻请了十次就给一个碎片不知道等级高了以后不容易得钻石吗真是越来越会坑人了去死吧你！

197: 托太多，不信看8月30l号

198: 新手礼包新手礼包新手礼包快给我出新手礼包价格变便宜点不行吗！100钻就够了非得188钻吗！

199: 觉得和刀塔传奇差不多

200: 8月30号的是托儿。还那么坑的游戏还说好玩。

201: 快出新手礼包扫荡卷真的不够！！！

202: 超好玩，大家快下载

203: 天梯能不能在他妈，烂一点

204: 好玩吗

205: 杰布

206: 我在315区 皇族霸世等你

207: 真的很好玩啊！

208: 敢不敢把游戏难度降点啊玛德一个副本要多少级才能开启你们编副本的在草你妈逼，

209: 玛德老子35级没冲一分钱遇到一个25级玩家他的艾斯直接秒掉我！妈的比，敢不敢再坑点，一个25级人民币玩家一个人物艾斯打我5个人物！你咋不让给游戏冲钱的人直接草你妈呢？

210: 8月30日的是一堆托儿吧,天梯这么无节操还说好？

211: 擦
居然
要网

212: 我充值30还没到帐

213: 礼包怎么领?

214: 登陆的时候总是加载中，几个意思

215: 这天梯还能有点节操吗！！！！！！！

216: 没礼包了么?

217: 感觉没原先好玩了，不充钱你别想上通缉榜前50

218: 为了赚钱，把一些小脚色搞成s卡比那些主角或关键人物还厉害！这简直就是侮辱了原作

219: 好玩，做的挺好的，就是人物难弄

220: 为什么我登不进去了

221: 8月30号的评论全是假的，以前的评论全改了，感觉不会再爱了。

222: 谁告诉我操作失败，请重新登录是怎会事，经常上去玩一会就出他妈洋贱，游戏也看点兴不兴，人家20多级的菜鸟，300钻免费的就抽到s级人物，我都抽上万的了也没抽着好东西，通缉榜本来赢定的了，后来人物就发普通攻击，人家就一直是发技能我把我反杀了，建议公平一点，休一下经常玩不了的毛病！

223: 好玩

224: 我宿舍兄弟们现在都在玩这个了，哈哈，LOL已经不迷了。。。。。

225: 传统的打打杀杀真心玩够了，这个冒险题材确实不错，新鲜！

226: 总的来说我觉得这个航海王比LOL更有意思

227: 作为玩LOL太久的玩家，我表示航海王比较新鲜。。。。

228: LOL看来有对手了，是这样吗哈哈哈、

229: 看到宣传瞬间手好痒，各种想要去尝试

230: 3D视觉很爽，冒险的感觉很强烈，刺激带感

231: 游戏中有很多的岔道，各个地方都被准备了的很多的谜题，玩起来很有感觉

232: 激活码获得还蛮简单的，就是填手机号

233: 还没开始玩我就已经感受到这游戏的吸引力了.....

234: 人物技能设计忠实原著角色设定，航海王确实做得不错啊

235: 为了还原动漫的经典感觉，连声优都是原版的，良心游戏！

236: 田中真弓、山口胜平等原班声优助阵啊，航海王太拼了

237: 这么说的话游戏里面也有我喜欢的乔巴了？

238: 话说航海王启航的剧情应该都是按照之前海贼王动漫来设定的吧

239: 虚实结合的游戏体验和丰富的竞技策略玩法这个很抢眼有没有！

240: 玩LOL玩腻了，这个或许是不错的选择吧

241: 很有吸引力的游戏，到时候玩几把试试

242: 动作卡牌+船炮模式，航海王启航很会玩嘛

243: 可以自由地选择游戏风格和方式，这样的游戏更适合我

244: 不知道游戏中的角色是否跟动漫一样萌啊

245: 之前看过海贼王的童鞋们应该和我一样都很期待的，哈哈

246: 现在太多游戏只是大大傻杀杀，这种海上冒险的不多

247: 非常酷的海上冒险游戏，跟之前只是一味打斗的游戏好多了

248: 正版授权的肯定好多，并且是经典剧情结合的，相信航海王

249: 技能系统，升级系统，联机协作，我尼玛这改变真的是非常惊喜啊

250: 结合了RPG、卡牌、动作三种类型游戏的精髓玩法，简直炫酷

251: 草帽小子路飞是我童年的记忆啊啊啊啊，这个游戏要不要做太有爱

252: 冒险风格的游戏吧，非常期待哈哈

253: 完全是还原了海贼王中的人物、场景、剧情，充分尊重原著，赞一个

254: 这游戏又唤起我追番的热血时代的青春了。

255: 这游戏目前有好多活动好多福利可以领啊！开心！

256: 这个游戏居然也有好多妹纸，好惊喜，看来妹纸也喜欢海贼王啊。

257: 在游戏剧情里面穿插各个职业搭配的组合这个创意非常棒，使得游戏更有趣味性了。

258: 游戏一开场我就hold不住了，整个感觉太正点了。

259: 游戏里面有好多新装备啊，隐藏内容也非常充实。

260: 隐藏要素辣么丰富！根本停不下来有木有！太有趣味性了！

261: 已经打到第二章了，表示毫无鸭梨，so eazy！

262: 我已经抱着手机十几个小时停不下来了，不说了我要继续去冒险了。

263: 我就是海贼脑残粉，就是觉得这款游戏不错啊，不服来辩！

264: 玩了几天了，技能很酷炫，效果非常好。

265: 通缉榜系统的大神好多啊，他们是怎么做到的，羡慕嫉妒恨。

266: 田中和山口的声音我要醉了，有一种重看海贼王的感动。

267: 天梯系统百战百胜路过，感觉这游戏太有意思了，哈哈哈还有谁！！！

268: 声优好评！声优好评！声优好评！重要的事情要说三遍！一瞬间就把我带到了剧情里。

269: 人物形象深得我心！完全欢迎原著，而且Q版的好萌好可爱啊！

270: 人气居然这么旺，我加前两个群都满了，后面终于加上了，玩家好活跃的说。

271: 前面的大神等等我啊，带我通关带我飞吧。

272: 期待开新服！我一定跟兄弟姐妹们组队去玩！

273: 路飞啊！带我去航海吧！带我去找杰克斯！好激动好激动。

274: 里面大神好多啊，小白求带啊~~

275: 可以自由选择游戏风格和方式这点很赞啊！

276: 看起来不错啊，勾起了我想玩的欲望。

277: 很期待游戏的更新啊！能不停的出新人物就更完美了。

278: 呵呵，一路通关无鸭梨我会乱说么？

279: 航海王启航这个游戏传承了原著里的热血，不错不错。

280: 海贼王主题的游戏哥玩过不少，这个是真心不错，算得上是近年来最得我心的游戏了吧。

281: 海贼王就是一个时代的经典，是一代人的青春啊！包括我的！这系列的游戏一定要玩。

282: 海贼迷签到，一边打游戏一边追番，生活又有意思了起来。

283: 还有动画里的经典桥段，好心动啊。

284: 关卡其实很好过，一般带脑子的人都不会觉得难，而且很有趣味性。

285: 关卡过关难度系数不是很高，不过非常有乐趣感。

286: 隔着屏幕我都感受到了游戏制作方对海贼迷们满满的诚意。

287: 刚开始玩不久，那音效好有感觉的说。

288: 刚开始玩，好多活动，我领了好多奖励，美滋滋哈哈哈。

289: 草帽路飞！我的最爱！支持航海王启航，这款游戏很赞！

290: 不知道副本难不难啊，有人带我一起玩吗？

291: 不得不说，作为海贼迷，这款游戏的出现真的很让我感动。

292: BOSS的感觉很震撼啊，兄弟们一起打BOSS去吧！

293: 3D的画面表现力，视觉效果简直一级棒。

294: 哈哈，看这画面，这架势，这游戏要火的节奏啊

295: 只要好玩就行，我要求不高

296: 我想知道有哪些福利

297: 做宣传蛮多呢，打广告打到央视了

298: 这个游戏听说蛮好玩的

299: 海贼迷飘过，希望不要让我们失望

300: 估计玩的人很多啊

301: 支持航海王启航！

302: 这游戏玩起来不卡吧

303: 感觉比那些盗版的强多了

304: 听说玩法很多呢，很想试试

305: 游戏画面看着还不错，感觉蛮带感的

306: 弱弱问一句，这是手游吗

307: 希望有人带我玩啊

308: 只要好玩等多久我都愿意

309: 还要等这么久不是吧

310: 默默为这个游戏点个赞吧

311: 我就是来凑热闹的

312: 哈哈，玩的的很多，我也来看看

313: 赶紧叫回哥们一起玩

314: 被之前盗版手游坑怕了，希望这个正版靠谱点

315: 希望真的好玩，不坑吧

316: 好像这个游戏还蛮火的呢

317: 哈哈，去游戏里重温热血

318: 人物感觉蛮还原的

319: 据说这是唯一正版授权的手游吧

320: 好玩的话我就去下一个试试

321: 画面看上去不错，听说剧情也蛮还原的

322: 哇靠，是正版手游，我想试试呢

323: 第二天领取了通缉榜荣誉奖励后兑换时却没有…这个bug为什么一直都在。不过还是好评给上 (ー ー゛)

324: 很好玩，大家快下载

325: 很好！很终身！值得玩！

326: 就是游戏好玩

327: 是啊，好不好玩咱试试不就知道了

328: 不知道为什么就是喜欢玩

329: 尤其是一边走地图看风景、一边进行战斗，更是有着让人玩到忘记时间的魅力！

330: 内涵深刻的故事不但在旅程间，在一个个游戏版图里就已丰富地展开。

331: 游戏提供了一系列不同战场供玩家选择。

332: 航海王出来了么？怀念从前一起玩

333: 非常值得玩到最后。

334: 正确看待游戏，不要过分上瘾

335: 是的，诚意邀请而已，玩一把不就知道了

336: 坚强的明星阵容表现得更为生动

337: 每次游玩都会有新的发现，而且每次对战都会尝到喜悦与懊恼。

338: 纯粹的简单和快乐，游戏能给到

339: 我只是打酱油的

340: 对于游戏，有一种难舍难分的感觉

341: 恩，少点揣测，多些本真，我喜欢

342: 需要慢慢去品味这一款意味深长的游戏

343: 看名字感觉还是蛮不错的

344: 它代表着一个无形的精神力量

345: 我也是刚来玩的，是，都不会！我问了下游戏的那些人，他们都是行家呀。

346: 对战部分让不确定要素变得更重

347: 游戏具有亲合力的画面，使整个故事浅显易懂。

348: 一人玩的模式相当丰富 这点也很好。

349: 是否会有内测？什么时候开始？我如何申请参加？

350: 果断收藏，不浪费之前练出来的好技术

351: 老实说确实是个好游戏。。。

352: 现在看来 有了新的活力··准备 来试一试

353: 楼主说的就是简简单单滴玩个游戏呗，我赞同

354: 我玩游戏从来不和别人比什么，就是为了长乐子，比个什么意思呀

355: 一定要人多，这样人多才好玩

356: 心理和心情都表现的很清楚，是个阅读起来心情会很好的剧本。

357: 玩这么多年游戏啦，这真是头一次听说这样改革的

358: 完美的图像加上大量的隐藏要素。

359: 玩游戏的人表示深深折服

360: 已进入了一个新纪元

361: 很多战场都拥有环境特色，比如堡垒，这些建筑会分布在双方基地间的通道中。

362: 有种来单挑！！！！！！！！道神很强！

363: 好久没找到好玩的游戏了，去试试看……

364: 看了一下是不错，听说操作会简单一点

365: 玩的时间也是自由的，请自由的发挥吧。

366: 恩，并没有撕逼，是部分人严重化了

367: 没有终结的游戏方式令人痴迷！

368: 在虚拟世界里想真实的那样生活

369: 游戏很明显不是以升级为目的

370: 游戏容量绝对没有二话

371: 这TM是什么JJ，还是头一次听说

372: 游戏中还有很多有趣的地方值得玩家分享。

373: 卧槽，这年头网络游戏宣传无下限啊！

374: 游戏中神秘的难易度，在不同的情况下游戏也会有很多游戏要素存在，隔了几年，还可以再开心的游戏。

375: 游戏绝对有超高的质量。

376: 演出新颖，而且具有冲击感。音乐也很棒。

377: 即使讨厌被这个世界拉进来也会被游戏的魅力吸引住。

378: 毫不夸张的说游戏达到了一个高峰，不管你是公认的高手还是业余玩家都会为之激动。

379: 没有游戏下载地址么？

380: 感觉游戏还不错的样子，先收藏一下吧

381: 你每次在游戏里探险的时候都会有更兴奋的体验

382: 豪迈动作绝对值得一看。

383: 配合每个场景的视觉和音乐以及加入的效果音都可以说是极其优秀的.

384: 游戏画面和音乐的质量都很高，新系统的加入使原本单调的搜查过程更加华丽有趣

385: 晕，大家多少级了啊！以后别杀我啊！

386: 游戏带来的冲击已超越

387: 虽然不想喝鸡汤，但楼主说的句句在理

388: 哥大神一般的实力，一定可以顺利崛起，在游戏里面展示我的强大无比啦，你还在等神马？聪明的话就赶紧跟我一起来玩吧

389: 让对战变得更为热闹。

390: 逐步开放的系统，使整个游戏玩起来极为引人入胜。

391: 操作的时候也会存在紧张的感觉。名作。

392: 扎实地将玩家引入剧情，自由度很高，耐玩要素也很够。

393: 哥的技术还是不错的，lz到时候一起啊

394: 具体的沟通在游戏中变的更加的特殊化。

395: 游戏的技术进步总是让我吃惊，强烈认为，这是一个款很好的体现出 DC的硬件机能的软件。

396: 里面的每一个元素都充满着乐趣，我们很难控制自己不爱上游戏里的世界。

397: 这款电子游戏绝对是最富娱乐性的作品

398: 说实话，玩游戏也要有些节制的

399: 战斗系统会让人联想到‘FFXI’

400: 国内的很多游戏都很一般，老是玩别人的太不爽了

401: 这个游戏，太多人都记着他呢，只要看到名字的就会过来

402: 地图则提供了不同的挑战。在这里，变幻莫测的神统治着这里。

403: 这样游戏就能把在线混战游戏激烈的战斗和来来回回的游戏模式浓缩为有趣、快速并充满战斗的游戏，玩家很容易就可以在午休时玩上几把。

404: 同时准备了十足能刺激玩家收集欲望的机制。

405: 唉，网络游戏快成鸡肋啦，弃之有味，玩之真累

406: 我已经完成了内测资格的申请，接下来我应该做些什么？

407: 这是一个美丽的世界，感动的故事情节，魅力的登场人物。

408: w玩到现在 。感觉PK 不适合我 像我这种水平，还没上，就被虐了。

409: 是lz介绍的少，大家可以去搜一下就知道了

410: 每个角色独特的天赋树都让玩家拥有这些有趣的选择。

411: 可以很骄傲地说这就是一款游戏！真诚地向大家说一声：玩吧。

412: 确实是这样，没有什么必要去抵制，不好玩就算了呗，没试怎么知道呢

413: 随着游戏的进行，可以通过独特的天赋和技能来自定义喜欢的角色和职业。

414: 游戏中的妹子好性感

415: 脑洞大的人也是操碎了心

416: 设计亲切而用心。

417: 画面很不错啊，我喜欢萌萌哒

418: 简直太有趣的冒险了！

419: 这种慢节奏会给玩家带了一种不一样的感觉。

420: 备齐了各种一人玩也会玩到上瘾的模式

421: 就应该学习楼主这种简单的生活态度

422: 当然这种刺激感很有趣就是了。

423: 每个男银心中都有一个海贼王梦吧

424: 没有妹纸，这诱惑力也是一般

425: 作为海航王的老粉，看到这个也是醉了

426: 错综复杂的事件慢慢展开的趣味体现了高明的游戏性。

427: 看到游戏宣传中说非常好玩，那也太有意思了吧

428: 带出了一种全新的游戏表达体验。

429: 当你解决掉一个谜题的时候你又会获得意外的惊喜

430: 妹子说的很有道理，咱们只是为了快乐啊

431: 制游戏还是做的比较用心的，画面什么的我认为好了。

432: 压倒一切的美丽的图形。

433: 不需切换画面就能战斗的玩法要花点时间来习惯

434: 对操作的要求并不很强。

435: 在玩游戏方面，我可是花费了不少的时间和金钱，也同时获得了快乐和幸福

436: 由于引入联机协同作战使得游戏战斗方式发生了改变，同样能够体验与以往作品不同的战斗感觉。

437: 各有各的喜爱，像那些喜欢动漫的也许觉得航海王更好玩呢

438: 坦率地说这些非常有趣。

439: 说实话自己对游戏非常喜欢，剧本，系统，所谓游戏平衡，而且游戏的图像和声音都无可争议。

440: 每个人都要想着这么把这些困难解除。

441: 会让人在不知不觉之间玩的上瘾

442: 航海王会怎么样 地图  玩法不知道会不会借鉴其它游戏的玩法

443: 让这游戏得以继续   玩家游戏要是有神一样的无欲无求    那还用得着玩游戏、。。。。

444: 音效上处理的优秀让人吃惊。

445: 更体贴玩家的是即使你之前没有玩过该系列，一样可以很容易地溶入游戏中。

446: 冒险模式相当耐玩，剧情表现方式也很漂亮。

447: 能给人唯一无二的愉快的感觉，通过游戏能得到情感的净化和宣泄。

448: 在游戏中享受游戏的快乐，这是毫无疑问的。

449: 真没玩过这个游戏，不知道是打斗型的战略型的？

450: 本就是优胜劣汰，脑残粉实在是太不可理喻

451: 绝妙的颜色搭配使得游戏中存在的粗略点显得更加精美。

452: 姑娘我敬你是条汉子！！

453: 前面的俺都没玩过，不知道能不能让俺提起兴趣

454: 即使是对动作游戏不太在行的玩家来说，也是一款非常值得尝试的作品。

455: 游戏具有丰富的表现力，没有一个天才的制作人是没办法制作出这么高水平的游戏来的。

456: 游戏什么时候可以下载 别碰 我是新人

457: 正在找游戏呢，看lz说的不错的样子，进去看看

458: 比以往作品更壮阔的剧情

459: 新人求罩，有木有一起组队玩的

460: 这种高品质的图形。平整的运动特征。

461: 玩家会无法自拔的一直玩下去。

462: 保证了游戏的吸引度和投入感，是无可挑剔的。

463: 你可以去官网看看啊！

