1: 都进不去无线网自己网下载7.2m文件总是提示网络连接失败，我在路由器旁边都不行
134: 49级70多万战力，闪退问题依然存在，游戏更新速度太慢，可玩性不是很高，游戏内容不够丰富，升一级只能打一关，每天除了扫荡还是扫荡，唯一可取的就是跨服PK还可以，其他一般般吧

135: 下载了一次，进不去，卸载继续下载一次，总之还没玩就把流量给骗走了。

136: 老是闪退

137: 为毛老显示俺的网不行？俺用的可是wifi

138: 画面和打击感不错，但是……后面每集打一关是不是太无聊了？每天都在那扫荡，故意拖慢节奏，让游戏变得很沉闷。卸载了，不玩了

139: 老是进不去

140: 画面很美，但是美中不足，人物没声音，像崩坏学院那样主角能大声叫才好玩

141: 自己手机烂就不要乱叫，傻逼

142: 切，老闪退

143: 总是出现闪退

144: 进不去。不好玩。

145: 尼玛！卸载再装上号没了。怎么回事？不会是单机吧

146: 更新失败。呵呵了，操

147: 尼玛，劳资无线4G3G2G网络全部试过了，都不能进去，总是显示网络无法连接，破逼游戏坑死人。尼玛

148: 更新失败，进不去游戏，也是逗

149: 进不去。垃圾游戏。

150: 还行吧，唯一一点好就是老闪退，望改进！！！

151: 进图老是闪退

152: 好玩

153: 可以玩！反正不花钱！偶尔会闪退一下

154: 好玩是好玩，但我终于知道乐什么才是最牛 B 的坑钱。几乎什么都要充钱，真是坑到家了啊。没钱真的玩不下去。果断差评

155: 麻痹！什么游戏！老闪退！狗屁游戏！

156: 麻痹的 坑钱游戏。天天麻痹的扫荡，把体力扫完。任务完成。退出游戏。这游戏真心没意思啊。我是三服  何以笙箫默

157: 半年内男男女女男男女女

158: 会闪退的

159: 什么东西啊，刚冲完钱就更新不了，昨天就进不去，还能不能在一起玩耍啦

160: 垃圾游戏一直更新不了

161: 闪退了不知道多少次，重新下载索性进不去了。

162: 大日本帝国！

163: 闪退了

164: 卧槽，索尼手机为什么不是全屏?

165: 游戏一般

166: 这游戏，没什么未来，马上要倒了

167: 坑钱的单机游戏

168: 有钱人的游戏

169: 怎么老闪退，难道有些手机不能运行这游戏？

170: 为什么更新失败，怎么搞都是更新失败。

171: 游戏不错，很好！   你们是脑残吗？不会玩就不要乱评论。玩到了50多级了，没有什么不好。 这款游戏不错！！

172: 玩了几关总是闪退  闪退  能改善吗？？  现在的游戏真的......

173: ☄ฺ(◣д◢)☄ฺ进图老是闪退，受不了了

174: 更新失败，怎么尝试都是如此

175: 为什么礼包用不了

176: 如果你人傻钱多，你会玩的很爽。

177: 游戏还好  就是进出图卡到吐

178: 更新失败。。。卸载重装还这样。。。尼玛。。。

179: 这尼玛跟犬夜叉剧情有什么区别

180: 更新老是失败求解？

181: 升级好慢，刷图经验好少

182: 画风画质都不错，打发时间不错，就是互动性差点，然后内容不是很丰富，有点枯燥，职业有点少，技能也太少了

183: 游戏还可以。根本没有他们说的闪退什么的。

184: 体力太少

185: 垃圾还更新不了

186: 下载好了进入游戏画面说是更新失败，请重试。已经卸载再下载还是一样的情况。别说内存不够

187: 又是一个无限闪退的游戏，玩尼玛啊，别说我的手机不行，昂达八核机

188: 很少见的类型啊  第一感觉还行

189: 游戏不错不是看你钱多就厉害的。

190: 感觉不错！~

191: 注重格斗技巧的游戏

192: 国产也有良心网游啊

193: 果然很爽。还能用键盘操作。和端游一样

194: 手机比较差，玩起来手机容易卡着。

195: 玩了一天，热血的日漫格斗游戏

196: 我是大神，快来膜拜我！

197: 三大职业各有优势，我喜欢近距离PK竞技，才能证明我是技术手

198: 喜欢，这种游戏很少啊 不错

199: 有点意思，突然想去玩玩看

200: 出乎意料，值得称赞

201: 画面太酷了

202: 我会说我已经玩了么，感觉还不错

203: 看上去很不错的

204: 充满格斗气氛的日漫游戏，很有趣

205: 做任务，做活动，消耗不高

206: 升级挺快的，战斗技能很厉害

207: 这个可以有

208: 感觉很有顺畅嘛

209: 千万不要让哥哥失望啊！支持着！

210: PK的游戏不是很多，但我喜欢

211: 这里好热闹，大家都好积极啊，哈哈

212: 秒杀一般的日漫游戏，我就喜欢刺激给力的格斗游戏

213: 耐玩有意思

214: 作为一个手残，表示要开始努力加油了

215: 是个有技术含量的手游

216: 有木有妹纸一起玩的？哥可以带你哟~~~

217: 路过，顺便顶一下

218: 开服活动很多，看来官方挺给力的

219: 紧张激烈的格斗给人的战斗体验感很强

220: 很想玩玩看会是什么样子，很期待多人PK

221: 光看着就已经很热血了，迫不及待想玩玩看

222: 为玩家着想的游戏才是好游戏

223: 哈哈。期待更多惊喜~~~

224: 卡啊

225: 碰上公测，真心不错！

226: 个人觉得这游戏亮点很多，的确还不错

227: 这游戏很有诚意，人人都送VIP 感觉很棒

228: 可以练练手速了 哈哈哈

229: 报道！好玩的格斗游戏

230: 玩法多样，值得下载。。

231: 画面给力，操作流畅也不卡

232: 升级也挺快的啊

233: 技能很多，整个战斗节奏很快

234: 喜欢日漫格斗的童鞋可以试试

235: 很好不错 点赞 走人

236: 菜鸟一个，还有大神在玩阿修罗之眼的吗？求带！

237: 操作简单，有战斗快感，PK很爽，新手引导功能赞一个

238: 玩游戏已经成为我人生的一部分，给力支持

239: 好玩是真好玩，好评

240: 赞赞赞。很不错。给差评的伙伴们都是找借口说那不好这不好的？要我来说你们就是 不会玩不搞。不懒软件，懒你自己

241: 为什么到第二章最后一关boss关   总是自动闪退呢。。。。

242: 挺好的，打击感强，画面不错，求6区好友，长期玩

243: 为什么我总是在最后一关打boss时卡上

244: 画面技能坐骑什么都好，就是技能连放就卡，盖世4都卡

245: 边上点不住，被返回键盖住了，玩那么多游戏都没盖住，就这一个盖住了，什么情况

246: 游戏不错不是看你钱多就厉害的。这个游戏还是看技术的。

247: 呵呵 到时候全身神装

248: 约约约！啪起来。

249: 很想看看PK的场面！！

250: 看着挺好的。我就来了

251: 角色人物很有感觉

252: 这游戏不错的，PK很刺激啊 哈哈

253: 太爽了可以好好玩个暑假

254: PK挺刺激的，还不错

255: 还不错，期待ing

256: PK果然是好热血啊

257: 游戏免费送VIP1，人人都有，业界良心啊！

258: 游戏掉线掉线比较多，一直提示我网络中断，群管理告诉我切换飞行，再切换回来就可以了

259: 体力太少

260: 重新安装下就不闪退了，挺不错的，好评

261: 游戏刚玩的时候容易闪退。

262: 我之前试玩过，说句实话，很不错，有创新有理念，大型国战PK很刺激，绝得给力！

263: 公测的体验还不错，活动礼包送的多，好评，继续加油

264: 华丽丽的技能释放，三大职业相对平衡，日漫风格很独特。

265: 好紧张刺激的战斗感

266: 阿修罗之眼值得下载！

267: 技能释放很华丽，PK也很不错

268: 弱弱的说，要激活吗？

269: 世界观背景剧情庞大，主线任务支线任务多

270: 操作简单，上手快

271: 菜鸟也能玩的格斗手游？

272: 公测礼包已经收到

273: 我相信玩的人肯定多

274: 做成这个样子很不错了，算是有本事咧

275: 名字听上去就很不错的感觉，期待PK

276: 话说好玩的游戏不多啊

277: 画面很惊艳的说

278: 感觉不错，打斗激烈

279: 欢迎小伙伴们来加入我们霸天公会

280: PVP玩法是主流，有眼光！

281: 好玩的PK游戏，赞！

282: 画面做的挺不错的

283: 支持一下~~~

284: 游戏优化的还行。。。

285: 3G网络玩起来流畅不卡顿

286: 连招很腻害的样子。。。

287: 强烈期待不火，天理难容

288: 连招，浮空，霸体，追击，格斗性强！

289: 游戏人物是怎么样的？

290: 注重格斗技巧的游戏我喜欢

291: 我喜欢物理高输出的职业

292: 碰上公测，玩了再说

293: 第一次玩日漫风的格斗手游

294: 游戏优化的还可以，手机玩的很顺畅不卡顿，也不闪退

295: 不错 技能也超赞

296: 太酷啦好游戏 大家来玩！

297: 有點坑!後期不掏錢看樣是沒法混

298: 手机废就不要叫

299: 为毛下载完，要啥更新失败，为啥更新不了，

300: 怎么老是闪退？

301: 我重新下载了忘记哪个区了，一个一个进去看怎么都没有。，求解答

302: 这个游戏怎么自动闪退呢！

303: 更新失败请重试什么意思！！！靠！！

304: 刚下载完了半个小时，这游戏就把我手机卡死机4遍了，进去打开背包30秒内卡死机

305: 进不去，一直更新失败

306: 经济PK很爽的格斗游戏，所以来体验一下

307: 被基友带来玩的

308: 没想到进游戏就送了我一个VIP 惊喜啊！

309: 路人一个！~

310: 打斗激烈，像以前接机游戏一样好玩

