1: 我只是说说我在这游戏的遭遇而已，很多的神墓一测玩家已经退了。
68: 祝游戏人气爆棚!红红火火！越办越好！人气滚滚达三江，旺上加旺，服务器天天全线爆满！玩家似春笋，财源如春潮，大红大紫，下载量突破新高，玩家量急剧上升，知名度步步高涨，缔造不朽传说！人气节攀升！ 勇登榜首！ 领航游戏世界！鼎耀东方！玩家爆满、旺上加旺、论坛人气红红火火、火气冲天、人气爆不停、期待大作、永远支持、祝游戏服务器天天全线爆满！缔造不朽传说！！ 勇登榜首！画面超赞,运行流畅,动作带感,音效很棒

69: 很期待啊，快点公测吧！

70: 为了辰战男神！必须玩！

71: 《神墓OL》在玩法模式上发生的变化还是比较有限，画质和打击感倒是很不错，场景动态要素的参加让临场感更上一成楼，至于技能、装备和养成系统，倒是怎么便利怎么来，剩下的那就是推推流程看看剧情，与其他玩家切磋了。

72: 之前耍过很多设计的游戏，这个不论是画面还是技能操作总之都是很棒的，技能连招很爽，美中不足就是觉得画面真心一般

73: 这游戏整体不错，不过希望下次更新后可以让玩家能够输入购买道具的数量，就方便很多了！

74: 游戏的竞拍系统，绝对良心妥妥的！

75: 翘首以盼的《神墓OL》终于二测了啊！游戏简直超级棒！一入眼就被完全吸引住了！真是高端大气上档次的游戏！棒棒棒！

76: 爽快感极高的游戏，流畅的动作，流畅的画面，一气呵成的操作感。

77: 十分有趣的动作游戏，能在各式各样的场景里奔跑跳跃斩杀敌人，游戏的操作非常流畅，不同职业的操作模式也能满足不同喜好的人。

78: 《神墓OL》在玩法模式上发生的变化还是比较有限，画质和打击感倒是很不错，场景动态要素的参加让临场感更上一成楼，至于技能、装备和养成系统，倒是怎么便利怎么来，剩下的那就是推推流程看看剧情，与其他玩家切磋了。

79: 和男朋友一起下载的，很酷的一款游戏，挺喜欢的，推荐推荐。就是容易上瘾，男朋友欲罢不能啊

80: 很不错的游戏，支持

81: 翘首以盼的《神墓OL》终于二测了啊！游戏简直超级棒！一入眼就被完全吸引住了！真是高端大气上档次的游戏！棒棒棒！

82: 和男朋友一起下载的，很酷的一款游戏，挺喜欢的，推荐推荐。就是容易上瘾，男朋友欲罢不能啊

83: 为什么不能雇佣辰南还有其他角色的人物呢？好希望在游戏里面能雇佣到这样的角色，最好也能来个宠物和坐骑什么的吧，弄的大上一些。

84: 花千骨、太极熊猫等这些热门的游戏最近我都玩过，但总体效果感觉太吸金，你不充钱根本玩不下去啊！但神墓OL就不会，你充1块钱就能拿到不错的礼包，而且全服的人充值达到一定金额你还能再拿，论坛微信哪哪都在发礼包，其实算下来还真是挺省的。

85: 连续玩了3小时了，还不错，很好玩，现在在上班，把神墓的小说翻出来准备看下，还是喜欢玄幻的。

86: 游戏我喜欢，木理由…

87: 等了那么多年，从高中开始看神墓，我太喜欢了，太好了，我的最爱。

88: 现在测试期间充值到公测时候返还也能计入VIP成长，很划算，不过新手小白还是谨慎投资吧，或者听听老玩家的意见，总之钱要花在刀刃上才是王道啊。

89: 这个游戏返还的额度并非像一般游戏一样给你一个固定额度比如2倍，还是挺看重等级的，也就是说你30级以上到公测时返还才1.3倍，但要是好好玩到50级以上的话返还就能达到2倍！好在升级并不难，到删档那天应该能到50级以上吧？加油！

90: 真的很有代入感，感觉又回到了追更的那些日子，不过具体剧情还要看后面。游戏的玩法非常多，每天都有很多做不完的事，很充实，整体操作也很流畅。

91: 现在测试期间充值到公测时候返还也能计入VIP成长，很划算，不过新手小白还是谨慎投资吧，或者听听老玩家的意见，总之钱要花在刀刃上才是王道啊。

92: 游戏亮点很多，看得出开发商是动过脑子的，但还是存在一些缺点，比如程序还没做好优化，闪退问题有点严重，低配机很卡。希望官方能加紧时间优化，早日推出完善版本。

93: 这款游戏完全可以堪比掌机游戏的水准，如果系统要素能够像掌机那样丰富一些的话，就更加完美了。

94: 和烂大街换个皮出来骗钱的游戏不同，无论从操作、玩法还是设定等各方面神墓OL都远超现在同类的动作手游，这个关键点就是实时PK，我玩过那么多手游还没看见过哪个游戏敢推出真人实时PK的呢，但神墓OL做到了。

95: 为了辰战男神！必须玩！

96: 《神墓OL》在玩法模式上发生的变化还是比较有限，画质和打击感倒是很不错，场景动态要素的参加让临场感更上一成楼，至于技能、装备和养成系统，倒是怎么便利怎么来，剩下的那就是推推流程看看剧情，与其他玩家切磋了

97: 之前耍过很多设计的游戏，这个不论是画面还是技能操作总之都是很棒的，技能连招很爽，美中不足就是觉得画面真心一般

98: 这游戏整体不错，不过希望下次更新后可以让玩家能够输入购买道具的数量，就方便很多了！

99: 爽快感极高的游戏，流畅的动作，流畅的画面，一气呵成的操作感。

100: 十分有趣的动作游戏，能在各式各样的场景里奔跑跳跃斩杀敌人，游戏的操作非常流畅，不同职业的操作模式也能满足不同喜好的人。

101: 蛮不错的~

102: 首测的时候玩了，看到当时给官方提的修改意见被采纳，觉得还是很良心的！继续支持！

103: 找妹子pk啊！输给妹子我愿意！

104: 不稳定

105: 玩起是好玩，只不过活动太少了，能在多点的话，就太完美了玩法有趣

106: 为了辰战男神！必须玩！

107: 比卡牌碰来碰去好玩多了，这才叫PK啊~

108: 翘首以盼的《神墓OL》终于二测了啊！游戏简直超级棒！一入眼就被完全吸引住了！真是高端大气上档次的游戏！棒棒棒！

109: 这游戏整体不错，不过希望下次更新后可以让玩家能够输入购买道具的数量，就方便很多了！

110: 首测的时候玩了，看到当时给官方提的修改意见被采纳，觉得还是很良心的！继续支持！

111: 不错!（此评论虽然才2个字，但语法严谨，用词工整，结构巧妙，琅琅上口...

112: 游戏耐玩，人性化，够公平！

113: 为了辰战男神！必须玩！

114: 爽快感极高的游戏，流畅的动作，流畅的画面，一气呵成的操作感。

115: 之前耍过很多设计的游戏这个不论是画面还是技能操作总之都是很棒的，技能连招很爽，美中不足就是觉得画面真心一般

116: 《神墓OL》在玩法模式上发生的变化还是比较有限，画质和打击感倒是很不错，场景动态要素的参加让临场感更上一成楼，至于技能、装备和养成系统，倒是怎么便利怎么来，剩下的那就是推推流程看看剧情，与其他玩家切磋了。

117: 垃圾，我艹 手机玩其他这类游戏还好，吗的玩这点了半天 大都打不了 艹建议不要下载  马上卸载中

118: 我这小米手机玩起来6得飞起啊，完全不卡！

119: 人觉得还是实时PK最有意思有意思的，不是你等级高战力高就能PK的过，关键还是要靠手法。这不好的方面就是闪退，让人好焦心……

120: 首测的时候玩了，看到当时给官方提的修改意见被采纳，觉得还是很良心的！继续支持！

121: 本来盼着出来好好玩，尼玛闪退之后就上不去了是什么鬼。。。。真失望

122: 这个游戏返还的额度并非像一般游戏一样给你一个固定额度比如2倍，还是挺看重等级的，也就是说你30级以上到公测时返还才1.3倍，但要是好好玩到50级以上的话返还就能达到2倍！好在升级并不难，到删档那天应该能到50级以上吧？加油！

123: 花千骨、太极熊猫等这些热门的游戏最近我都玩过，但总体效果感觉太吸金，你不充钱根本玩不下去啊！但神墓OL就不会，你充1块钱就能拿到不错的礼包，而且全服的人充值达到一定金额你还能再拿，论坛微信哪哪都在发礼包，其实算下来还真是挺省的。

124: 为什么不能雇佣辰南还有其他角色的人物呢？好希望在游戏里面能雇佣到这样的角色，最好也能来个宠物和坐骑什么的吧，弄的大上一些。

125: 画面虽然不是很精致，但是玩法很多很赞啊！系统还是需要优化吧，终归感觉还是有些欠缺，总体来说是一款不错的游戏，期待越做越好，会一直玩下去。

126: 从神墓小说刚开始连载的时候就和伙伴们一起追更，它承载着我们年少时很多美好的回忆。无意间听别人说这个出游戏了就直接去找了下

127: 游戏整体都很不错，但是进去以后偶尔会有延迟情况出现，是我的网不够好么？真心想痛快的打一场啊~希望赶紧修复，让我们玩的开心，谢谢！

128: 就是因为神墓我才下的，这次正好赶上删档充值测试，看到评论这么多说返的比较多所以就试着充了一点钱，等留着公测时候用。

129: 个人觉得还是实时PK最有意思有意思的，不是你等级高战力高就能PK的过，关键还是要靠手法。这不好的方面就是闪退，让人好焦心……

130: 看到小说里的十八层地狱、王城争霸、龙穴探宝，想起当初看小说的时候，好爱这个游戏！

131: 游戏耐玩，人性化，够公平！

132: 之前玩有的关卡感觉略难，这次15级 角色突破之后我实力大增啊！还能参悟职业终极杀招。捡了一大堆装备去突破，积累经验值，1v1老子各种牛逼！

133: 祝游戏人气爆棚!红红火火！越办越好！人气滚滚达三江，旺上加旺，服务器天天全线爆满！玩家似春笋，财源如春潮，大红大紫，下载量突破新高，玩家量急剧上升，知名度步步高涨，缔造不朽传说！人气节攀升！ 勇登榜首！ 领航游戏世界！鼎耀东方！玩家爆满、旺上加旺、论坛人气红红火火、火气冲天、人气爆不停、期待大作、永远支持、祝游戏服务器天天全线爆满！缔造不朽传说！！

134: 不错!（此评论虽然才2个字，但语法严谨，用词工整，结构巧妙，琅琅上口...

135: 为什么玩不了

136: 游戏操作空间很大，切换技能有点难，不过正好符合我这种喜欢挑战的人。

137: 坐等11点

138: 终于开测了~好期待啊

139: 小说还好，就是不知道游戏咋样。都说好还是自己玩才知道。

140: 好玩啊！

141: 麻烦问问各位这游戏有没有体力限制啊

142: 下载了还不能玩，需要等到明天11点~度日如年啊

143: 终于开测了~好期待啊

144: 很期待啊，快点公测吧！

145: 不知道什么时候才能玩

146: 看过神墓，闲暇之余玩会还是挺不错的。

147: 游戏操作空间很大，切换技能有点难，不过正好符合我这种喜欢挑战的人。

148: 整体感觉不错，不过还是有点小瑕疵，赶快改进上线吧

149: 今天是不是维修啊

150: 蛮不错的，凑字数

151: 没赶上测试，不过听朋友说很好玩，快点公测吧，期待呢

152: 游戏里求家族，求一起玩耍的小盆友，we are 伐木累

153: 就喜欢PK，就喜欢竞技类的游戏，好评

154: 游戏很不错啊，不过快要测试结束了，快点开始公测吧，按耐不住了

155: 明天比赛有现金大奖哎！

156: 游戏画面简直爽翻，战斗过程中，音效和玩法都不枯燥，很喜欢！

157: 上划和下划的手势搓招非常创新，就是关卡少了，不过瘾

158: 等了那么多年，从高中开始看神墓，我太喜欢了，太好了，我的最爱。

159: 游戏很有创意

160: 真尼玛卡，破游戏

161: 看了评测，千辛万苦找到了游戏的下载地址，已经玩上了，还不错，特意过来留言感谢下编辑，小便，嗯，小便！

162: 进入不了？

163: 看大家评价很不错，决定下来试试，希望不会让我失望~

164: 游戏画面简直爽翻，战斗过程中，音效和玩法都不枯燥，很喜欢！

165: 觉得挺好玩的啊，为毛这么多说卡……我不卡啊

166: 网上看到神墓出手游了一直很难相信，现在终于玩到了！感觉和自己想象的差不太多，不过很多内容还需要优化，期待更新！

167: 为了辰东大大也要玩啊！求快点公测~~~

168: 以前看过小说，觉得小说特别赞，现在玩到游戏，感觉跟小说里剧情差不多，真的很还原，很好玩！

169: 好玩~剧情好，画面超赞，运行流畅，动作带感，音效很棒，玩法很多很有意思！

170: 游戏是挺不错的，就是有点难操作。

171: 太卡了怎么玩

172: 游戏不错 ，就是现在有点卡，相信以后会更好

173: 画面超酷，配音也特别美

174: 卡成毛了，好多托

175: 真的是超好玩！风格也和原著一样

176: 玩不了阿啊啊啊啊啊啊啊啊？

177: 为什么在登陆360号时显示无法链接到网络啊，wifi啊，刚下完游戏安好就登不上

178: 不知道你们什么烂手机。。。我一个600块钱的手机玩起来都还挺流畅的，掉线什么的都没有。。。

179: 草泥马，一直掉线，根本玩不成，里面怪物太你妈强悍了，根本打不死，手游里面最垃圾的游戏了！

180: 大家千万别下，进不去，进去不到一分钟就掉线

181: 破游戏…根本进不去

182: 评论那么多托呀，看着评论这么好，结果根本进不去

183: 看评论才下载的，日被骗咧，超级难玩画面超级卡来的，哎

184: 只能说你们升级怎么那么快，不过PK大战不怕不怕啦

185: 满满的都是期待

186: 技能冷却时间太慢！有点卡！

187: 游戏还原度很好，就是体验不咋地，技能不好用

188: 期待了这么久，终于出来了，热泪盈眶啊

189: 加载资源卡住了！咋回事

190: 大家一起玩

191: 感觉这个游戏真的很不错，画面清晰度高，建议快点推出PC端，可以和手机的玩家一起玩哦

192: 今年下的最对的游戏，没有之一

193: 绝对惊艳的手机游戏，大赞

194: 我去，我以为我这辈子都玩不到神墓的手游了，满满都是泪，5分

195: 游戏真心给力

196: 挺好玩的，脖子都玩疼了~~~

197: PK必备游戏

198: 卧槽，一玩又唤起了我对神墓的回忆~

199: 越玩越有意思，5分好评

200: 释放压力,激情游戏

201: 扫墓，等了那么多年，谁不玩谁后悔

202: 跑酷关卡太少了，不够过瘾，整体不错，值得下载

203: 神墓正版，必须支持

204: 玩了一会了，直接上瘾，推荐！

205: 连招爽，200连会出现“斗魂”字样的连招现实，暴爽！

206: 玩了半天，游戏场景沿用的都是原著的经典场景，好感度提升！

207: 实时PK好玩，这尼玛才叫手游好吗？3天后的封圣战，1000元的现金是我的，不服来战！

208: 完全大爱！！！很好玩~

209: 看大家评价很不错，决定下来试试，希望不会让我失望~

210: 游戏我喜欢，木理由…

211: 比卡牌碰来碰去好玩多了，这才叫PK啊~

212: 游戏画面简直爽翻，战斗过程中，音效和玩法都不枯燥，很喜欢！

213: 连续玩了3小时了，还不错，很好玩，现在在上班，把神墓的小说翻出来准备看下，还是喜欢玄幻的。

214: 上划和下划的手势搓招非常创新，就是关卡少了，不过瘾

215: 看了评测，千辛万苦找到了游戏的下载地址，已经玩上了，还不错，特意过来留言感谢下编辑，小便，嗯，小便！

216: 绝对惊艳的手机游戏，大赞

217: 比ios首测时候又屌了不少，顺便这次的测试活动给力啊

218: 小说改编的游戏，还算良心，玩玩

219: 老是黑屏玩不了

220: 人家真是超级期待的说~~~

