1: 我发现这游戏有漏洞，可以刷车和钻石还有币，我都刷了不少，车全刷完了。
138: 太好玩了

139: 怎么老是闪退

140: Not

141: 进不去呀？

142: 你妈个逼的，挺好玩的。

143: 还行吧，不知道到后面会不会向以前一样闪退过不去了

144: 呃呃

145: 垃圾！给他冲了钱，到现在5，6个月打不开

146: 下了一个破解版，还要人民币突然发现点购买再点取消购买没花人民币就买到了。

147: 主要是它不联网也能玩，所以才下载的，而且以前玩的还不错。下了奇迹暖暖，内存不够用了。

148: 还好咯

149: 不好

150: TMD特别好，没有一次闪退，赞

151: 为什么有时候打都打不开来

152: 为什么还没有进去就被退出来了？他妈的太垃圾了！

153: 狗屎

154: 他太坑人了

155: 垃圾游戏，一秒也玩不了。果断卸载

156: 我也老版本的，你们懂得

157: 游戏很好玩，还是大屏上玩，感觉好爽哦，手游岛模拟器真棒！

158: 这两天闪退！妈的！

159: 怎么我的从来没有闪退过。。

160: 靠，也太能骗人了，我花了15块钱买的车，今天突然进不去游戏了，总闪退，我就卸载了，重新安装了，也还是原来的手机号，可是我买的东西和我的道具全没了，太坑爹了吧，破玩意，太过分了。

161: 礼包很好啊可以玩民.溜.溜的免费版玩没问题呀

162: 垃圾游戏，老子两次了玩儿的第十章马上通关了，对战前一百名了，居然登陆不了了，两次了，有时候玩儿半天再次上，车和钻石都没了，滚吧！破游戏

163: 非常好

164: 为毛买不了柯尼塞格那个礼包。支付请求已发送，总是这一句提示

165: 麻痹的怎么 早上起来 上线 勒芒   和路霸  大黄蜂 900钻石 130W金币 都没了？？？？求解  草泥马

166: 太好了！买了个变形金刚都要通关了！还有baby

167: 垃圾游戏玩个毛闪退

168: 用360更新后怎么之前的数据全没了？！！都通关了，车都买了好多！！

169: 哈哈，我不花一分钱就有了红色传奇。这有一招，里面有抽奖花十万金币十二个宝箱，里面一般有秋名幽灵的总换币二万个，然后点五百个总换币那个宝箱，一直点 到没有。一般能挣一点金币，我从二十万金币挣到四十万金币，最好金币全花了挣的多，然后在点十万金币十二个宝箱那个，循环往复，就在十万金币十二个宝箱，就会获得好车了

170: 不花一分钱，路霸+漂移+十三郎全满级。全通，比极速版强多了。

171: 卡卡卡卡卡卡卡卡卡卡卡卡卡卡

172: 最好下破解版的。

173: 垃圾

174: 第二次了！！完了多天后 无法登陆 之前的战果全没了！！！

175: 刚玩就退了，神马游戏？！

176: 什么垃圾、这简直就是骗钱的游戏、充了钱、玩5天、机器人车2俩刚刚升级完、就进不了、就这样被狗吃了

177: 妈的，老是打到5-10关闪退。

178: 一点都不好玩，而且还老是退出  回到页面

179: 神马游戏，总闪退，过段时间登陆登不上去了，天天登陆才行，游戏还可以。

180: 很好玩我都闯到零之真相了

181: 艹他吗 垃圾

182: 我去，太他妈呢，动不动就闪退，什么工作室，快点倒闭吧

183: 我去，差到极点了！动不动就闪退，充了那么多钱就这么大水票了！简直物理吐槽了！！！垃圾啊！！！

184: 进不去  什么意思啊？ 钱白充了啊？

185: 过节，连个活动都没有，什么垃圾工作室研究的游戏啊。

186: 刚进就闪退

187: 闪退好严重

188: 不错，更新快一点就好了

189: 为什么，没有礼包，福利什么的，难道这个游戏要破产了，没人玩了么。

190: 不想发礼包就说，搞什么领光了，毛

191: 我嚓  玩到一半就点不开了我凑尼玛

192: 花了不少钱买车和给车升级，结果就打不开了，下载从装后什么都没了一切从新开始，又买了车，结果玩到第二剧情最后一关就闪退，后面的完全不能玩，什么鬼玩意！客服什么都解决不了，垃圾

193: 玩了一段时间，现在登都登不上了！！！

194: 为什么一玩到5-10关就闪退？

195: 垃圾游戏冲了钱买了车玩了2天在上游戏就点不开了我草你吗

196: 还好

197: 玩了十几天花了不少钱，一天没登，就清除了

198: 玩一段时间就进不去了

199: 我靠，玩得好好的怎么数据都没了又要重来，差评果断差评

200: 哪位兄弟能告诉我绿色芯片是神马

201: 摧毁70辆车咋过啊？

202: 绿色芯片是啥东东啊求解

203: 为什么刚把极光窈窕淑女弄满级东西就都卡没了我还是喜欢Baby所以我接着玩了

204: 很好，还喜欢一款免费的激情飙车2，刺激好玩。

205: 好是好玩可是我有个手机加载到98%就被卡出来了

206: 草，刚买的赛车，过了一天，就卡到5-1过不去，赢了老是闪退，本来还很期待下面的剧情，希望工作人员尽快修复这个漏洞！

207: 天杀的！老是闪退！坑爷啊！

208: 第五章最后一关漂移赛闪退，请教高手什么情况

209: 死垃圾游戏，对战进不了，6块钱已送给狗食。

210: 玩是好玩，我打通关了，只有两关没有夺到“车神”。高档车几乎全买下，明星领航员全搞定。但在对战模式下，连续两次无缘无故我的积分突然为0，都到紫电骑神了啊。这实在让人少兴，感觉没什么玩头了。

211: 好玩

212: 什么情况，5-10一直闪退，能不能有人出来交代一下啊，都没人负责的么，太差了吧

213: 差评   对战里面的等于和积分就没了  崩溃了

214: 好玩是好玩但是老花钱

215: 我有飘移！

216: 5-10关过关就闪退，今天干脆就进不去了，玩了几个月买车也花了钱，你们游戏公司就是这样吸金的吗？不给说法就投诉你们

217: 超好玩，我己经全部通关了，飘移，路霸，准星都有了，就差个大黄蜂了。给5星。

218: 混蛋赶紧退钱否则我就上法院告你

219: 这个要网吗？

220: 垃圾，退钱

221: 尼玛，老子刚充了钱，进去就闪退

222: 垃圾，加载到100%就闪退

223: 刚打开有一分钟就闪退
好烂！
老是闪退

224: 垃圾！退钱！

225: 李晨不错哒~另外用全民’溜溜搞这游戏刷钻牛大了，很好玩的哦~

226: 为什么下载这么慢

227: 5-10闪退

228: 好玩。。。

229: 为什么5-10老是闪退呀？求解

230: 抢钱的游戏，不花钱玩不下去了，到处是陷阱，和诈骗没什么区别。

231: 完了几天就打不开了，什么情况？

232: 少登录了一天，第二天进不去了，我还有充的八块钱呢！后来一直进不去，重新下载也不行，神马情况？

233: 跑完就闪退，故意不让我过？

234: 为什么老是闪退

235: 任何国家恢复和解决具体用途和国际天天

236: 刚玩了一天，第二天就打不来了

237: 还不错    就是不花钱没法玩

238: 最后一次评论 卸了 从此不再玩这游戏了

239: 登陆时 还是闪退 一直都进不去！！！

240: 超差，妹的，不想玩还不让卸载，下载的人可要看看评论

241: 好玩

242: 5-10闪退，真坑，从其他软件下这个游戏就不闪退，真搞不懂官方的游戏能做出这么差劲，而且这个游戏还没有账号登入，卸载就损失了

243: 每次发起挑战就bug，自动退出

244: 哈哈哈我马上350钻石购买漂移了，谁知道忽然不能玩了，已经花了近50块了，垃圾垃圾垃圾，

245: 各种闪退，你大爷逗我呢，能玩好好玩耍吗？刚到百分之九十九就闪退，你为毛不去当闪电呀，天天都能闪呀！ヽ(｀⌒´メ)ノ 绝不原谅!

246: 好好好好好好好好好好好好好…

247: 好！！！非常好

248: tai wu  liao

249: 5-10闪退到现在没说法？刚花了钱就玩不了。。。

250: 各种闪，各种退。这问题持续2天了。怎么办？

251: 好玩

252: 我玩了有一年了有点后悔，这是骗人的游戏，建议大家不要玩，玩玩也可以千万不要花钱买车和道具，要不然就傻逼了。

253: 打不开

254: 5-10是怎么回事，跑完了点下一关就弹出来了，什么时候能修复啊

255: 我的5-10也是闪退，明明已经过了5-10结果直接闪退，打电话给客服和QQ联系客服都没用为了这游戏我都刷机了重新下载问题都没解决呢，真坑人。直到前几日换了手机在魅族官网下载的就没出现过问题并且已通关，以前也通关了不过在360手机助手更新完新版本就进不了游戏了直接闪退，现在我都不敢在360更新手游了

256: 5-10什么时候解决闪退问题，半个月啦，你们公司就没有人出来的吗？花了钱玩不了的垃圾游戏

257: 还可以，就是有些关卡很难过

258: 好玩

259: 怎么打不开了？？？？？？？

260: 我的怎么进不去

261: 获得的奖励太少，而且改装完的车不能再卖出去，在摧毁车的任务时，护盾特效好用但是字体和光圈有点阻碍视线，看不清前方是否有车。望能解决。

262: 太坑爹了，老是退出来。

263: 没有以前好玩了，在奔跑吧兄弟之前更好玩

264: 下个破解什么都能买

265: 我有vip赛车变形暗夜路霸，和漂移，变形大黄蜂 ，李晨和王宝强陈赫aengbeby.

266: 很好玩。

267: 怎么打不开开

268: 还行

269: 娘西皮，玩着玩着打不开了，果断差评

270: 我们都去 免费的游戏 都不去理会 不去下载 付费游戏

271: 我的变形，我的豪车，求解 为什么看见大家都说买了车就登不上，是故意这样子的吗

272: 还行

273: 蛮好玩的，漂移2000容易爆了

274: 我是个屎坑

275: 大家最好不要冲钱，完不了就不要玩，我充了钱，漂移擎天柱矿山大卡车还有做活动用钱砸出来的准星，还有一个可以变形的哪什么车，都卖了，结果没两天就登不上了，

276: 游戏还不错，可惜我还是喜欢用咪咕爱唱唱歌。最近里面缺汉子，来几个男生唱给我们听听啊。

277: 垃圾，非逼着付费，随便一点就要钱，不付钱不能玩，兄弟团为何代言这垃圾游戏

278: 很好玩

279: 可恶！打了半天都打不开。

280: 为什么我的评论不见了，买了车就登不上怎么解决，给个说法

281: 不错

282: 垃圾垃圾，好不容易通关了，花了钱的好么，现在软件根本打不开了

283: 玫瑰啥的那关过不去，车子装备不行，又不舍得花钱，哎哎哎

284: 为什么进不去          不好玩

285: 苹果手机，就装了这么一个游戏。到了5-10关自动闪退出，找客服憋一肚子气。

286: 一般

287: 5-10还是闪退，大家千万不要下载，即使下载也不要烧钱去买车，根本玩不了。

288: 为什么第5-10通过之后点下一关会自动退出游戏，求解决

289: 这游戏大好玩了。

290: 总体来说还可以！

291: 哪位帅哥美女能告诉我游戏里的绿色芯片是什么东西？？？

292: Good，力荐！

293: 爽翻了,有木有

294: 要用手点呀！玩贯了重力的，我来过过客

295: 一卡一卡的，是我手机不行还是什么

296: 刚花完15买了个车，玩了两天就再也打不开了，他喵的，

297: 我觉得玩游戏但是无所谓，支持跑男

298: 奔跑吧兄弟太好玩了

299: 好玩大家一定要下载噢

300: cp点是什么，怎么用？

301: 怎么回事啊，玩着玩着就闪退了，这是给跑男抹黑的吗

302: 可玩性少，任务太少，而且画面太戳，不想玩了，果断卸载

303: 怎么回事，哥的评论发表不了

304: 5-9主线任务，4000米飘逸，过关就闪退，能不能赶紧解决。

305: n个赞。（n＝0）

306: 打不开了怎么回事啊！

307: n个赞！！

308: 用找"乐有大礼包

309: 玩着玩着就进不去了，不卸载占空间，果断卸载

310: 出来说句话啊  5–10跑完就退出来  怎么也得给个交代撒  游戏做完了 爷们们钱充了  你们收了钱就拍拍屁股不管了是吗

311: 昨晚抽到特斯拉，今天资料就没了，大爷

312: 进不去 可恶

313: 绿色芯片怎么得？

314: 我只想说一句  我的评论哪去了? 另外  问题还要不要解决  5–10打完就退出  你们还想怎么搞  问题不解决还开个屁啊  这是给跑男抹黑啊

315: 神啊，一定五星

316: 我觉得道具不错啊，游戏的可玩性也挺好的

317: 决战首尔我排前200了

318: 画面简直非常炫酷啊

319: 一般一般，世界第三！

320: 说好的陈赫呢，好男人就是我

321: 邓超是大英雄不错

322: 要是有兰度是不是就更好了

323: 有点略长  嘿嘿 还是一样好玩的了 ，顶一个嘛

324: 还不错吧 头一次看到适合女生玩的赛车游戏

325: 跑男们开赛车

326: 漂移的感觉就是爽！就是这个

327: FEEL!被儿爽

328: 我秋名山也无压力

329: 韩国对战那个是真人的吗？

330: 怎么5-10过了之后自动退出？？

331: 已经推荐给很多朋友下载

332: 宝哥画的好帅 哈哈哈

333: 新手上路多多指教啊

334: 我跑了半天，各种赢也烦啊

335: 名牌我来了！！

336: 我家BABY的声音啊，有点伤不起啊

337: 我喜欢baby！

338: 总的来说，还是不错，场景多一点就更好了，休闲游戏。

339: 说实话这游戏很好玩，买变形金刚后更好玩，我花100多买完了变形

340: 汽车，至于关卡全是金杯。不就花点钱吗，沒钱谁开发游戏。玩不起别乱吐嘈

341: 什么时候对战才开启啊

342: 不错啊，游戏很全面，内容挺丰富的，支持，

343: 要对战

344: 只为baby而来

345: 话说汽车人有擎天柱就更棒了

346: 现在已经忽略了手机里的其他游戏

347: 好好，史上最好！！

348: 撕名牌，100个，这得撕多久啊

349: 玩法好有特色啊

350: 跑道清晰，车身完美，漂移酷炫，画面逼真，总之很好玩，你值得下载

351: 好玩！希望还有第二部。

352: 你们都说好玩，助那我给个五星吧

353: 游戏的画面什么的都很好

354: 里面的赛车都好棒啊

355: 还更新吗

356: 变形都有3了其他豪车也差不多都有了，码蛋现在进不去了

357: 进不去了呀

358: 男票最喜欢玩了

359: 我的AE86！我的拓海！

360: 这次车神更了个大版本哦~感觉和跑男结合应该会不错

361: 为了奖品啊！

362: 好车全买了，，变形的也全买了

363: beby在吗？好玩吗。。。

364: 好车全买了，，变形的也全买了

365: 人类语言已经不能夸你了！

366: 跑起来~你能赢!

367: 玩家了，木有广告的。。

368: 下载中，希望好玩

369: 嗯还不错，渣操作也能玩哈哈

370: 第五章10关  过关后怎么老是闪退

371: 期待跑男们啊！

372: 决战首尔非常不错啊

373: 飞弹走起！嗖~

374: 赛车游戏太棒了！

375: 刚看完节目看到广告了，就下了个玩，质量不错啊

376: 玩，质量不错啊

377: 兄弟们加油啊

378: 想看武汉

379: 好玩，32个赞！

380: 现在已经爱不释手了

381: 老游戏了，给喜欢玩这个的小伙伴推荐个去搜"捉鬼达人"，才出的画面超赞玩动作流畅

382: 问下啊，第五关最后一个咋是漂移4500米啊，第六关咋解锁不了

383: 我想要豪车

384: 大爱车神

385: baby我爱你

386: 不错，值得一玩～

387: 爱跑男

388: 要敦煌行吗

389: 我喜欢李晨！

390: 周末打发无聊时间真心不错的呢，赞一个。

391: 赞一个。

392: 有济州岛活动呢！拼了老命了！

393: 三天以后开始闪退黑屏，求解决

394: 超棒，我超喜欢

395: 为什么到5-10关胜利之后就闪退啊？

396: 还可以。

397: 不好手机重启一下，什么都没了

398: 我的咋还是李晨的logo

399: 我的咋不更新

400: 邓超的头像太帅了～

401: 希望在对战系统多添加好玩的东西
11月上架联想应用商店的超级手游《丧尸狂潮》无论是3d画面精美度、还是武器种类、还是场景等方面都达到了PC游戏的级别。有兴趣，根据游戏名称搜索了解一下，赞一个

402: 我喜欢看running man玩这个游戏有种看撕名牌一样的快感，很好，强烈推荐！！！

403: 传奇的惊世之作！

404: 好搞笑啊！游戏里有她就好了

405: 超哥是我的偶像，才下

406: 上次玩车神得了个模型，这次要拿点实用的走吧！

407: 节目里都推荐了，肯定不错的！

408: 还行，就是难赚钱，车太贵，需要的车等级又好，不好过

409: 昨晚邓超好好玩啊哈哈 来玩玩游戏看看

410: 游戏蛮不错的，跑道清晰，车子很完美，还可以变身?

411: 真的很好玩思密达

412: 跑男版赛车游戏！不错哦！

413: 超哥给力啊

414: 好游戏，期待下一版本

415: 节目好看 游戏好玩

416: 为了男神女神！！！

417: 这个很喜欢哦！这种竞技类游戏超喜欢。大发

418: 跑男和车神的集合哦！有意思啊！

419: 玩到第七关卡收集100个绿卡过不去，求教

420: 超哥，超帅有木有！

421: 这个游戏很好玩 关卡很多。人物好看 。车也很霸气。都全部通过了 。希望更新快点。真心觉得好玩

422: 这个还可以，呵呵

423: 爽啊
爽爽爽

424: 为什么我以前买了那么多车，都没了

425: 从很早以前就开始玩赛车类的游戏，而最近又在看追看奔跑吧兄弟

426: 还不错

427: 非常喜欢里面的明星，看到自己喜欢的明星代言，也看到了这款游戏的用心，毫不犹豫的下载，并且叫朋友也来玩。

428: 暗夜路霸各种撞不犹豫！！

429: 进游戏听到音乐我就ＨＩＧＨ了

430: 进游戏听到音乐我就ＨＩＧＨ了

431: 总体来说还是很不错的，就是略难。

432: 对战里那个滨海市叫幻影车手的人开的1级的科尼赛洛是怎么回事，15级的漂移都比不过

433: 我喜欢跑车，只要是跑车就行！

434: 感觉车速太慢了，到1500码爽了。

435: 竞速类终于遇见精品了 深的我心嗯嗯

436: 挺不錯的，操縱性有待提高，不是太流暢。

437: 我家超哥就是帅~

438: 为什么打到5_10关胜利了就闪退为什么

439: 怎么打不开游戏了

440: 垃圾游戏第一天冲了钱买了车第二天就打不开了！卸载后再安装上去后什么都没了！垃圾游戏坑爹！

441: 我买了变形金刚，和800速的车，直接全满级，每关都车神，没意思了。买车不要钱的

442: 在开发点地图吧！太不经赛了！老是跑旧的

443: 好，非常好，好的到极点，

444: 还不错，尤其是漂移的画面感很棒。

445: 跑车360观看赞啊！

446: 居然还有农用三轮车！哈哈哈

447: 我的天使！我的BABY!

448: 我最爱大黄锋15元已经买了：还有3个可以变形的过几天一一买了：

449: 爽真的好玩5星

450: 我爱大黄蜂！

451: 看起来还不错

452: 太坑爹了

453: 彩凤我爱你

454: 彩凤我爱你

455: 彩凤我爱你

456: 好玩吗？

457: 麻痹打不开了，我擦我的漂移我的baby，日，不能玩了

458: 此版本对战为什么不能打啊！老是PVP维护中。我车都买了啊！

459: 电视每期必看，现在游戏出来了熬夜玩

460: 好，我爱baby

461: 下载中，很期待

462: 不造好不好玩呢！之前的是车神，现在是跑男了捏！

463: 好应用，必须力荐！

464: 我想要弄自己喜欢的样式的赛车

465: 不要走，决战到济州啊！

466: 这版可以被导弹揍了，还挺好玩

467: 360终于靠谱了！推荐点这样的赛车游戏多好啊啊

468: 宝宝游戏里会说话吗？

469: 100000金币12连开开到S车还是蛮开心的，赞一个～

470: 好玩么

471: 黄金宝箱12连开，有个箱子出S级变形大黄蜂，最后奖励整合界面没车，车库也没有，跟客服反映问题不回，我也真是醉了。

472: 无聊ing….玩车神就对了

473: 警车开道！！统统都给我让开~

474: 奔跑吧兄弟最后是赛车游戏 我喜欢

475: 各种赛车各种买，哥就是这么任性

476: 很不错的游戏。值得一玩。

477: 为了济州岛拼了

478: 和以前我是车神相比，有很大改进，操控性也很好，赞

479: 怦然心动，一见钟情！

480: 这不是我是车神吗？换个题材啊，挺好的，希望还能像上次一样中个奖品~

481: 挺好的，希望还能像上次一样中个奖品~

482: 赛车游戏哪家强？我是车神数最强。

483: 我喜欢火凤凰

484: 垃圾的很！当你费劲心机得到一辆S级或者A级系列的车时，并把它升到顶级，却发现B级或C级车都比你跑的快！（决战秋名山）我也是醉了！

485: 好玩,

486: 打不开闪退心塞

487: 不错不错

488: 为什么没有陈赫啊啊啊啊啊5555555555555555555555555555555555552333333赞赞赞

489: 租房帮用的不错 设计也很人性化，

490: 花钱买变形大黄蜂很好玩，花点钱而已，我花了50多了

491: 感觉超好，可惜没有我喜欢的赫赫

492: 人类语言已经不能夸你了！

493: 决战首尔进去的时候，有时候需要等会

494: 震动不错 但是默认能关掉吗

495: 大黄蜂变身！

496: ●▽●为了和老公一起玩我也是蛮拼的。

497: 玩车神的我，经常忽略了偶地女盆友

498: 还行，但是还有很多要改进的地方

499: 大黄蜂不错，其他感觉还行啊

500: 坐地铁的时候玩旁边的哥们还问呢

501: 我喜欢邓超

502: 该应用简直“神”来之作，强烈推荐！

503: 奔跑吧兄弟们！！

504: 赛车游戏的经典！

505: 喜欢韩版节目！也顶咱们中国的游戏一下~

506: 对战系统出的图鉴原来有这么多车啊。。。

507: 很好玩的游戏！值得推荐

508: 为什么没我的赫赫

509: 因为车神还专门去看了一遍

510: running man

511: 有变形金刚这点我觉得还不错啊

512: 360这次好给力啊 这游戏不错

513: 我看好哦

514: 是谁创作的游戏吗？这么好玩，我都不知道该怎么夸这个游戏了

515: 我都不知道该怎么夸这个游戏了

516: 我最崇拜邓超了！超强！强力推荐！

517: 济州岛！！I LIKE!

518: 陈赫有吗有吗！！

519: 要是能装饰自己的赛车就好了

